t_s,vx,vy,speed
1.37,5.085,2.994,5.901
2.24,4.393,3.45,5.585
3.11,3.469,3.465,4.903
4.07,3.706,2.799,4.645
4.99,2.589,3.117,4.052
5.85,3.643,2.651,4.505
6.72,3.404,4.282,5.47
7.63,2.988,3.818,4.848
8.5,5.264,2.491,5.824
9.37,5.874,0.874,5.939
10.23,5.177,2.556,5.774
11.1,6.176,1.919,6.467
12.06,5.577,2.223,6.004
12.98,4.318,2.919,5.212
13.84,6.303,1.839,6.566
14.71,4.325,2.337,4.916
15.57,4.21,4.141,5.906
16.49,4.07,4.106,5.781
17.35,3.916,3.234,5.079
18.22,4.551,2.15,5.034
19.08,5.564,2.367,6.046
19.95,5.882,2.06,6.232
20.82,4.895,3.889,6.252
21.68,5.249,5.004,7.252
22.55,5.316,7.264,9.001
23.41,5.528,6.04,8.188
24.33,6.087,6.241,8.718
25.2,3.826,5.937,7.064
26.06,4.745,6.485,8.035
26.98,4.391,5.176,6.787
27.84,4.815,4.058,6.297
28.76,5.943,3.802,7.055
29.62,4.946,3.338,5.967
30.49,4.15,2.927,5.079
31.36,3.501,2.72,4.433
32.22,3.789,3.406,5.095
33.14,2.841,2.639,3.877
34.1,2.597,2.856,3.861
35.07,2.849,1.167,3.079
35.93,4.513,0.678,4.563
36.85,6.111,-0.175,6.113
37.71,5.062,0.042,5.062
38.58,4.781,-0.228,4.786
39.5,5.384,-1.393,5.561
40.36,6.214,-1.561,6.407
41.23,7.136,-1.346,7.262
42.09,5.595,-0.386,5.609
42.96,7.455,0.03,7.455
43.87,7.233,0.094,7.234
44.79,6.15,-0.163,6.152
45.65,4.778,-0.983,4.878
46.52,4.788,0.989,4.889
47.38,5.201,1.738,5.484
48.25,5.328,1.216,5.465
49.11,5.385,1.141,5.505
50.08,6.109,2.552,6.621
50.95,7.044,3.048,7.675
51.81,7.698,2.576,8.117
52.68,7.264,2.554,7.7
53.59,6.154,1.806,6.414
54.46,5.172,1.641,5.426
55.33,3.359,3.729,5.019
56.19,3.629,3.823,5.271
57.11,4.246,3.726,5.649
58.08,4.683,4.21,6.297
58.94,5.298,2.216,5.743
59.81,6.125,2.553,6.636
60.68,6.494,3.135,7.212
61.59,6.505,4.515,7.918
62.46,5.946,4.943,7.733
63.32,5.522,4.868,7.361
64.24,7.542,6.385,9.882
65.15,7.476,6.971,10.222
66.12,6.956,5.002,8.567
67.08,7.159,4.659,8.542
68.0,5.778,2.556,6.318
68.87,6.88,3.204,7.589
69.78,7.078,2.632,7.551
70.65,6.789,3.998,7.879
71.51,6.016,4.219,7.348
72.38,4.935,4.385,6.601
73.29,3.898,3.922,5.53
74.16,3.616,4.733,5.956
75.12,4.035,4.104,5.755
76.09,3.924,4.066,5.65
76.95,3.913,3.275,5.103
77.82,4.643,3.578,5.861
78.68,4.74,5.853,7.531
79.55,4.249,6.282,7.584
80.42,2.875,7.755,8.27
81.28,2.18,6.475,6.833
82.15,2.197,5.386,5.817
83.11,1.287,5.936,6.074
84.03,2.167,5.773,6.166
84.89,2.04,6.191,6.518
85.81,1.693,5.333,5.595
86.67,2.77,4.406,5.204
87.54,2.138,4.855,5.304
88.41,2.071,3.905,4.42
89.27,2.143,3.703,4.278
90.19,1.7,3.99,4.337
91.1,2.555,4.932,5.554
92.02,1.579,4.954,5.2
92.93,1.909,3.028,3.58
93.8,1.369,3.176,3.459
94.66,0.064,3.619,3.619
95.53,1.639,2.524,3.01
96.39,3.211,5.891,6.709
97.26,3.064,5.449,6.251
98.13,2.779,2.727,3.894
99.09,1.826,3.658,4.089
99.96,1.818,4.284,4.653
100.88,2.048,4.22,4.69
101.74,2.751,3.238,4.249
102.61,3.268,3.598,4.86
103.47,2.289,2.195,3.172
104.34,2.02,4.835,5.24
105.2,3.661,5.809,6.866
106.12,3.425,5.875,6.8
107.03,3.355,6.682,7.477
107.9,3.911,4.723,6.132
108.76,4.67,5.481,7.201
109.63,4.145,4.687,6.257
110.5,4.656,4.122,6.218
111.36,4.87,4.164,6.408
112.23,4.327,3.134,5.343
113.09,6.313,2.548,6.807
113.96,6.327,2.577,6.831
114.83,6.111,1.353,6.259
115.69,5.133,0.473,5.155
116.56,6.091,0.116,6.092
117.42,5.133,1.327,5.302
118.29,5.355,2.767,6.028
119.16,5.755,2.943,6.464
120.12,4.814,4.44,6.549
121.04,4.597,3.623,5.853
121.91,4.373,3.507,5.605
122.77,5.665,5.752,8.074
123.64,5.303,6.47,8.365
124.5,4.485,6.024,7.51
125.42,3.805,5.937,7.052
126.28,4.386,5.935,7.38
127.15,4.032,5.717,6.996
128.12,3.398,6.025,6.918
128.98,3.131,6.056,6.818
129.85,4.094,5.324,6.716
130.71,5.43,3.158,6.282
131.58,4.744,4.116,6.281
132.49,4.4,3.232,5.46
133.36,3.918,4.714,6.129
134.23,5.533,3.43,6.51
135.14,4.797,2.89,5.6
136.11,6.002,2.822,6.632
136.97,6.17,3.116,6.912
137.84,5.977,2.911,6.648
138.7,6.698,3.088,7.375
139.57,5.483,3.087,6.293
140.43,4.176,3.287,5.315
141.3,3.78,2.536,4.552
142.17,2.017,4.673,5.09
143.13,2.134,6.176,6.535
144.0,1.579,6.336,6.53
144.86,3.489,6.824,7.664
145.78,2.991,4.721,5.588
146.64,1.833,5.076,5.396
147.51,2.735,5.605,6.236
148.37,2.955,5.721,6.44
149.24,3.675,5.373,6.51
150.16,4.092,5.733,7.043
151.12,3.297,6.364,7.167
151.99,4.947,8.331,9.689
152.85,5.381,7.868,9.532
153.72,4.146,8.258,9.24
154.58,4.908,7.129,8.655
155.45,5.526,6.448,8.491
156.32,4.346,6.237,7.602
157.18,4.047,5.511,6.837
158.15,3.581,4.984,6.138
159.11,2.416,6.844,7.258
159.98,3.929,5.605,6.845
160.85,4.455,5.581,7.141
161.71,4.366,7.012,8.26
162.58,5.002,5.746,7.618
163.44,4.603,4.005,6.102
164.36,4.911,4.181,6.45
165.27,5.017,4.001,6.417
166.19,4.979,4.28,6.566
167.16,6.622,4.442,7.973
168.12,6.127,4.885,7.836
168.99,6.715,5.872,8.92
169.85,7.508,5.501,9.307
170.72,8.04,4.76,9.344
171.58,6.455,4.105,7.65
172.45,6.745,2.702,7.266
173.31,7.975,2.768,8.442
174.18,8.106,2.576,8.506
175.15,6.541,2.476,6.994
176.01,6.781,1.74,7.001
176.93,6.754,1.133,6.848
177.79,5.007,0.542,5.036
178.66,5.32,-0.337,5.331
179.52,5.779,0.121,5.78
180.44,4.941,0.504,4.966
181.31,6.496,1.588,6.687
182.17,6.982,1.587,7.16
183.14,5.342,2.743,6.005
184.0,6.416,3.381,7.252
184.92,6.711,3.995,7.81
185.78,6.61,3.755,7.602
186.65,7.28,4.012,8.312
187.51,5.194,4.127,6.634
188.43,4.825,2.828,5.593
189.29,6.294,5.11,8.107
190.21,5.045,5.675,7.593
191.13,4.755,5.713,7.433
191.99,4.199,5.659,7.047
192.86,5.418,5.769,7.914
193.72,5.012,5.309,7.301
194.59,4.148,4.951,6.459
195.45,3.007,5.916,6.636
196.32,1.287,5.861,6.0
197.19,0.81,5.059,5.123
198.15,0.606,4.377,4.419
199.02,1.932,5.317,5.657
199.88,1.027,4.116,4.242
200.75,2.724,5.541,6.174
201.66,3.484,3.511,4.947
202.53,4.501,2.613,5.205
203.4,4.875,1.771,5.187
204.31,4.94,1.453,5.15
205.18,5.065,0.782,5.125
206.14,5.024,0.143,5.026
207.01,5.033,0.209,5.037
207.88,6.959,1.191,7.06
208.74,4.771,1.663,5.052
209.66,5.965,1.47,6.143
210.53,5.231,1.475,5.435
211.39,6.51,2.669,7.035
212.31,7.473,1.826,7.693
213.17,6.853,1.182,6.955
214.14,6.443,1.901,6.717
215.01,5.19,2.654,5.829
215.87,6.95,1.836,7.188
216.74,6.326,2.284,6.726
217.6,6.335,1.04,6.42
218.47,7.081,1.546,7.248
219.38,6.711,1.612,6.902
220.3,8.466,0.763,8.5
221.21,7.981,0.755,8.017
222.18,8.37,1.464,8.497
223.14,8.77,1.894,8.973
224.01,10.734,2.28,10.973
224.87,10.228,2.166,10.455
225.79,10.109,1.995,10.303
226.66,9.897,3.505,10.499
227.52,9.756,3.405,10.333
228.39,10.063,3.527,10.663
229.3,10.685,3.787,11.336
230.17,10.405,3.387,10.943
231.03,10.414,4.006,11.158
231.9,10.254,3.91,10.974
232.76,10.482,3.766,11.138
233.68,9.125,3.938,9.938
234.54,10.716,3.101,11.156
235.41,9.694,2.785,10.086
236.28,9.565,2.912,9.998
237.14,8.577,2.792,9.02
238.01,9.871,1.642,10.007
238.87,9.569,1.168,9.64
239.74,9.104,2.974,9.578
240.61,8.38,4.003,9.287
241.52,8.423,4.164,9.396
242.39,8.362,4.218,9.365
243.25,8.787,4.635,9.934
244.17,6.937,4.135,8.075
245.03,7.254,4.876,8.74
245.9,6.708,4.527,8.093
246.77,5.654,4.791,7.41
247.68,5.806,4.639,7.431
248.6,4.869,5.104,7.054
249.46,4.699,4.239,6.328
250.33,4.866,4.953,6.943
