t_s,vx,vy,speed
1.37,5.085,2.994,5.901
2.24,4.393,3.45,5.585
3.11,3.469,3.465,4.903
4.07,3.706,2.799,4.645
4.94,2.589,3.117,4.052
5.8,3.643,2.651,4.505
6.67,3.404,4.282,5.47
7.53,2.988,3.818,4.848
8.4,5.264,2.491,5.824
9.27,5.874,0.874,5.939
10.13,5.177,2.556,5.774
11.05,6.176,1.919,6.467
11.92,5.577,2.223,6.004
12.78,4.318,2.919,5.212
13.7,6.303,1.839,6.566
14.61,4.325,2.337,4.916
15.48,4.21,4.141,5.906
16.4,4.07,4.106,5.781
17.26,3.916,3.234,5.079
18.13,4.551,2.15,5.034
19.1,5.564,2.367,6.046
20.06,5.882,2.06,6.232
20.93,4.895,3.889,6.252
21.84,5.249,5.004,7.252
22.71,5.316,7.264,9.001
23.57,5.528,6.04,8.188
24.44,6.087,6.241,8.718
25.3,3.826,5.937,7.064
26.17,4.745,6.485,8.035
27.09,4.391,5.176,6.787
27.95,4.815,4.058,6.297
28.82,5.943,3.802,7.055
29.68,4.946,3.338,5.967
30.6,4.15,2.927,5.079
31.46,3.501,2.72,4.433
32.33,3.789,3.406,5.095
33.19,2.841,2.639,3.877
34.06,2.597,2.856,3.861
34.92,2.849,1.167,3.079
35.79,4.513,0.678,4.563
36.71,6.111,-0.175,6.113
37.57,5.062,0.042,5.062
38.49,4.781,-0.228,4.786
39.4,5.384,-1.393,5.561
40.32,6.214,-1.561,6.407
41.18,7.136,-1.346,7.262
42.1,5.595,-0.386,5.609
43.07,7.455,0.03,7.455
43.93,7.233,0.094,7.234
44.8,6.15,-0.163,6.152
45.66,4.778,-0.983,4.878
46.53,4.788,0.989,4.889
47.39,5.201,1.738,5.484
48.26,5.328,1.216,5.465
49.12,5.385,1.141,5.505
50.09,6.109,2.552,6.621
50.95,7.044,3.048,7.675
51.82,7.698,2.576,8.117
52.69,7.264,2.554,7.7
53.55,6.154,1.806,6.414
54.42,5.172,1.641,5.426
55.28,3.359,3.729,5.019
56.15,3.629,3.823,5.271
57.07,4.246,3.726,5.649
57.93,4.683,4.21,6.297
58.8,5.298,2.216,5.743
59.66,6.125,2.553,6.636
60.53,6.494,3.135,7.212
61.39,6.505,4.515,7.918
62.26,5.946,4.943,7.733
63.13,5.522,4.868,7.361
64.09,7.542,6.385,9.882
64.96,7.476,6.971,10.222
65.82,6.956,5.002,8.567
66.69,7.159,4.659,8.542
67.61,5.778,2.556,6.318
68.47,6.88,3.204,7.589
69.34,7.078,2.632,7.551
70.2,6.789,3.998,7.879
71.12,6.016,4.219,7.348
72.08,4.935,4.385,6.601
72.95,3.898,3.922,5.53
73.81,3.616,4.733,5.956
74.68,4.035,4.104,5.755
75.54,3.924,4.066,5.65
76.41,3.913,3.275,5.103
77.27,4.643,3.578,5.861
78.14,4.74,5.853,7.531
79.11,4.249,6.282,7.584
79.97,2.875,7.755,8.27
80.84,2.18,6.475,6.833
81.7,2.197,5.386,5.817
82.62,1.287,5.936,6.074
83.48,2.167,5.773,6.166
84.35,2.04,6.191,6.518
85.21,1.693,5.333,5.595
86.13,2.77,4.406,5.204
87.09,2.138,4.855,5.304
87.96,2.071,3.905,4.42
88.83,2.143,3.703,4.278
89.69,1.7,3.99,4.337
90.56,2.555,4.932,5.554
91.42,1.579,4.954,5.2
92.29,1.909,3.028,3.58
93.15,1.369,3.176,3.459
94.12,0.064,3.619,3.619
95.08,1.639,2.524,3.01
96.0,3.211,5.891,6.709
96.87,3.064,5.449,6.251
97.73,2.779,2.727,3.894
98.6,1.826,3.658,4.089
99.51,1.818,4.284,4.653
100.38,2.048,4.22,4.69
101.24,2.751,3.238,4.249
102.11,3.268,3.598,4.86
102.97,2.289,2.195,3.172
103.84,2.02,4.835,5.24
104.71,3.661,5.809,6.866
105.57,3.425,5.875,6.8
106.49,3.355,6.682,7.477
107.35,3.911,4.723,6.132
108.22,4.67,5.481,7.201
109.13,4.145,4.687,6.257
110.1,4.656,4.122,6.218
110.96,4.87,4.164,6.408
111.83,4.327,3.134,5.343
112.69,6.313,2.548,6.807
113.56,6.327,2.577,6.831
114.43,6.111,1.353,6.259
115.34,5.133,0.473,5.155
116.21,6.091,0.116,6.092
117.12,5.133,1.327,5.302
117.99,5.355,2.767,6.028
118.86,5.755,2.943,6.464
119.72,4.814,4.44,6.549
120.64,4.597,3.623,5.853
121.5,4.373,3.507,5.605
122.37,5.665,5.752,8.074
123.23,5.303,6.47,8.365
124.15,4.485,6.024,7.51
125.11,3.805,5.937,7.052
125.98,4.386,5.935,7.38
126.85,4.032,5.717,6.996
127.71,3.398,6.025,6.918
128.58,3.131,6.056,6.818
129.44,4.094,5.324,6.716
130.31,5.43,3.158,6.282
131.18,4.744,4.116,6.281
132.14,4.4,3.232,5.46
133.11,3.918,4.714,6.129
133.97,5.533,3.43,6.51
134.84,4.797,2.89,5.6
135.7,6.002,2.822,6.632
136.57,6.17,3.116,6.912
137.43,5.977,2.911,6.648
138.3,6.698,3.088,7.375
139.21,5.483,3.087,6.293
140.13,4.176,3.287,5.315
140.99,3.78,2.536,4.552
141.91,2.017,4.673,5.09
142.78,2.134,6.176,6.535
143.64,1.579,6.336,6.53
144.51,3.489,6.824,7.664
145.37,2.991,4.721,5.588
146.24,1.833,5.076,5.396
147.1,2.735,5.605,6.236
147.97,2.955,5.721,6.44
148.83,3.675,5.373,6.51
149.7,4.092,5.733,7.043
150.56,3.297,6.364,7.167
151.43,4.947,8.331,9.689
152.3,5.381,7.868,9.532
153.16,4.146,8.258,9.24
154.13,4.908,7.129,8.655
154.99,5.526,6.448,8.491
155.86,4.346,6.237,7.602
156.73,4.047,5.511,6.837
157.59,3.581,4.984,6.138
158.51,2.416,6.844,7.258
159.37,3.929,5.605,6.845
160.24,4.455,5.581,7.141
161.16,4.366,7.012,8.26
162.12,5.002,5.746,7.618
162.99,4.603,4.005,6.102
163.85,4.911,4.181,6.45
164.72,5.017,4.001,6.417
165.58,4.979,4.28,6.566
166.5,6.622,4.442,7.973
167.41,6.127,4.885,7.836
168.28,6.715,5.872,8.92
169.14,7.508,5.501,9.307
170.01,8.04,4.76,9.344
170.87,6.455,4.105,7.65
171.74,6.745,2.702,7.266
172.66,7.975,2.768,8.442
173.52,8.106,2.576,8.506
174.39,6.541,2.476,6.994
175.25,6.781,1.74,7.001
176.12,6.754,1.133,6.848
177.03,5.007,0.542,5.036
177.9,5.32,-0.337,5.331
178.76,5.779,0.121,5.78
179.63,4.941,0.504,4.966
180.5,6.496,1.588,6.687
181.36,6.982,1.587,7.16
182.23,5.342,2.743,6.005
183.14,6.416,3.381,7.252
184.01,6.711,3.995,7.81
184.87,6.61,3.755,7.602
185.74,7.28,4.012,8.312
186.65,5.194,4.127,6.634
187.52,4.825,2.828,5.593
188.39,6.294,5.11,8.107
189.25,5.045,5.675,7.593
190.17,4.755,5.713,7.433
191.13,4.199,5.659,7.047
192.0,5.418,5.769,7.914
192.86,5.012,5.309,7.301
193.73,4.148,4.951,6.459
194.59,3.007,5.916,6.636
195.51,1.287,5.861,6.0
196.37,0.81,5.059,5.123
197.29,0.606,4.377,4.419
198.2,1.932,5.317,5.657
199.17,1.027,4.116,4.242
200.14,2.724,5.541,6.174
201.0,3.484,3.511,4.947
201.87,4.501,2.613,5.205
202.73,4.875,1.771,5.187
203.6,4.94,1.453,5.15
204.46,5.065,0.782,5.125
205.33,5.024,0.143,5.026
206.2,5.033,0.209,5.037
207.16,6.959,1.191,7.06
208.13,4.771,1.663,5.052
208.99,5.965,1.47,6.143
209.86,5.231,1.475,5.435
210.72,6.51,2.669,7.035
211.59,7.473,1.826,7.693
212.5,6.853,1.182,6.955
213.37,6.443,1.901,6.717
214.24,5.19,2.654,5.829
215.15,6.95,1.836,7.188
216.02,6.326,2.284,6.726
216.88,6.335,1.04,6.42
217.75,7.081,1.546,7.248
218.61,6.711,1.612,6.902
219.48,8.466,0.763,8.5
220.39,7.981,0.755,8.017
221.26,8.37,1.464,8.497
222.17,8.77,1.894,8.973
223.14,10.734,2.28,10.973
224.05,10.228,2.166,10.455
224.92,10.109,1.995,10.303
225.78,9.897,3.505,10.499
226.65,9.756,3.405,10.333
227.52,10.063,3.527,10.663
228.38,10.685,3.787,11.336
229.25,10.405,3.387,10.943
230.16,10.414,4.006,11.158
231.03,10.254,3.91,10.974
231.89,10.482,3.766,11.138
232.81,9.125,3.938,9.938
233.67,10.716,3.101,11.156
234.54,9.694,2.785,10.086
235.4,9.565,2.912,9.998
236.27,8.577,2.792,9.02
237.18,9.871,1.642,10.007
238.15,9.569,1.168,9.64
239.02,9.104,2.974,9.578
239.88,8.38,4.003,9.287
240.75,8.423,4.164,9.396
241.61,8.362,4.218,9.365
242.48,8.787,4.635,9.934
243.34,6.937,4.135,8.075
244.21,7.254,4.876,8.74
245.17,6.708,4.527,8.093
246.04,5.654,4.791,7.41
246.95,5.806,4.639,7.431
247.82,4.869,5.104,7.054
248.68,4.699,4.239,6.328
249.55,4.866,4.953,6.943
