t_s,vx,vy,speed
1.37,2.121,2.121,3.0
2.24,2.121,2.121,3.0
3.11,2.121,2.121,3.0
4.07,2.121,2.121,3.0
4.94,2.121,2.121,3.0
5.8,2.121,2.121,3.0
6.67,2.121,2.121,3.0
7.53,2.121,2.121,3.0
8.4,2.121,2.121,3.0
9.27,2.121,2.121,3.0
10.13,2.121,2.121,3.0
11.1,2.121,2.121,3.0
12.06,2.121,2.121,3.0
12.98,2.121,2.121,3.0
13.85,2.121,2.121,3.0
14.71,2.121,2.121,3.0
15.63,2.121,2.121,3.0
16.54,2.121,2.121,3.0
17.41,2.121,2.121,3.0
18.27,2.121,2.121,3.0
19.14,2.121,2.121,3.0
20.1,2.121,2.121,3.0
21.07,2.121,2.121,3.0
21.93,2.121,2.121,3.0
22.8,2.121,2.121,3.0
23.67,2.121,2.121,3.0
24.53,2.121,2.121,3.0
25.4,2.121,2.121,3.0
26.26,2.121,2.121,3.0
27.13,2.121,2.121,3.0
28.1,2.121,2.121,3.0
28.96,2.121,2.121,3.0
29.83,2.121,2.121,3.0
30.69,2.121,2.121,3.0
31.56,2.121,2.121,3.0
32.42,2.121,2.121,3.0
33.29,2.121,2.121,3.0
34.16,2.121,2.121,3.0
35.07,2.121,2.121,3.0
35.94,2.121,2.121,3.0
36.8,2.121,2.121,3.0
37.67,2.121,2.121,3.0
38.53,2.121,2.121,3.0
39.4,2.121,2.121,3.0
40.32,2.121,2.121,3.0
41.18,2.121,2.121,3.0
42.1,2.121,2.121,3.0
42.96,2.121,2.121,3.0
43.83,2.121,2.121,3.0
44.7,2.121,2.121,3.0
45.61,2.121,2.121,3.0
46.48,2.121,2.121,3.0
47.34,2.121,2.121,3.0
48.21,2.121,2.121,3.0
49.07,2.121,2.121,3.0
49.94,2.121,2.121,3.0
50.8,2.121,2.121,3.0
51.67,2.121,2.121,3.0
52.53,2.121,2.121,3.0
53.4,2.121,2.121,3.0
54.27,2.121,2.121,3.0
55.13,2.121,2.121,3.0
56.1,2.121,2.121,3.0
56.96,2.121,2.121,3.0
57.83,2.121,2.121,3.0
58.69,2.121,2.121,3.0
59.56,2.121,2.121,3.0
60.42,2.121,2.121,3.0
61.29,2.121,2.121,3.0
62.16,2.121,2.121,3.0
63.12,2.121,2.121,3.0
64.09,2.121,2.121,3.0
64.95,2.121,2.121,3.0
65.82,2.121,2.121,3.0
66.68,2.121,2.121,3.0
67.55,2.121,2.121,3.0
68.41,2.121,2.121,3.0
69.28,2.121,2.121,3.0
70.14,2.121,2.121,3.0
71.11,2.121,2.121,3.0
71.98,2.121,2.121,3.0
72.84,2.121,2.121,3.0
73.71,2.121,2.121,3.0
74.57,2.121,2.121,3.0
75.44,2.121,2.121,3.0
76.3,2.121,2.121,3.0
77.17,2.121,2.121,3.0
78.09,2.121,2.121,3.0
78.95,2.121,2.121,3.0
79.82,2.121,2.121,3.0
80.68,2.121,2.121,3.0
81.55,2.121,2.121,3.0
82.47,2.121,2.121,3.0
83.33,2.121,2.121,3.0
84.2,2.121,2.121,3.0
85.11,2.121,2.121,3.0
85.98,2.121,2.121,3.0
86.84,2.121,2.121,3.0
87.71,2.121,2.121,3.0
88.57,2.121,2.121,3.0
89.44,2.121,2.121,3.0
90.35,2.121,2.121,3.0
91.27,2.121,2.121,3.0
92.13,2.121,2.121,3.0
93.1,2.121,2.121,3.0
94.02,2.121,2.121,3.0
94.88,2.121,2.121,3.0
95.75,2.121,2.121,3.0
96.61,2.121,2.121,3.0
97.48,2.121,2.121,3.0
98.34,2.121,2.121,3.0
99.21,2.121,2.121,3.0
100.12,2.121,2.121,3.0
101.09,2.121,2.121,3.0
101.96,2.121,2.121,3.0
102.82,2.121,2.121,3.0
103.69,2.121,2.121,3.0
104.55,2.121,2.121,3.0
105.42,2.121,2.121,3.0
106.29,2.121,2.121,3.0
107.15,2.121,2.121,3.0
108.12,2.121,2.121,3.0
108.98,2.121,2.121,3.0
109.85,2.121,2.121,3.0
110.72,2.121,2.121,3.0
