strategy,makespan,completed,tasks_done,tasks_total,fuel_violations,min_fuel,total_truck_distance,active_distance,detour_distance,detour_percentage,uptime_ratio,total_swaps,drone_flight_distance,drone_energy,drone_efficiency_percentage,seed,maze,num_trucks,drones_per_station,service_frames,wall_time_s
depot_only,14458,True,38,38,0,111,27610.0,22065.0,5545.0,20.08,0.7631,0,0,0.0,0.0,1,maze.csv,2,1,150,0.02
fixed_station_evrp,14578,True,38,38,0,9,25631.0,20769.0,4862.0,18.97,0.7123,10,0,0.0,0.0,1,maze.csv,2,1,150,0.03
reactive_drone,13133,True,38,38,0,250,23320.0,22273.0,1047.0,4.49,0.848,8,7737.0,9284.4,258.5,1,maze.csv,2,1,150,0.03
proactive_fuel,13033,True,38,38,0,346,23372.0,22307.0,1065.0,4.56,0.8558,10,4302.0,5162.4,581.13,1,maze.csv,2,1,150,0.03
proactive_fuel,13031,True,38,38,0,345,23360.0,22295.0,1065.0,4.56,0.8555,10,4311.0,5173.2,579.91,1,maze.csv,2,2,150,0.03
proactive_fuel,13029,True,38,38,0,346,23370.0,22306.0,1064.0,4.55,0.856,10,4299.0,5158.8,581.53,1,maze.csv,2,4,150,0.04
depot_only,13605,True,36,36,0,107,22643.0,17999.0,4644.0,20.51,0.6615,0,0,0.0,0.0,2,maze.csv,2,1,150,0.02
fixed_station_evrp,13148,True,36,36,0,112,21571.0,18258.0,3313.0,15.36,0.6943,8,0,0.0,0.0,2,maze.csv,2,1,150,0.02
reactive_drone,12228,True,36,36,1,-425,20138.0,18923.0,1215.0,6.03,0.7738,6,3255.0,3906.0,460.83,2,maze.csv,2,1,150,0.02
proactive_fuel,12188,True,36,36,0,367,20147.0,18881.0,1266.0,6.28,0.7746,8,2883.0,3459.6,693.72,2,maze.csv,2,1,150,0.03
proactive_fuel,12188,True,36,36,0,368,20147.0,18881.0,1266.0,6.28,0.7746,8,2868.0,3441.6,697.35,2,maze.csv,2,2,150,0.03
proactive_fuel,12186,True,36,36,0,369,20145.0,18880.0,1265.0,6.28,0.7747,8,2856.0,3427.2,700.28,2,maze.csv,2,4,150,0.03
depot_only,17288,True,40,40,0,115,30653.0,25060.0,5593.0,18.25,0.7248,0,0,0.0,0.0,3,maze.csv,2,1,150,0.03
fixed_station_evrp,19298,True,40,40,0,113,30952.0,26125.0,4827.0,15.6,0.6769,11,0,0.0,0.0,3,maze.csv,2,1,150,0.03
reactive_drone,16618,True,40,40,1,-446,26089.0,24877.0,1212.0,4.65,0.7485,8,4029.0,4834.8,496.4,3,maze.csv,2,1,150,0.03
proactive_fuel,16781,True,40,40,0,351,26118.0,24861.0,1257.0,4.81,0.7407,11,6087.0,7304.4,451.78,3,maze.csv,2,1,150,0.03
proactive_fuel,16779,True,40,40,0,351,26117.0,24860.0,1257.0,4.81,0.7408,11,6081.0,7297.2,452.23,3,maze.csv,2,2,150,0.04
proactive_fuel,16777,True,40,40,0,351,26115.0,24858.0,1257.0,4.81,0.7408,11,6051.0,7261.2,454.47,3,maze.csv,2,4,150,0.05
depot_only,14407,True,36,36,0,175,27502.0,20580.0,6922.0,25.17,0.7142,0,0,0.0,0.0,4,maze.csv,2,1,150,0.02
fixed_station_evrp,13582,True,36,36,0,165,24237.0,20218.0,4019.0,16.58,0.7443,9,0,0.0,0.0,4,maze.csv,2,1,150,0.02
reactive_drone,12192,True,36,36,1,-225,21732.0,20772.0,960.0,4.42,0.8519,6,4194.0,5032.8,357.65,4,maze.csv,2,1,150,0.02
proactive_fuel,12410,True,36,36,0,357,21787.0,20672.0,1115.0,5.12,0.8329,9,4758.0,5709.6,472.89,4,maze.csv,2,1,150,0.03
proactive_fuel,12411,True,36,36,0,357,21787.0,20672.0,1115.0,5.12,0.8328,9,4725.0,5670.0,476.19,4,maze.csv,2,2,150,0.03
proactive_fuel,12409,True,36,36,0,357,21787.0,20672.0,1115.0,5.12,0.8329,9,4713.0,5655.6,477.4,4,maze.csv,2,4,150,0.04
depot_only,17078,True,40,40,0,115,28424.0,22521.0,5903.0,20.77,0.6594,0,0,0.0,0.0,5,maze.csv,2,1,150,0.02
fixed_station_evrp,17063,True,40,40,0,143,27492.0,22318.0,5174.0,18.82,0.654,10,0,0.0,0.0,5,maze.csv,2,1,150,0.03
reactive_drone,16161,True,40,40,0,39,24022.0,19159.0,4863.0,20.24,0.5928,8,4473.0,5367.6,447.13,5,maze.csv,2,1,150,0.03
