strategy,makespan,completed,tasks_done,tasks_total,fuel_violations,min_fuel,total_truck_distance,active_distance,detour_distance,detour_percentage,uptime_ratio,total_swaps,drone_flight_distance,drone_energy,drone_efficiency_percentage,seed,maze,num_trucks,drones_per_station,service_frames,wall_time_s
depot_only,4805,True,38,38,0,229,15821.0,12117.0,3704.0,23.41,0.4203,0,0,0.0,0.0,1,maze.csv,6,1,150,0.01
depot_only,4505,True,36,36,0,63,18718.0,13692.0,5026.0,26.85,0.5065,0,0,0.0,0.0,2,maze.csv,6,1,150,0.01
depot_only,7945,True,40,40,0,176,21023.0,16135.0,4888.0,23.25,0.3385,0,0,0.0,0.0,3,maze.csv,6,1,150,0.02
depot_only,4687,True,36,36,0,115,17359.0,12886.0,4473.0,25.77,0.4582,0,0,0.0,0.0,4,maze.csv,6,1,150,0.01
depot_only,6443,True,40,40,0,339,20962.0,15679.0,5283.0,25.2,0.4056,0,0,0.0,0.0,5,maze.csv,6,1,150,0.02
depot_only,4032,True,35,35,0,172,16280.0,12323.0,3957.0,24.31,0.5094,0,0,0.0,0.0,6,maze.csv,6,1,150,0.01
depot_only,4451,True,35,35,0,167,15317.0,10883.0,4434.0,28.95,0.4075,0,0,0.0,0.0,7,maze.csv,6,1,150,0.01
depot_only,4502,True,36,36,0,172,15442.0,11961.0,3481.0,22.54,0.4428,0,0,0.0,0.0,8,maze.csv,6,1,150,0.01
depot_only,4799,True,40,40,0,114,20231.0,15206.0,5025.0,24.84,0.5281,0,0,0.0,0.0,9,maze.csv,6,1,150,0.01
depot_only,5094,True,39,39,0,61,18101.0,14334.0,3767.0,20.81,0.469,0,0,0.0,0.0,10,maze.csv,6,1,150,0.01
fixed_station_evrp,4717,True,38,38,0,349,15591.0,12230.0,3361.0,21.56,0.4321,1,0,0.0,0.0,1,maze.csv,6,1,150,0.01
fixed_station_evrp,5070,True,36,36,0,145,18612.0,13922.0,4690.0,25.2,0.4577,3,0,0.0,0.0,2,maze.csv,6,1,150,0.01
fixed_station_evrp,7551,True,40,40,0,116,20125.0,15662.0,4463.0,22.18,0.3457,4,0,0.0,0.0,3,maze.csv,6,1,150,0.02
fixed_station_evrp,5184,True,36,36,0,63,17256.0,12804.0,4452.0,25.8,0.4117,2,0,0.0,0.0,4,maze.csv,6,1,150,0.01
fixed_station_evrp,6576,True,40,40,0,395,20070.0,15234.0,4836.0,24.1,0.3861,4,0,0.0,0.0,5,maze.csv,6,1,150,0.02
fixed_station_evrp,4187,True,35,35,0,172,16509.0,12439.0,4070.0,24.65,0.4951,2,0,0.0,0.0,6,maze.csv,6,1,150,0.01
fixed_station_evrp,4313,True,35,35,0,111,15039.0,10548.0,4491.0,29.86,0.4076,1,0,0.0,0.0,7,maze.csv,6,1,150,0.01
fixed_station_evrp,5061,True,36,36,0,172,15837.0,12242.0,3595.0,22.7,0.4031,1,0,0.0,0.0,8,maze.csv,6,1,150,0.01
fixed_station_evrp,4661,True,40,40,0,169,19731.0,14986.0,4745.0,24.05,0.5359,3,0,0.0,0.0,9,maze.csv,6,1,150,0.01
fixed_station_evrp,5185,True,39,39,0,173,17875.0,14531.0,3344.0,18.71,0.4671,2,0,0.0,0.0,10,maze.csv,6,1,150,0.01
reactive_drone,4671,True,38,38,0,349,15535.0,12229.0,3306.0,21.28,0.4363,1,69.0,82.8,3623.19,1,maze.csv,6,1,150,0.01
reactive_drone,4702,True,36,36,0,53,17300.0,13686.0,3614.0,20.89,0.4851,2,879.0,1054.8,568.83,2,maze.csv,6,1,150,0.01
reactive_drone,7069,True,40,40,0,0,18258.0,15066.0,3192.0,17.48,0.3552,3,2496.0,2995.2,300.48,3,maze.csv,6,1,150,0.02
reactive_drone,3808,True,36,36,0,323,15484.0,12339.0,3145.0,20.31,0.54,2,1497.0,1796.4,334.0,4,maze.csv,6,1,150,0.01
reactive_drone,4979,True,40,40,1,-96,17969.0,14522.0,3447.0,19.18,0.4861,2,363.0,435.6,1377.41,5,maze.csv,6,1,150,0.01
reactive_drone,3743,True,35,35,0,61,15269.0,11960.0,3309.0,21.67,0.5325,1,201.0,241.2,1243.78,6,maze.csv,6,1,150,0.01
reactive_drone,3750,True,35,35,0,228,14473.0,10491.0,3982.0,27.51,0.4663,1,558.0,669.6,448.03,7,maze.csv,6,1,150,0.01
reactive_drone,4575,True,36,36,0,172,15272.0,12015.0,3257.0,21.33,0.4377,1,591.0,709.2,423.01,8,maze.csv,6,1,150,0.01
reactive_drone,4212,True,40,40,1,-164,18199.0,14388.0,3811.0,20.94,0.5693,2,957.0,1148.4,522.47,9,maze.csv,6,1,150,0.01
reactive_drone,4994,True,39,39,0,315,17365.0,14474.0,2891.0,16.65,0.483,2,1176.0,1411.2,425.17,10,maze.csv,6,1,150,0.01
proactive_fuel,4670,True,38,38,0,349,15535.0,12229.0,3306.0,21.28,0.4364,1,63.0,75.6,3968.25,1,maze.csv,6,1,150,0.02
proactive_fuel,4622,True,36,36,0,172,17307.0,13693.0,3614.0,20.88,0.4938,3,1590.0,1908.0,471.7,2,maze.csv,6,1,150,0.02
proactive_fuel,7099,True,40,40,0,447,18281.0,15070.0,3211.0,17.56,0.3538,4,1791.0,2149.2,558.35,3,maze.csv,6,1,150,0.02
proactive_fuel,3736,True,36,36,0,344,15475.0,12330.0,3145.0,20.32,0.5501,2,2190.0,2628.0,228.31,4,maze.csv,6,1,150,0.01
proactive_fuel,5143,True,40,40,0,395,17958.0,14511.0,3447.0,19.19,0.4703,4,2316.0,2779.2,431.78,5,maze.csv,6,1,150,0.02
proactive_fuel,3737,True,35,35,0,172,15264.0,11955.0,3309.0,21.68,0.5332,2,2229.0,2674.8,224.32,6,maze.csv,6,1,150,0.01
proactive_fuel,3750,True,35,35,0,228,14473.0,10491.0,3982.0,27.51,0.4663,1,558.0,669.6,448.03,7,maze.csv,6,1,150,0.01
proactive_fuel,4489,True,36,36,0,172,15263.0,12006.0,3257.0,21.34,0.4458,1,408.0,489.6,612.75,8,maze.csv,6,1,150,0.01
proactive_fuel,4211,True,40,40,0,228,18199.0,14388.0,3811.0,20.94,0.5695,3,1653.0,1983.6,453.72,9,maze.csv,6,1,150,0.02
proactive_fuel,4906,True,39,39,0,338,17365.0,14396.0,2969.0,17.1,0.4891,2,708.0,849.6,706.21,10,maze.csv,6,1,150,0.02
depot_only,18679,True,38,38,1,-181,42395.0,25443.0,16952.0,39.99,0.227,0,0,0.0,0.0,1,maze_35x35_loop20_s1.csv,6,1,150,0.03
depot_only,10612,True,36,36,0,1,33820.0,21349.0,12471.0,36.87,0.3353,0,0,0.0,0.0,2,maze_35x35_loop20_s1.csv,6,1,150,0.02
depot_only,9721,True,40,40,0,113,33533.0,22312.0,11221.0,33.46,0.3825,0,0,0.0,0.0,3,maze_35x35_loop20_s1.csv,6,1,150,0.02
depot_only,8333,True,36,36,0,64,29947.0,18901.0,11046.0,36.89,0.378,0,0,0.0,0.0,4,maze_35x35_loop20_s1.csv,6,1,150,0.02
depot_only,24403,True,40,40,1,-65,47682.0,28911.0,18771.0,39.37,0.1975,0,0,0.0,0.0,5,maze_35x35_loop20_s1.csv,6,1,150,0.04
depot_only,18431,True,35,35,1,-181,39038.0,23057.0,15981.0,40.94,0.2085,0,0,0.0,0.0,6,maze_35x35_loop20_s1.csv,6,1,150,0.03
depot_only,18072,True,35,35,1,-168,37242.0,22440.0,14802.0,39.75,0.2069,0,0,0.0,0.0,7,maze_35x35_loop20_s1.csv,6,1,150,0.03
depot_only,14737,True,36,36,1,-405,35019.0,21718.0,13301.0,37.98,0.2456,0,0,0.0,0.0,8,maze_35x35_loop20_s1.csv,6,1,150,0.03
depot_only,18551,True,40,40,1,-335,44537.0,27347.0,17190.0,38.6,0.2457,0,0,0.0,0.0,9,maze_35x35_loop20_s1.csv,6,1,150,0.04
depot_only,16333,True,39,39,1,-352,51927.0,31397.0,20530.0,39.54,0.3204,0,0,0.0,0.0,10,maze_35x35_loop20_s1.csv,6,1,150,0.04
fixed_station_evrp,8117,True,38,38,0,158,26272.0,17319.0,8953.0,34.08,0.3556,6,0,0.0,0.0,1,maze_35x35_loop20_s1.csv,6,1,150,0.02
fixed_station_evrp,7024,True,36,36,0,207,25744.0,18070.0,7674.0,29.81,0.4288,6,0,0.0,0.0,2,maze_35x35_loop20_s1.csv,6,1,150,0.02
fixed_station_evrp,9232,True,40,40,0,162,30395.0,20540.0,9855.0,32.42,0.3708,8,0,0.0,0.0,3,maze_35x35_loop20_s1.csv,6,1,150,0.02
fixed_station_evrp,5173,True,36,36,0,86,23138.0,16033.0,7105.0,30.71,0.5166,3,0,0.0,0.0,4,maze_35x35_loop20_s1.csv,6,1,150,0.02
fixed_station_evrp,15192,True,40,40,0,308,34723.0,23436.0,11287.0,32.51,0.2571,12,0,0.0,0.0,5,maze_35x35_loop20_s1.csv,6,1,150,0.03
fixed_station_evrp,5191,True,35,35,0,107,24970.0,17156.0,7814.0,31.29,0.5508,4,0,0.0,0.0,6,maze_35x35_loop20_s1.csv,6,1,150,0.02
fixed_station_evrp,7278,True,35,35,0,165,23686.0,15747.0,7939.0,33.52,0.3606,5,0,0.0,0.0,7,maze_35x35_loop20_s1.csv,6,1,150,0.02
fixed_station_evrp,5129,True,36,36,0,278,23376.0,16461.0,6915.0,29.58,0.5349,5,0,0.0,0.0,8,maze_35x35_loop20_s1.csv,6,1,150,0.02
fixed_station_evrp,6764,True,40,40,0,483,26729.0,18954.0,7775.0,29.09,0.467,7,0,0.0,0.0,9,maze_35x35_loop20_s1.csv,6,1,150,0.02
fixed_station_evrp,8139,True,39,39,0,229,34325.0,24184.0,10141.0,29.54,0.4952,10,0,0.0,0.0,10,maze_35x35_loop20_s1.csv,6,1,150,0.03
reactive_drone,7852,True,38,38,2,-853,22307.0,16890.0,5417.0,24.28,0.3585,2,687.0,824.4,727.8,1,maze_35x35_loop20_s1.csv,6,1,150,0.02
reactive_drone,5312,True,36,36,1,-221,21781.0,16967.0,4814.0,22.1,0.5323,3,1806.0,2167.2,415.28,2,maze_35x35_loop20_s1.csv,6,1,150,0.02
reactive_drone,8368,True,40,40,1,-169,25245.0,19434.0,5811.0,23.02,0.3871,4,2277.0,2732.4,439.17,3,maze_35x35_loop20_s1.csv,6,1,150,0.02
reactive_drone,4786,True,36,36,0,108,21543.0,15626.0,5917.0,27.47,0.5442,4,3006.0,3607.2,332.67,4,maze_35x35_loop20_s1.csv,6,1,150,0.02
reactive_drone,8499,True,40,40,1,-2,25671.0,20857.0,4814.0,18.75,0.409,5,2694.0,3232.8,463.99,5,maze_35x35_loop20_s1.csv,6,1,150,0.02
reactive_drone,4381,True,35,35,1,-287,21274.0,15637.0,5637.0,26.5,0.5949,4,2793.0,3351.6,358.04,6,maze_35x35_loop20_s1.csv,6,1,150,0.02
reactive_drone,6210,True,35,35,1,-204,20280.0,15146.0,5134.0,25.32,0.4065,3,2436.0,2923.2,307.88,7,maze_35x35_loop20_s1.csv,6,1,150,0.02
reactive_drone,4471,True,36,36,2,-223,21284.0,16489.0,4795.0,22.53,0.6147,3,1323.0,1587.6,566.89,8,maze_35x35_loop20_s1.csv,6,1,150,0.01
reactive_drone,4768,True,40,40,2,-459,23435.0,18127.0,5308.0,22.65,0.6336,4,2667.0,3200.4,374.95,9,maze_35x35_loop20_s1.csv,6,1,150,0.02
reactive_drone,7471,True,39,39,3,-742,26786.0,21340.0,5446.0,20.33,0.4761,4,1545.0,1854.0,647.25,10,maze_35x35_loop20_s1.csv,6,1,150,0.02
