strategy,makespan,completed,tasks_done,tasks_total,fuel_violations,strand_events,stranded_frames,min_fuel,total_truck_distance,active_distance,detour_distance,detour_percentage,uptime_ratio,hold_frames,total_swaps,drone_flight_distance,drone_energy,drone_efficiency_percentage,max_route_length,truck_range,num_tasks,seed,maze,num_trucks,drones_per_station,service_frames,wall_time_s
depot_only,5330,True,38,38,0,0,0,397.0,9950.0,8309.0,1641.0,16.49,0.7795,0,0,0,0.0,0.0,4342.86,3000.0,38,1,maze.csv,2,1,150,0.02
fixed_station_evrp,4602,True,38,38,0,0,0,142.0,8595.0,7632.0,963.0,11.2,0.8292,300,2,0,0.0,0.0,4342.86,3000.0,38,1,maze.csv,2,1,150,0.03
reactive_drone,4621,True,38,38,0,0,0,592.0,8482.0,7746.0,736.0,8.68,0.8381,347,2,1383.0,1659.6,361.53,4342.86,3000.0,38,1,maze.csv,2,1,150,0.01
proactive_fuel,4596,True,38,38,0,0,0,171.0,8482.0,7746.0,736.0,8.68,0.8427,288,2,150.0,180.0,3333.33,4342.86,3000.0,38,1,maze.csv,2,1,150,0.05
proactive_fuel,4598,True,38,38,0,0,0,171.0,8482.0,7746.0,736.0,8.68,0.8423,290,2,150.0,180.0,3333.33,4342.86,3000.0,38,1,maze.csv,2,2,150,0.02
proactive_fuel,4596,True,38,38,0,0,0,171.0,8482.0,7746.0,736.0,8.68,0.8427,291,2,138.0,165.6,3623.19,4342.86,3000.0,38,1,maze.csv,2,4,150,0.02
depot_only,5275,True,36,36,0,0,0,125.0,10058.0,8700.0,1358.0,13.5,0.8246,0,0,0,0.0,0.0,4457.14,3000.0,36,2,maze.csv,2,1,150,0.02
fixed_station_evrp,5192,True,36,36,0,0,0,113.0,9273.0,8057.0,1216.0,13.11,0.7759,300,2,0,0.0,0.0,4457.14,3000.0,36,2,maze.csv,2,1,150,0.03
reactive_drone,4745,True,36,36,0,0,0,530.0,8759.0,8223.0,536.0,6.12,0.8665,348,2,840.0,1008.0,595.24,4457.14,3000.0,36,2,maze.csv,2,1,150,0.01
proactive_fuel,4709,True,36,36,0,0,0,257.0,8759.0,8223.0,536.0,6.12,0.8731,284,2,525.0,630.0,952.38,4457.14,3000.0,36,2,maze.csv,2,1,150,0.02
proactive_fuel,4709,True,36,36,0,0,0,257.0,8759.0,8223.0,536.0,6.12,0.8731,285,2,522.0,626.4,957.85,4457.14,3000.0,36,2,maze.csv,2,2,150,0.02
proactive_fuel,4709,True,36,36,0,0,0,257.0,8759.0,8223.0,536.0,6.12,0.8731,284,2,519.0,622.8,963.39,4457.14,3000.0,36,2,maze.csv,2,4,150,0.02
depot_only,5034,True,40,40,0,0,0,59.0,9667.0,8109.0,1558.0,16.12,0.8054,0,0,0,0.0,0.0,4114.29,3000.0,40,3,maze.csv,2,1,150,0.02
fixed_station_evrp,4827,True,40,40,0,0,0,395.0,8871.0,8024.0,847.0,9.55,0.8312,300,2,0,0.0,0.0,4114.29,3000.0,40,3,maze.csv,2,1,150,0.03
reactive_drone,4513,True,40,40,0,0,0,174.0,8139.0,7857.0,282.0,3.46,0.8705,346,2,1212.0,1454.4,412.54,4114.29,3000.0,40,3,maze.csv,2,1,150,0.01
proactive_fuel,4362,True,40,40,0,0,0,375.0,8139.0,7857.0,282.0,3.46,0.9006,296,2,579.0,694.8,863.56,4114.29,3000.0,40,3,maze.csv,2,1,150,0.02
proactive_fuel,4363,True,40,40,0,0,0,375.0,8139.0,7857.0,282.0,3.46,0.9004,297,2,579.0,694.8,863.56,4114.29,3000.0,40,3,maze.csv,2,2,150,0.02
proactive_fuel,4361,True,40,40,0,0,0,375.0,8139.0,7857.0,282.0,3.46,0.9008,295,2,579.0,694.8,863.56,4114.29,3000.0,40,3,maze.csv,2,4,150,0.02
depot_only,5265,True,36,36,0,0,0,227.0,10008.0,8542.0,1466.0,14.65,0.8112,0,0,0,0.0,0.0,4457.14,3000.0,36,4,maze.csv,2,1,150,0.02
fixed_station_evrp,5265,True,36,36,0,0,0,197.0,9556.0,8316.0,1240.0,12.98,0.7897,150,1,0,0.0,0.0,4457.14,3000.0,36,4,maze.csv,2,1,150,0.03
reactive_drone,4740,True,36,36,0,0,0,545.0,8819.0,8282.0,537.0,6.09,0.8736,347,2,1371.0,1645.2,364.7,4457.14,3000.0,36,4,maze.csv,2,1,150,0.01
proactive_fuel,4719,True,36,36,0,0,0,117.0,8826.0,8289.0,537.0,6.08,0.8783,279,2,666.0,799.2,750.75,4457.14,3000.0,36,4,maze.csv,2,1,150,0.01
proactive_fuel,4719,True,36,36,0,0,0,117.0,8826.0,8289.0,537.0,6.08,0.8783,278,2,657.0,788.4,761.04,4457.14,3000.0,36,4,maze.csv,2,2,150,0.02
proactive_fuel,4721,True,36,36,0,0,0,117.0,8826.0,8289.0,537.0,6.08,0.8779,280,2,654.0,784.8,764.53,4457.14,3000.0,36,4,maze.csv,2,4,150,0.02
depot_only,5037,True,40,40,0,0,0,342.0,9729.0,8259.0,1470.0,15.11,0.8198,0,0,0,0.0,0.0,4285.71,3000.0,40,5,maze.csv,2,1,150,0.02
fixed_station_evrp,4832,True,40,40,0,0,0,144.0,8821.0,7943.0,878.0,9.95,0.8219,300,2,0,0.0,0.0,4285.71,3000.0,40,5,maze.csv,2,1,150,0.03
reactive_drone,4563,True,40,40,0,0,0,470.0,8370.0,8087.0,283.0,3.38,0.8861,346,2,1209.0,1450.8,413.56,4285.71,3000.0,40,5,maze.csv,2,1,150,0.01
proactive_fuel,4538,True,40,40,0,0,0,256.0,8370.0,8087.0,283.0,3.38,0.891,285,2,297.0,356.4,1683.5,4285.71,3000.0,40,5,maze.csv,2,1,150,0.02
proactive_fuel,4537,True,40,40,0,0,0,256.0,8370.0,8087.0,283.0,3.38,0.8912,283,2,303.0,363.6,1650.17,4285.71,3000.0,40,5,maze.csv,2,2,150,0.02
proactive_fuel,4541,True,40,40,0,0,0,256.0,8370.0,8087.0,283.0,3.38,0.8904,287,2,288.0,345.6,1736.11,4285.71,3000.0,40,5,maze.csv,2,4,150,0.02
depot_only,4851,True,35,35,0,0,0,232.0,9153.0,7827.0,1326.0,14.49,0.8067,0,0,0,0.0,0.0,3942.86,3000.0,35,6,maze.csv,2,1,150,0.02
fixed_station_evrp,4653,True,35,35,0,0,0,712.0,8196.0,7235.0,961.0,11.73,0.7775,300,2,0,0.0,0.0,3942.86,3000.0,35,6,maze.csv,2,1,150,0.02
reactive_drone,4196,True,35,35,0,0,0,466.0,7733.0,7338.0,395.0,5.11,0.8744,346,2,1521.0,1825.2,328.73,3942.86,3000.0,35,6,maze.csv,2,1,150,0.01
proactive_fuel,4182,True,35,35,0,0,0,233.0,7743.0,7348.0,395.0,5.1,0.8785,278,2,600.0,720.0,833.33,3942.86,3000.0,35,6,maze.csv,2,1,150,0.02
proactive_fuel,4183,True,35,35,0,0,0,233.0,7743.0,7348.0,395.0,5.1,0.8783,280,2,600.0,720.0,833.33,3942.86,3000.0,35,6,maze.csv,2,2,150,0.02
proactive_fuel,4183,True,35,35,0,0,0,233.0,7743.0,7348.0,395.0,5.1,0.8783,281,2,597.0,716.4,837.52,3942.86,3000.0,35,6,maze.csv,2,4,150,0.02
