strategy,makespan,completed,tasks_done,tasks_total,fuel_violations,strand_events,stranded_frames,min_fuel,total_truck_distance,active_distance,detour_distance,detour_percentage,uptime_ratio,hold_frames,total_swaps,drone_flight_distance,drone_energy,drone_efficiency_percentage,max_route_length,truck_range,num_tasks,seed,maze,num_trucks,drones_per_station,service_frames,wall_time_s
fixed_station_evrp,3517,True,38,38,1,1,550,0.0,14075.0,10485.0,3590.0,25.51,0.4969,850,3,0,0.0,0.0,2228.57,2000.0,38,1,maze.csv,6,1,150,0.02
fixed_station_evrp,2501,True,36,36,1,1,207,0.0,12047.0,8767.0,3280.0,27.23,0.5842,357,2,0,0.0,0.0,2057.14,2000.0,36,2,maze.csv,6,1,150,0.02
fixed_station_evrp,2609,True,40,40,0,0,0,20.0,11771.0,9311.0,2460.0,20.9,0.5948,300,2,0,0.0,0.0,2057.14,2000.0,40,3,maze.csv,6,1,150,0.02
fixed_station_evrp,3097,True,36,36,0,0,0,138.0,13957.0,9843.0,4114.0,29.48,0.5297,450,3,0,0.0,0.0,2171.43,2000.0,36,4,maze.csv,6,1,150,0.02
fixed_station_evrp,3393,True,40,40,1,1,207,0.0,15148.0,11113.0,4035.0,26.64,0.5459,507,3,0,0.0,0.0,2171.43,2000.0,40,5,maze.csv,6,1,150,0.02
fixed_station_evrp,2435,True,35,35,0,0,0,127.0,11147.0,8571.0,2576.0,23.11,0.5867,300,2,0,0.0,0.0,2114.29,2000.0,35,6,maze.csv,6,1,150,0.02
fixed_station_evrp,2726,True,35,35,0,0,0,14.0,12501.0,9163.0,3338.0,26.7,0.5602,300,2,0,0.0,0.0,2057.14,2000.0,35,7,maze.csv,6,1,150,0.02
fixed_station_evrp,2722,True,36,36,0,0,0,135.0,12327.0,9362.0,2965.0,24.05,0.5732,450,3,0,0.0,0.0,2114.29,2000.0,36,8,maze.csv,6,1,150,0.02
fixed_station_evrp,3429,True,40,40,1,1,435,0.0,13629.0,9469.0,4160.0,30.52,0.4602,1035,5,0,0.0,0.0,2171.43,2000.0,40,9,maze.csv,6,1,150,0.02
fixed_station_evrp,3960,True,39,39,1,1,435,0.0,15901.0,11138.0,4763.0,29.95,0.4688,1035,5,0,0.0,0.0,2285.71,2000.0,39,10,maze.csv,6,1,150,0.02
reactive_drone,2539,True,38,38,3,3,746,0.0,11803.0,9520.0,2283.0,19.34,0.6249,922,4,2397.0,2876.4,417.19,2228.57,2000.0,38,1,maze.csv,6,1,150,0.01
reactive_drone,2298,True,36,36,1,1,187,0.0,11820.0,8740.0,3080.0,26.06,0.6339,361,2,744.0,892.8,672.04,2057.14,2000.0,36,2,maze.csv,6,1,150,0.01
reactive_drone,2282,True,40,40,0,0,0,20.0,11374.0,9423.0,1951.0,17.15,0.6882,347,2,567.0,680.4,881.83,2057.14,2000.0,40,3,maze.csv,6,1,150,0.01
reactive_drone,2546,True,36,36,3,3,887,0.0,12257.0,9762.0,2495.0,20.36,0.639,1063,4,2919.0,3502.8,342.58,2171.43,2000.0,36,4,maze.csv,6,1,150,0.01
reactive_drone,2654,True,40,40,2,2,706,0.0,12260.0,10144.0,2116.0,17.26,0.637,1228,5,3678.0,4413.6,339.86,2171.43,2000.0,40,5,maze.csv,6,1,150,0.01
reactive_drone,2353,True,35,35,1,1,192,0.0,11027.0,8996.0,2031.0,18.42,0.6372,366,2,531.0,637.2,941.62,2114.29,2000.0,35,6,maze.csv,6,1,150,0.01
reactive_drone,2489,True,35,35,2,2,553,0.0,11703.0,8939.0,2764.0,23.62,0.5986,555,2,1533.0,1839.6,326.16,2057.14,2000.0,35,7,maze.csv,6,1,150,0.01
reactive_drone,2425,True,36,36,1,1,251,0.0,11357.0,9023.0,2334.0,20.55,0.6201,598,3,1773.0,2127.6,423.01,2114.29,2000.0,36,8,maze.csv,6,1,150,0.01
reactive_drone,2499,True,40,40,3,3,768,0.0,12371.0,9613.0,2758.0,22.29,0.6411,1118,5,2478.0,2973.6,504.44,2171.43,2000.0,40,9,maze.csv,6,1,150,0.01
