num_evs,num_tasks,ev_range,timesteps,num_tasks_finished
4,100,3000,149,100
5,100,3000,159,98
6,100,3000,153,98
7,100,3000,203,98
8,100,3000,145,97
9,100,3000,109,100
10,100,3000,145,97
11,100,3000,113,96
12,100,3000,145,96
13,100,3000,113,96
14,100,3000,171,93
15,100,3000,171,93
16,100,3000,117,93
17,100,3000,141,93
18,100,3000,117,93
19,100,3000,175,91
20,100,3000,175,91
21,100,3000,119,91
22,100,3000,119,91
23,100,3000,119,91
24,100,3000,119,91
25,100,3000,119,91
26,100,3000,119,91
27,100,3000,119,91
28,100,3000,119,91
29,100,3000,119,91
30,100,3000,119,91
31,100,3000,119,91
32,100,3000,119,91
33,100,3000,119,91
34,100,3000,119,92
35,100,3000,119,92
36,100,3000,119,92
37,100,3000,119,92
38,100,3000,119,92
39,100,3000,119,92
40,100,3000,67,92
41,100,3000,67,92
42,100,3000,67,92
43,100,3000,67,92
44,100,3000,67,92
45,100,3000,67,92
46,100,3000,67,92
47,100,3000,67,92
48,100,3000,67,92
49,100,3000,67,92
50,100,3000,67,92
51,100,3000,67,92
52,100,3000,67,92
53,100,3000,59,91
54,100,3000,59,91
55,100,3000,59,91
56,100,3000,59,91
57,100,3000,59,91
58,100,3000,59,91
59,100,3000,59,91
60,100,3000,59,91
61,100,3000,59,91
62,100,3000,59,91
63,100,3000,59,91
64,100,3000,59,91
65,100,3000,59,91
66,100,3000,59,91
67,100,3000,59,91
68,100,3000,59,91
69,100,3000,59,91
70,100,3000,59,91
71,100,3000,59,91
72,100,3000,59,91
73,100,3000,59,91
74,100,3000,59,91
75,100,3000,59,91
76,100,3000,59,91
77,100,3000,59,91
78,100,3000,59,91
79,100,3000,59,91
80,100,3000,59,91
81,100,3000,59,91
82,100,3000,59,91
83,100,3000,59,91
84,100,3000,59,91
85,100,3000,59,91
86,100,3000,59,91
87,100,3000,59,91
88,100,3000,59,91
89,100,3000,59,91
90,100,3000,59,91
91,100,3000,59,91
92,100,3000,59,91
93,100,3000,59,91
94,100,3000,59,91
95,100,3000,59,91
96,100,3000,59,91
97,100,3000,59,91
98,100,3000,59,91
99,100,3000,59,91
