num_evs,num_tasks,ev_range,timesteps,num_tasks_finished
6,40,2700,99,38
6,40,2710,99,38
6,40,2720,99,38
6,40,2730,99,38
6,40,2740,99,38
6,40,2750,99,38
6,40,2760,99,38
6,40,2770,99,38
6,40,2780,99,38
6,40,2790,99,38
6,40,2800,99,38
6,40,2810,99,38
6,40,2820,99,38
6,40,2830,99,38
6,40,2840,99,38
6,40,2850,99,38
6,40,2860,99,38
6,40,2870,99,38
6,40,2880,99,38
6,40,2890,99,38
6,40,2900,99,38
6,40,2910,99,38
6,40,2920,99,38
6,40,2930,99,38
6,40,2940,99,38
6,40,2950,99,38
6,40,2960,99,38
6,40,2970,99,38
6,40,2980,99,38
6,40,2990,99,38
6,40,3000,99,38
6,40,3010,99,38
6,40,3020,99,38
6,40,3030,99,38
6,40,3040,99,38
6,40,3050,99,38
6,40,3060,99,38
6,40,3070,99,38
6,40,3080,99,38
6,40,3090,99,38
6,40,3100,83,40
6,40,3110,83,40
6,40,3120,83,40
6,40,3130,83,40
6,40,3140,83,40
6,40,3150,83,40
6,40,3160,83,40
6,40,3170,83,40
6,40,3180,83,40
6,40,3190,83,40
6,40,3200,83,40
6,40,3210,83,40
6,40,3220,83,40
6,40,3230,83,40
6,40,3240,83,40
6,40,3250,83,40
6,40,3260,83,40
6,40,3270,83,40
6,40,3280,83,40
6,40,3290,83,40
6,40,3300,83,40
6,40,3310,83,40
6,40,3320,83,40
6,40,3330,83,40
6,40,3340,83,40
6,40,3350,83,40
6,40,3360,83,40
6,40,3370,83,40
6,40,3380,83,40
6,40,3390,83,40
6,40,3400,83,40
6,40,3410,83,40
6,40,3420,83,40
6,40,3430,83,40
6,40,3440,83,40
6,40,3450,83,40
6,40,3460,83,40
6,40,3470,83,40
6,40,3480,83,40
6,40,3490,83,40
6,40,3500,83,40
6,40,3510,83,40
6,40,3520,83,40
6,40,3530,83,40
6,40,3540,83,40
6,40,3550,83,40
6,40,3560,83,40
6,40,3570,83,40
6,40,3580,83,40
6,40,3590,83,40
6,40,3600,83,40
6,40,3610,83,40
6,40,3620,83,40
6,40,3630,83,40
6,40,3640,83,40
6,40,3650,83,40
6,40,3660,83,40
6,40,3670,83,40
6,40,3680,83,40
6,40,3690,83,40
6,40,3700,83,40
6,40,3710,83,40
6,40,3720,83,40
6,40,3730,83,40
6,40,3740,83,40
6,40,3750,83,40
6,40,3760,83,40
6,40,3770,83,40
6,40,3780,83,40
6,40,3790,83,40
6,40,3800,83,40
6,40,3810,83,40
6,40,3820,83,40
6,40,3830,83,40
6,40,3840,83,40
6,40,3850,83,40
6,40,3860,83,40
6,40,3870,83,40
6,40,3880,83,40
6,40,3890,83,40
6,40,3900,83,40
6,40,3910,83,40
6,40,3920,83,40
6,40,3930,83,40
6,40,3940,83,40
6,40,3950,83,40
6,40,3960,83,40
6,40,3970,83,40
6,40,3980,83,40
6,40,3990,83,40
6,40,4000,83,40
6,40,4010,83,40
6,40,4020,83,40
6,40,4030,83,40
6,40,4040,83,40
6,40,4050,83,40
6,40,4060,83,40
6,40,4070,83,40
6,40,4080,83,40
6,40,4090,83,40
6,40,4100,83,40
6,40,4110,83,40
6,40,4120,83,40
6,40,4130,83,40
6,40,4140,83,40
6,40,4150,83,40
6,40,4160,83,40
6,40,4170,83,40
6,40,4180,83,40
6,40,4190,83,40
6,40,4200,83,40
6,40,4210,83,40
6,40,4220,83,40
6,40,4230,83,40
6,40,4240,83,40
6,40,4250,83,40
6,40,4260,83,40
6,40,4270,83,40
6,40,4280,83,40
6,40,4290,83,40
6,40,4300,83,40
6,40,4310,83,40
6,40,4320,83,40
6,40,4330,83,40
6,40,4340,83,40
6,40,4350,83,40
6,40,4360,83,40
6,40,4370,83,40
6,40,4380,83,40
6,40,4390,83,40
6,40,4400,83,40
6,40,4410,83,40
6,40,4420,83,40
6,40,4430,83,40
6,40,4440,83,40
6,40,4450,83,40
6,40,4460,83,40
6,40,4470,83,40
6,40,4480,83,40
6,40,4490,83,40
6,40,4500,83,40
6,40,4510,83,40
6,40,4520,83,40
6,40,4530,83,40
6,40,4540,83,40
6,40,4550,83,40
6,40,4560,83,40
6,40,4570,83,40
6,40,4580,83,40
6,40,4590,83,40
6,40,4600,83,40
6,40,4610,83,40
6,40,4620,83,40
6,40,4630,83,40
6,40,4640,83,40
6,40,4650,83,40
6,40,4660,83,40
6,40,4670,83,40
6,40,4680,83,40
6,40,4690,83,40
6,40,4700,83,40
6,40,4710,83,40
6,40,4720,83,40
6,40,4730,83,40
6,40,4740,83,40
6,40,4750,83,40
6,40,4760,83,40
6,40,4770,83,40
6,40,4780,83,40
6,40,4790,83,40
6,40,4800,83,40
6,40,4810,83,40
6,40,4820,83,40
6,40,4830,83,40
6,40,4840,83,40
6,40,4850,83,40
6,40,4860,83,40
6,40,4870,83,40
6,40,4880,83,40
6,40,4890,83,40
6,40,4900,83,40
6,40,4910,83,40
6,40,4920,83,40
6,40,4930,83,40
6,40,4940,83,40
6,40,4950,83,40
6,40,4960,83,40
6,40,4970,83,40
6,40,4980,83,40
6,40,4990,83,40
6,40,5000,83,40
