num_evs,num_tasks,ev_range,timesteps,num_tasks_finished
6,10,3000,53,9
6,11,3000,53,10
6,12,3000,59,11
6,13,3000,59,12
6,14,3000,59,12
6,15,3000,59,13
6,16,3000,59,14
6,17,3000,97,15
6,18,3000,97,16
6,19,3000,107,17
6,20,3000,107,18
6,21,3000,113,19
6,22,3000,113,20
6,23,3000,113,21
6,24,3000,113,22
6,25,3000,113,23
6,26,3000,113,24
6,27,3000,113,25
6,28,3000,113,26
6,29,3000,115,27
6,30,3000,169,28
6,31,3000,135,29
6,32,3000,135,30
6,33,3000,135,31
6,34,3000,135,32
6,35,3000,115,33
6,36,3000,117,34
6,37,3000,165,35
6,38,3000,119,36
6,39,3000,119,37
6,40,3000,155,38
6,41,3000,177,39
6,42,3000,155,40
6,43,3000,155,41
6,44,3000,159,42
6,45,3000,161,43
6,46,3000,163,43
6,47,3000,163,44
6,48,3000,215,45
6,49,3000,215,46
6,50,3000,275,47
6,51,3000,279,48
6,52,3000,235,48
6,53,3000,277,49
6,54,3000,277,50
6,55,3000,233,51
6,56,3000,281,52
6,57,3000,281,53
6,58,3000,297,54
6,59,3000,275,55
6,60,3000,349,56
6,61,3000,343,57
6,62,3000,343,58
6,63,3000,285,58
6,64,3000,285,59
6,65,3000,261,59
6,66,3000,343,60
6,67,3000,339,61
6,68,3000,343,61
6,69,3000,343,62
6,70,3000,343,63
6,71,3000,339,64
6,72,3000,343,65
6,73,3000,287,66
6,74,3000,341,67
6,75,3000,341,68
6,76,3000,345,68
6,77,3000,295,69
6,78,3000,295,70
6,79,3000,287,71
6,80,3000,345,72
6,81,3000,341,73
6,82,3000,349,74
6,83,3000,349,75
6,84,3000,289,76
6,85,3000,349,77
6,86,3000,343,78
6,87,3000,343,79
6,88,3000,343,80
6,89,3000,345,81
6,90,3000,287,82
6,91,3000,287,83
6,92,3000,291,84
6,93,3000,291,85
6,94,3000,291,86
6,95,3000,289,87
6,96,3000,355,87
6,97,3000,283,88
6,98,3000,283,89
6,99,3000,283,90
