num_evs,num_tasks,ev_range,timesteps,num_tasks_finished
6,10,3000,53,9
6,11,3000,53,10
6,12,3000,59,11
6,13,3000,59,12
6,14,3000,59,12
6,15,3000,59,13
6,16,3000,59,14
6,17,3000,67,15
6,18,3000,65,16
6,19,3000,65,17
6,20,3000,65,18
6,21,3000,69,19
6,22,3000,69,20
6,23,3000,69,21
6,24,3000,69,22
6,25,3000,69,23
6,26,3000,69,24
6,27,3000,69,25
6,28,3000,69,26
6,29,3000,73,27
6,30,3000,85,28
6,31,3000,91,31
6,32,3000,85,30
6,33,3000,85,31
6,34,3000,85,32
6,35,3000,85,33
6,36,3000,95,34
6,37,3000,105,35
6,38,3000,99,36
6,39,3000,99,37
6,40,3000,99,38
6,41,3000,101,39
6,42,3000,99,40
6,43,3000,107,41
6,44,3000,107,42
6,45,3000,107,43
6,46,3000,103,46
6,47,3000,103,47
6,48,3000,105,48
6,49,3000,107,47
6,50,3000,107,48
6,51,3000,107,49
6,52,3000,107,50
6,53,3000,115,51
6,54,3000,115,52
6,55,3000,101,55
6,56,3000,119,54
6,57,3000,119,57
6,58,3000,119,56
6,59,3000,125,59
6,60,3000,133,58
6,61,3000,109,61
6,62,3000,109,62
6,63,3000,103,63
6,64,3000,117,64
6,65,3000,173,64
6,66,3000,115,66
6,67,3000,103,67
6,68,3000,227,67
6,69,3000,227,68
6,70,3000,227,69
6,71,3000,125,71
6,72,3000,121,72
6,73,3000,173,72
6,74,3000,111,74
6,75,3000,227,74
6,76,3000,125,75
6,77,3000,151,77
6,78,3000,151,78
6,79,3000,133,79
6,80,3000,125,80
6,81,3000,121,81
6,82,3000,131,82
6,83,3000,131,83
6,84,3000,161,83
6,85,3000,133,85
6,86,3000,151,86
6,87,3000,137,87
6,88,3000,137,88
6,89,3000,129,88
6,90,3000,135,90
6,91,3000,135,91
6,92,3000,131,92
6,93,3000,131,93
6,94,3000,131,94
6,95,3000,159,93
6,96,3000,159,93
6,97,3000,119,97
6,98,3000,119,96
6,99,3000,119,97
