num_ugvs,ugv_range,maze_loop_percentage,tasks_completed,distance_traveled,energy_consumed,avg_task_completion_time
3, 100000000, 50, 284, 78400.0, 78400.0, 175.08833922261485
3, 100000000, 60, 265, 72650.0, 72650.0, 183.1439393939394
3, 100000000, 70, 374, 88200.0, 88200.0, 131.09919571045577
3, 100000000, 80, 373, 85500.0, 85500.0, 134.13978494623655
3, 100000000, 90, 329, 79600.0, 79600.0, 150.3048780487805
4, 100000000, 50, 477, 111050.0, 111050.0, 104.2016806722689
4, 100000000, 60, 501, 110200.0, 110200.0, 97.0
4, 100000000, 70, 515, 107500.0, 107500.0, 95.8171206225681
4, 100000000, 80, 547, 111800.0, 111800.0, 91.39194139194139
4, 100000000, 90, 552, 110000.0, 110000.0, 89.65517241379311
5, 100000000, 50, 656, 137000.0, 137000.0, 76.03053435114504
5, 100000000, 60, 718, 140150.0, 140150.0, 68.89818688981869
5, 100000000, 70, 746, 138400.0, 138400.0, 66.71140939597315
5, 100000000, 80, 793, 142250.0, 142250.0, 62.878787878787875
5, 100000000, 90, 745, 137100.0, 137100.0, 66.93548387096774
6, 100000000, 50, 883, 166100.0, 166100.0, 56.235827664399096
6, 100000000, 60, 958, 164200.0, 164200.0, 51.67189132706374
6, 100000000, 70, 1003, 166050.0, 166050.0, 49.800399201596804
6, 100000000, 80, 1034, 166550.0, 166550.0, 48.30590513068732
6, 100000000, 90, 1081, 166550.0, 166550.0, 46.2037037037037
7, 100000000, 50, 1180, 200350.0, 200350.0, 42.28159457167091
7, 100000000, 60, 1153, 189100.0, 189100.0, 42.838541666666664
7, 100000000, 70, 1346, 200950.0, 200950.0, 37.100371747211895
7, 100000000, 80, 1429, 201000.0, 201000.0, 34.943977591036415
7, 100000000, 90, 1342, 193250.0, 193250.0, 37.2110365398956
