num_ugvs,ugv_range,maze_loop_percentage,tasks_completed,distance_traveled,energy_consumed,avg_task_completion_time
3, 1500, 50, 278, 76700.0, 76700.0, 179.9638989169675
3, 2000, 50, 293, 81750.0, 81750.0, 168.66438356164383
3, 2500, 50, 272, 74650.0, 74650.0, 181.9188191881919
3, 3000, 50, 297, 82350.0, 82350.0, 168.41216216216216
3, 3500, 50, 298, 82850.0, 82850.0, 167.17171717171718
3, 4000, 50, 292, 80950.0, 80950.0, 171.30584192439864
3, 4500, 50, 298, 81800.0, 81800.0, 167.5084175084175
3, 5000, 50, 295, 82200.0, 82200.0, 169.3877551020408
3, 1500, 60, 295, 79600.0, 79600.0, 163.94557823129253
3, 2000, 60, 274, 74250.0, 74250.0, 175.82417582417582
3, 2500, 60, 273, 74250.0, 74250.0, 177.2058823529412
3, 3000, 60, 263, 71850.0, 71850.0, 183.01526717557252
3, 3500, 60, 285, 77550.0, 77550.0, 169.54225352112675
3, 4000, 60, 276, 74750.0, 74750.0, 174.54545454545453
3, 4500, 60, 264, 71550.0, 71550.0, 183.07984790874525
3, 5000, 60, 263, 71650.0, 71650.0, 183.96946564885496
3, 1500, 70, 346, 82200.0, 82200.0, 142.7536231884058
3, 2000, 70, 349, 82000.0, 82000.0, 141.52298850574712
3, 2500, 70, 324, 76700.0, 76700.0, 152.0123839009288
3, 3000, 70, 343, 81350.0, 81350.0, 143.859649122807
3, 3500, 70, 338, 80000.0, 80000.0, 143.32344213649853
3, 4000, 70, 343, 81100.0, 81100.0, 144.00584795321637
3, 4500, 70, 324, 76950.0, 76950.0, 152.4767801857585
3, 5000, 70, 333, 79100.0, 79100.0, 147.89156626506025
3, 1500, 80, 347, 80200.0, 80200.0, 143.64161849710982
3, 2000, 80, 352, 81050.0, 81050.0, 142.02279202279203
3, 2500, 80, 347, 80400.0, 80400.0, 143.0635838150289
3, 3000, 80, 344, 80100.0, 80100.0, 144.89795918367346
3, 3500, 80, 379, 87600.0, 87600.0, 131.74603174603175
3, 4000, 80, 353, 81150.0, 81150.0, 141.47727272727272
3, 4500, 80, 359, 82950.0, 82950.0, 139.24581005586592
3, 5000, 80, 376, 86800.0, 86800.0, 132.53333333333333
3, 1500, 90, 313, 75600.0, 75600.0, 157.21153846153845
3, 2000, 90, 299, 71550.0, 71550.0, 164.93288590604027
3, 2500, 90, 340, 81050.0, 81050.0, 144.98525073746313
3, 3000, 90, 330, 79700.0, 79700.0, 149.54407294832828
3, 3500, 90, 340, 81250.0, 81250.0, 145.13274336283186
3, 4000, 90, 353, 85250.0, 85250.0, 139.3465909090909
3, 4500, 90, 329, 78850.0, 78850.0, 148.47560975609755
3, 5000, 90, 328, 79300.0, 79300.0, 150.0
4, 1500, 50, 453, 105950.0, 105950.0, 109.62389380530973
4, 2000, 50, 441, 103000.0, 103000.0, 113.06818181818181
4, 2500, 50, 484, 112800.0, 112800.0, 102.5879917184265
4, 3000, 50, 438, 103500.0, 103500.0, 113.38672768878719
4, 3500, 50, 498, 115650.0, 115650.0, 100.20120724346077
4, 4000, 50, 457, 107300.0, 107300.0, 108.66228070175438
4, 4500, 50, 469, 109550.0, 109550.0, 106.08974358974359
4, 5000, 50, 484, 112950.0, 112950.0, 103.00207039337474
4, 1500, 60, 470, 102600.0, 102600.0, 102.77185501066099
4, 2000, 60, 500, 110500.0, 110500.0, 96.39278557114228
4, 2500, 60, 465, 102050.0, 102050.0, 103.87931034482759
4, 3000, 60, 462, 101150.0, 101150.0, 104.4468546637744
4, 3500, 60, 467, 102750.0, 102750.0, 103.43347639484979
4, 4000, 60, 488, 107100.0, 107100.0, 98.97330595482546
4, 4500, 60, 456, 100350.0, 100350.0, 105.82417582417582
4, 5000, 60, 458, 100450.0, 100450.0, 105.25164113785559
4, 1500, 70, 472, 99450.0, 99450.0, 104.88322717622081
4, 2000, 70, 509, 107800.0, 107800.0, 96.75196850393701
4, 2500, 70, 547, 114600.0, 114600.0, 90.47619047619048
4, 3000, 70, 491, 103950.0, 103950.0, 100.51020408163265
4, 3500, 70, 533, 111950.0, 111950.0, 92.85714285714286
4, 4000, 70, 500, 104100.0, 104100.0, 98.89779559118236
4, 4500, 70, 511, 108400.0, 108400.0, 96.76470588235294
4, 5000, 70, 516, 108400.0, 108400.0, 95.8252427184466
4, 1500, 80, 517, 105000.0, 105000.0, 96.60852713178295
4, 2000, 80, 531, 108700.0, 108700.0, 94.15094339622641
4, 2500, 80, 524, 106500.0, 106500.0, 95.41108986615679
4, 3000, 80, 530, 106550.0, 106550.0, 94.3289224952741
4, 3500, 80, 577, 116900.0, 116900.0, 86.63194444444444
4, 4000, 80, 567, 115150.0, 115150.0, 88.07420494699646
4, 4500, 80, 554, 113200.0, 113200.0, 90.23508137432188
4, 5000, 80, 562, 113650.0, 113650.0, 88.85918003565062
4, 1500, 90, 475, 95750.0, 95750.0, 104.32489451476793
4, 2000, 90, 536, 107050.0, 107050.0, 92.71028037383178
4, 2500, 90, 507, 101900.0, 101900.0, 98.02371541501977
4, 3000, 90, 531, 106500.0, 106500.0, 93.58490566037736
4, 3500, 90, 579, 116250.0, 116250.0, 85.81314878892734
4, 4000, 90, 523, 105200.0, 105200.0, 95.11494252873563
4, 4500, 90, 566, 113550.0, 113550.0, 87.78761061946902
4, 5000, 90, 542, 108850.0, 108850.0, 91.77449168207023
5, 1500, 50, 632, 130550.0, 130550.0, 78.92234548335975
5, 2000, 50, 644, 133100.0, 133100.0, 77.44945567651634
5, 2500, 50, 653, 133850.0, 133850.0, 76.38036809815951
