num_ugvs,ugv_range,maze_loop_percentage,tasks_completed,distance_traveled,energy_consumed,avg_task_completion_time
3, 1500, 50, 244, 82450.0, 82450.0, 204.52674897119343
3, 2000, 50, 254, 81250.0, 81250.0, 196.83794466403162
3, 2500, 50, 281, 84200.0, 84200.0, 178.03571428571428
3, 3000, 50, 253, 76100.0, 76100.0, 197.02380952380952
3, 3500, 50, 293, 86250.0, 86250.0, 170.71917808219177
3, 4000, 50, 307, 91300.0, 91300.0, 162.7450980392157
3, 4500, 50, 306, 88500.0, 88500.0, 163.11475409836066
3, 5000, 50, 283, 82050.0, 82050.0, 176.77304964539007
3, 1500, 60, 245, 82750.0, 82750.0, 198.5655737704918
3, 2000, 60, 251, 79650.0, 79650.0, 193.4
3, 2500, 60, 279, 83850.0, 83850.0, 174.64028776978418
3, 3000, 60, 282, 85050.0, 85050.0, 172.95373665480426
3, 3500, 60, 264, 77750.0, 77750.0, 184.60076045627378
3, 4000, 60, 271, 80250.0, 80250.0, 179.07407407407408
3, 4500, 60, 294, 83050.0, 83050.0, 165.0170648464164
3, 5000, 60, 247, 70750.0, 70750.0, 196.7479674796748
3, 1500, 70, 278, 83800.0, 83800.0, 177.6173285198556
3, 2000, 70, 285, 80400.0, 80400.0, 172.53521126760563
3, 2500, 70, 283, 79300.0, 79300.0, 174.29078014184398
3, 3000, 70, 322, 84250.0, 84250.0, 153.42679127725856
3, 3500, 70, 329, 85250.0, 85250.0, 147.5609756097561
3, 4000, 70, 315, 80750.0, 80750.0, 156.21019108280254
3, 4500, 70, 321, 81900.0, 81900.0, 153.59375
3, 5000, 70, 326, 81550.0, 81550.0, 151.3846153846154
3, 1500, 80, 252, 74900.0, 74900.0, 198.40637450199202
3, 2000, 80, 291, 79700.0, 79700.0, 171.89655172413794
3, 2500, 80, 300, 78550.0, 78550.0, 166.55518394648828
3, 3000, 80, 331, 82150.0, 82150.0, 151.06060606060606
3, 3500, 80, 350, 86150.0, 86150.0, 142.97994269340975
3, 4000, 80, 320, 79550.0, 79550.0, 155.6426332288401
3, 4500, 80, 313, 77750.0, 77750.0, 159.77564102564102
3, 5000, 80, 348, 84100.0, 84100.0, 143.5158501440922
3, 1500, 90, 268, 78000.0, 78000.0, 186.14232209737827
3, 2000, 90, 282, 79750.0, 79750.0, 176.86832740213524
3, 2500, 90, 292, 79000.0, 79000.0, 170.79037800687286
3, 3000, 90, 284, 75700.0, 75700.0, 175.61837455830388
3, 3500, 90, 303, 78700.0, 78700.0, 164.0728476821192
3, 4000, 90, 304, 77250.0, 77250.0, 163.86138613861385
3, 4500, 90, 308, 79000.0, 79000.0, 161.88925081433226
3, 5000, 90, 325, 82150.0, 82150.0, 152.77777777777777
4, 1500, 50, 370, 109950.0, 109950.0, 134.28184281842817
4, 2000, 50, 413, 111200.0, 111200.0, 120.63106796116504
4, 2500, 50, 441, 115650.0, 115650.0, 113.18181818181819
4, 3000, 50, 443, 112050.0, 112050.0, 112.66968325791855
4, 3500, 50, 454, 114950.0, 114950.0, 109.82339955849889
4, 4000, 50, 460, 115000.0, 115000.0, 108.38779956427015
4, 4500, 50, 462, 115200.0, 115200.0, 107.80911062906725
4, 5000, 50, 475, 115850.0, 115850.0, 104.957805907173
4, 1500, 60, 373, 110400.0, 110400.0, 130.6451612903226
4, 2000, 60, 376, 99800.0, 99800.0, 129.33333333333334
4, 2500, 60, 467, 116250.0, 116250.0, 104.18454935622317
4, 3000, 60, 430, 105700.0, 105700.0, 113.17016317016316
4, 3500, 60, 480, 114250.0, 114250.0, 100.41753653444677
4, 4000, 60, 474, 110800.0, 110800.0, 102.74841437632135
4, 4500, 60, 474, 109500.0, 109500.0, 102.74841437632135
4, 5000, 60, 460, 107350.0, 107350.0, 105.88235294117646
4, 1500, 70, 400, 110700.0, 110700.0, 123.6842105263158
4, 2000, 70, 437, 108650.0, 108650.0, 113.18807339449542
4, 2500, 70, 453, 107750.0, 107750.0, 108.40707964601769
4, 3000, 70, 453, 108250.0, 108250.0, 109.29203539823008
4, 3500, 70, 476, 107700.0, 107700.0, 103.47368421052632
4, 4000, 70, 501, 114050.0, 114050.0, 98.4
4, 4500, 70, 498, 112250.0, 112250.0, 98.99396378269617
4, 5000, 70, 512, 113750.0, 113750.0, 96.57534246575342
4, 1500, 80, 390, 100950.0, 100950.0, 128.2776349614396
4, 2000, 80, 465, 111850.0, 111850.0, 107.00431034482759
4, 2500, 80, 453, 104050.0, 104050.0, 110.17699115044248
4, 3000, 80, 490, 110950.0, 110950.0, 102.04498977505112
4, 3500, 80, 484, 106250.0, 106250.0, 103.1055900621118
4, 4000, 80, 488, 104500.0, 104500.0, 102.36139630390144
4, 4500, 80, 491, 108150.0, 108150.0, 101.63265306122449
4, 5000, 80, 489, 105900.0, 105900.0, 101.84426229508196
4, 1500, 90, 398, 101700.0, 101700.0, 124.81108312342569
4, 2000, 90, 450, 105900.0, 105900.0, 110.46770601336303
4, 2500, 90, 460, 104550.0, 104550.0, 108.27886710239652
4, 3000, 90, 489, 108400.0, 108400.0, 101.74180327868852
4, 3500, 90, 471, 103550.0, 103550.0, 105.53191489361703
4, 4000, 90, 490, 105300.0, 105300.0, 101.53374233128834
4, 4500, 90, 483, 104650.0, 104650.0, 103.00829875518673
4, 5000, 90, 496, 104900.0, 104900.0, 100.4040404040404
5, 1500, 50, 528, 142400.0, 142400.0, 94.4022770398482
5, 2000, 50, 588, 149500.0, 149500.0, 84.75298126064736
5, 2500, 50, 619, 146650.0, 146650.0, 80.58252427184466
5, 3000, 50, 592, 140500.0, 140500.0, 84.17935702199662
5, 3500, 50, 597, 138950.0, 138950.0, 83.47315436241611
5, 4000, 50, 603, 135200.0, 135200.0, 82.72425249169436
5, 4500, 50, 654, 146700.0, 146700.0, 76.26339969372128
5, 5000, 50, 617, 137950.0, 137950.0, 80.60064935064935
5, 1500, 60, 495, 132500.0, 132500.0, 100.10121457489879
5, 2000, 60, 559, 133900.0, 133900.0, 88.62007168458781
5, 2500, 60, 604, 137450.0, 137450.0, 82.00663349917082
5, 3000, 60, 598, 133900.0, 133900.0, 82.74706867671692
5, 3500, 60, 642, 139350.0, 139350.0, 77.14508580343214
5, 4000, 60, 654, 139550.0, 139550.0, 75.72741194486983
5, 4500, 60, 637, 133850.0, 133850.0, 77.75157232704403
5, 5000, 60, 669, 138150.0, 138150.0, 74.02694610778443
5, 1500, 70, 507, 127450.0, 127450.0, 98.3201581027668
5, 2000, 70, 588, 130800.0, 130800.0, 83.98637137989779
5, 2500, 70, 654, 139000.0, 139000.0, 75.95712098009189
5, 3000, 70, 685, 143950.0, 143950.0, 72.73391812865498
5, 3500, 70, 696, 140100.0, 140100.0, 71.51079136690647
5, 4000, 70, 657, 130250.0, 130250.0, 75.91463414634147
5, 4500, 70, 682, 134350.0, 134350.0, 73.12775330396475
5, 5000, 70, 713, 141900.0, 141900.0, 69.66292134831461
5, 1500, 80, 542, 133800.0, 133800.0, 92.2365988909427
5, 2000, 80, 618, 135600.0, 135600.0, 80.6320907617504
5, 2500, 80, 663, 136750.0, 136750.0, 75.30211480362537
5, 3000, 80, 684, 138550.0, 138550.0, 73.06002928257686
5, 3500, 80, 652, 130800.0, 130800.0, 76.65130568356375
5, 4000, 80, 728, 141700.0, 141700.0, 68.56946354883081
5, 4500, 80, 741, 142550.0, 142550.0, 67.43243243243244
5, 5000, 80, 737, 141800.0, 141800.0, 67.79891304347827
5, 1500, 90, 564, 129200.0, 129200.0, 88.45470692717585
5, 2000, 90, 619, 132100.0, 132100.0, 80.58252427184466
5, 2500, 90, 640, 135850.0, 135850.0, 77.93427230046949
5, 3000, 90, 659, 136450.0, 136450.0, 75.07598784194529
5, 3500, 90, 703, 140100.0, 140100.0, 70.94017094017094
5, 4000, 90, 685, 138100.0, 138100.0, 72.80701754385964
5, 4500, 90, 693, 136500.0, 136500.0, 71.89306358381504
5, 5000, 90, 723, 140650.0, 140650.0, 68.90581717451524
6, 1500, 50, 677, 174650.0, 174650.0, 73.66863905325444
6, 2000, 50, 744, 173550.0, 173550.0, 67.02557200538358
6, 2500, 50, 781, 171500.0, 171500.0, 63.717948717948715
6, 3000, 50, 794, 170000.0, 170000.0, 62.799495586380836
6, 3500, 50, 820, 169700.0, 169700.0, 60.43956043956044
6, 4000, 50, 837, 172350.0, 172350.0, 59.569377990430624
6, 4500, 50, 816, 167800.0, 167800.0, 61.104294478527606
6, 5000, 50, 819, 165900.0, 165900.0, 60.81907090464548
6, 1500, 60, 663, 157300.0, 157300.0, 74.69788519637463
6, 2000, 60, 743, 157050.0, 157050.0, 66.57681940700809
6, 2500, 60, 768, 154250.0, 154250.0, 64.47196870925684
6, 3000, 60, 845, 165100.0, 165100.0, 58.59004739336493
6, 3500, 60, 854, 161300.0, 161300.0, 57.97186400937866
6, 4000, 60, 865, 163000.0, 163000.0, 57.2337962962963
6, 4500, 60, 876, 162500.0, 162500.0, 56.51428571428571
6, 5000, 60, 876, 160300.0, 160300.0, 56.457142857142856
6, 1500, 70, 685, 153200.0, 153200.0, 72.953216374269
6, 2000, 70, 761, 155700.0, 155700.0, 65.65789473684211
6, 2500, 70, 893, 172950.0, 172950.0, 55.94170403587444
6, 3000, 70, 908, 170000.0, 170000.0, 54.96141124586549
6, 3500, 70, 948, 176850.0, 176850.0, 52.69271383315734
6, 4000, 70, 917, 167450.0, 167450.0, 54.42139737991266
6, 4500, 70, 876, 160600.0, 160600.0, 56.91428571428571
6, 5000, 70, 949, 167750.0, 167750.0, 52.63713080168776
6, 1500, 80, 793, 167200.0, 167200.0, 62.75252525252525
6, 2000, 80, 880, 170000.0, 170000.0, 56.71217292377702
6, 2500, 80, 892, 162650.0, 162650.0, 56.00448933782267
6, 3000, 80, 932, 168900.0, 168900.0, 53.59828141783029
6, 3500, 80, 926, 164400.0, 164400.0, 53.945945945945944
6, 4000, 80, 947, 165400.0, 165400.0, 52.64270613107822
6, 4500, 80, 987, 168500.0, 168500.0, 50.50709939148073
6, 5000, 80, 958, 162700.0, 162700.0, 52.14211076280042
6, 1500, 90, 807, 161950.0, 161950.0, 61.78660049627791
6, 2000, 90, 868, 164700.0, 164700.0, 57.38177623990773
6, 2500, 90, 923, 165150.0, 165150.0, 54.12147505422993
