num_evs,num_tasks,ev_range,timesteps
6,35,1500,145
6,35,1600,57
6,35,1700,57
6,35,1800,57
6,35,1900,75
6,35,2000,73
6,36,1500,119
6,36,1600,93
6,36,1700,93
6,36,1800,105
6,36,1900,99
6,36,2000,73
6,37,1500,85
6,37,1600,67
6,37,1700,65
6,37,1800,65
6,37,1900,99
6,37,2000,83
6,38,1500,145
6,38,1600,57
6,38,1700,57
6,38,1800,57
6,38,1900,75
6,38,2000,75
6,39,1500,145
6,39,1600,57
6,39,1700,57
6,39,1800,57
6,39,1900,73
6,39,2000,75
7,35,1500,85
7,35,1600,59
7,35,1700,59
7,35,1800,65
7,35,1900,103
7,35,2000,103
7,36,1500,145
7,36,1600,57
7,36,1700,57
7,36,1800,57
7,36,1900,75
7,36,2000,63
7,37,1500,85
7,37,1600,67
7,37,1700,65
7,37,1800,65
7,37,1900,99
7,37,2000,83
7,38,1500,129
7,38,1600,51
7,38,1700,57
7,38,1800,57
7,38,1900,73
7,38,2000,73
7,39,1500,129
7,39,1600,51
7,39,1700,51
7,39,1800,51
7,39,1900,73
7,39,2000,75
8,35,1500,55
8,35,1600,55
8,35,1700,65
8,35,1800,65
8,35,1900,103
8,35,2000,103
8,36,1500,55
8,36,1600,55
8,36,1700,57
8,36,1800,65
8,36,1900,103
8,36,2000,103
8,37,1500,111
8,37,1600,51
8,37,1700,57
8,37,1800,65
8,37,1900,103
8,37,2000,103
8,38,1500,111
8,38,1600,51
8,38,1700,57
8,38,1800,65
8,38,1900,103
8,38,2000,103
8,39,1500,85
8,39,1600,67
8,39,1700,61
8,39,1800,61
8,39,1900,91
8,39,2000,91
