num_evs,num_tasks,ev_range,timesteps
6,35,1500,145
6,35,1600,97
6,35,1700,113
6,35,1800,113
6,35,1900,111
6,35,2000,111
6,36,1500,119
6,36,1600,93
6,36,1700,93
6,36,1800,103
6,36,1900,111
6,36,2000,111
6,37,1500,95
6,37,1600,87
6,37,1700,93
6,37,1800,123
6,37,1900,137
6,37,2000,137
6,38,1500,145
6,38,1600,97
6,38,1700,113
6,38,1800,113
6,38,1900,111
6,38,2000,111
6,39,1500,145
6,39,1600,97
6,39,1700,113
6,39,1800,113
6,39,1900,111
6,39,2000,111
7,35,1500,85
7,35,1600,59
7,35,1700,67
7,35,1800,103
7,35,1900,111
7,35,2000,111
7,36,1500,145
7,36,1600,97
7,36,1700,113
7,36,1800,113
7,36,1900,105
7,36,2000,105
7,37,1500,95
7,37,1600,87
7,37,1700,93
7,37,1800,123
7,37,1900,137
7,37,2000,137
7,38,1500,129
7,38,1600,81
7,38,1700,81
7,38,1800,103
7,38,1900,111
7,38,2000,111
7,39,1500,129
7,39,1600,81
7,39,1700,93
7,39,1800,81
7,39,1900,105
7,39,2000,105
8,35,1500,151
8,35,1600,95
8,35,1700,95
8,35,1800,95
8,35,1900,103
8,35,2000,103
8,36,1500,151
8,36,1600,95
8,36,1700,95
8,36,1800,103
8,36,1900,103
8,36,2000,103
8,37,1500,111
8,37,1600,63
8,37,1700,67
8,37,1800,103
8,37,1900,103
8,37,2000,103
8,38,1500,111
8,38,1600,63
8,38,1700,67
8,38,1800,103
8,38,1900,103
8,38,2000,103
8,39,1500,95
8,39,1600,87
8,39,1700,87
8,39,1800,123
8,39,1900,111
8,39,2000,111
