num_evs,num_tasks,ev_range,maze_loop_percentage,maze_size,bms,timesteps,num_tasks_finished,ev_distance,drone_distance
20,100,3000,80,38,0,233,88,1658.0,0.0
20,100,3000,60,36,0,165,86,1584.0,0.0
20,100,3000,65,37,1,175,87,1470.0,1065.9838125840545
20,100,3000,85,36,1,177,94,1344.0,714.2546614725476
20,100,3000,70,39,1,175,74,1786.0,1119.8960758342862
20,100,3000,65,35,1,171,93,1376.0,794.4875115161328
20,100,3000,90,37,0,233,94,1530.0,0.0
20,100,3000,70,40,0,231,84,1622.0,0.0
20,100,3000,70,35,0,233,90,1436.0,0.0
20,100,3000,70,35,1,169,97,1262.0,813.9014562643025
20,100,3000,70,37,0,169,87,1546.0,0.0
20,100,3000,65,42,1,175,78,1626.0,908.6251245589925
20,100,3000,80,41,0,177,84,1696.0,0.0
20,100,3000,70,42,0,259,70,1440.0,0.0
20,100,3000,90,45,1,161,69,1380.0,1013.7634109221472
20,100,3000,85,45,0,177,69,1442.0,0.0
20,100,3000,60,45,1,149,63,1222.0,1013.1494886473174
20,100,3000,60,48,0,167,44,1050.0,0.0
20,100,3000,60,46,1,113,64,1266.0,749.7234441827023
20,100,3000,75,46,0,173,67,1438.0,0.0
20,100,3000,65,45,1,155,58,1168.0,980.1763148191816
20,100,3000,90,47,0,225,68,1378.0,0.0
20,100,3000,85,45,0,227,70,1600.0,0.0
20,100,3000,90,48,0,175,65,1428.0,0.0
20,100,3000,85,47,1,179,66,1044.0,820.1140521009938
20,100,3000,65,48,0,163,54,1198.0,0.0
20,100,3000,65,46,1,157,59,1214.0,689.9954412102154
20,100,3000,65,46,0,179,59,1162.0,0.0
20,100,3000,90,49,1,229,59,1356.0,831.4110062035976
20,100,3000,85,49,1,195,67,1386.0,1007.8150933942435
20,100,3000,75,50,1,177,56,1100.0,907.664795859957
20,100,3000,60,49,1,157,48,1162.0,749.4481498179833
20,100,3000,90,38,1,175,89,1360.0,699.5311107621421
20,100,3000,75,35,1,165,90,1258.0,671.7061765595545
20,100,3000,75,44,0,225,72,1456.0,0.0
20,100,3000,70,39,1,127,86,1430.0,997.8619883711874
20,100,3000,80,41,1,177,72,1598.0,963.4768865167704
20,100,3000,65,42,1,229,72,1438.0,830.0953827046687
20,100,3000,60,40,1,133,82,1260.0,906.9801447244354
20,100,3000,60,38,1,177,91,1530.0,991.0968641871059
20,100,3000,90,43,1,109,85,1240.0,921.0451191001292
20,100,3000,75,49,0,115,57,1166.0,0.0
20,100,3000,60,36,0,175,81,1732.0,0.0
20,100,3000,60,42,0,221,66,1528.0,0.0
20,100,3000,80,36,0,171,91,1240.0,0.0
20,100,3000,65,44,0,115,62,1040.0,0.0
20,100,3000,75,46,0,179,66,1490.0,0.0
20,100,3000,60,49,1,119,60,1012.0,761.5915726283233
20,100,3000,65,46,1,117,59,1196.0,695.5456807586344
20,100,3000,85,41,1,223,80,1586.0,860.765290481145
20,100,3000,70,44,0,285,75,1712.0,0.0
20,100,3000,70,43,0,119,68,1374.0,0.0
20,100,3000,60,44,0,225,66,1514.0,0.0
20,100,3000,60,36,1,119,76,1174.0,630.687065169978
20,100,3000,80,46,1,175,73,1286.0,880.457408822652
