Episode, Total Reward, Epsilon
1,-7039.00, 0.1990
2,275.00, 0.1980
3,-3666.00, 0.1970
4,3163.00, 0.1960
5,-2453.00, 0.1950
6,-3841.00, 0.1941
7,2334.00, 0.1931
8,6510.00, 0.1921
9,3444.00, 0.1912
10,2038.00, 0.1902
11,-1856.00, 0.1893
12,3787.00, 0.1883
13,4335.00, 0.1874
14,4086.00, 0.1864
15,4529.00, 0.1855
16,3732.00, 0.1846
17,6874.00, 0.1837
18,1358.00, 0.1827
19,6761.00, 0.1818
20,3496.00, 0.1809
21,-452.00, 0.1800
22,9531.00, 0.1791
23,-2575.00, 0.1782
24,15109.00, 0.1773
25,5220.00, 0.1764
26,7147.00, 0.1756
27,6969.00, 0.1747
28,8536.00, 0.1738
29,-3114.00, 0.1729
30,16719.00, 0.1721
31,23272.00, 0.1712
32,13003.00, 0.1704
33,28161.00, 0.1695
34,19590.00, 0.1687
35,26403.00, 0.1678
36,19537.00, 0.1670
37,17754.00, 0.1661
38,27280.00, 0.1653
39,15644.00, 0.1645
40,44278.00, 0.1637
41,19425.00, 0.1628
42,38201.00, 0.1620
43,37336.00, 0.1612
44,25459.00, 0.1604
45,30325.00, 0.1596
46,44722.00, 0.1588
47,33849.00, 0.1580
48,56687.00, 0.1572
49,43947.00, 0.1564
50,25783.00, 0.1557
51,49634.00, 0.1549
52,60638.00, 0.1541
53,44502.00, 0.1533
54,42208.00, 0.1526
55,40495.00, 0.1518
56,24785.00, 0.1511
57,47929.00, 0.1503
58,25815.00, 0.1495
59,59952.00, 0.1488
60,40059.00, 0.1481
61,49363.00, 0.1473
62,42623.00, 0.1466
63,64552.00, 0.1458
64,75772.00, 0.1451
65,52179.00, 0.1444
66,50167.00, 0.1437
67,55977.00, 0.1429
68,66614.00, 0.1422
69,48164.00, 0.1415
70,61239.00, 0.1408
71,50330.00, 0.1401
72,37475.00, 0.1394
73,51647.00, 0.1387
74,45706.00, 0.1380
75,57973.00, 0.1373
76,53671.00, 0.1366
77,42800.00, 0.1360
78,53867.00, 0.1353
79,78972.00, 0.1346
80,61770.00, 0.1339
81,67369.00, 0.1333
82,50819.00, 0.1326
83,58576.00, 0.1319
84,54748.00, 0.1313
85,55834.00, 0.1306
86,58707.00, 0.1300
87,58112.00, 0.1293
88,77829.00, 0.1287
89,57641.00, 0.1280
90,48150.00, 0.1274
91,60273.00, 0.1267
92,64806.00, 0.1261
93,54739.00, 0.1255
94,69614.00, 0.1249
95,70882.00, 0.1242
96,64264.00, 0.1236
