Episode, Total Reward, Epsilon
1,-21323.00, 0.1990
2,-20523.00, 0.1980
3,-22843.00, 0.1970
4,-22393.00, 0.1960
5,-22893.00, 0.1950
6,-14023.00, 0.1941
7,-23106.00, 0.1931
8,-19673.00, 0.1921
9,-22813.00, 0.1912
10,-17083.00, 0.1902
11,-18653.00, 0.1893
12,-14423.00, 0.1883
13,-20053.00, 0.1874
14,-16673.00, 0.1864
15,-21383.00, 0.1855
16,-21353.00, 0.1846
17,-19673.00, 0.1837
18,-21383.00, 0.1827
19,-13123.00, 0.1818
20,-22683.00, 0.1809
21,-19573.00, 0.1800
22,-22343.00, 0.1791
23,-23053.00, 0.1782
24,-11713.00, 0.1773
25,-19553.00, 0.1764
26,-18493.00, 0.1756
27,-23103.00, 0.1747
28,-23103.00, 0.1738
29,-11743.00, 0.1729
30,-18233.00, 0.1721
31,-22923.00, 0.1712
32,-15123.00, 0.1704
33,-20123.00, 0.1695
34,-17843.00, 0.1687
35,-22493.00, 0.1678
36,-20943.00, 0.1670
37,-15533.00, 0.1661
38,-21623.00, 0.1653
39,-19823.00, 0.1645
40,-17803.00, 0.1637
41,-22853.00, 0.1628
42,-22613.00, 0.1620
43,-22133.00, 0.1612
44,-20523.00, 0.1604
45,-19903.00, 0.1596
46,-22663.00, 0.1588
47,-15873.00, 0.1580
48,-18513.00, 0.1572
49,-19603.00, 0.1564
50,-18853.00, 0.1557
51,-17073.00, 0.1549
52,-18213.00, 0.1541
53,-22513.00, 0.1533
54,-21193.00, 0.1526
55,-15683.00, 0.1518
56,-22763.00, 0.1511
57,-23053.00, 0.1503
58,-19683.00, 0.1495
59,-14423.00, 0.1488
60,-21613.00, 0.1481
61,-22803.00, 0.1473
62,-22013.00, 0.1466
63,-19223.00, 0.1458
64,-22543.00, 0.1451
65,-22023.00, 0.1444
66,-21843.00, 0.1437
67,-22093.00, 0.1429
68,-21303.00, 0.1422
69,-20023.00, 0.1415
70,-14383.00, 0.1408
71,-17803.00, 0.1401
72,-22173.00, 0.1394
73,-17603.00, 0.1387
74,-17023.00, 0.1380
75,-21113.00, 0.1373
76,-21843.00, 0.1366
77,-18903.00, 0.1360
78,-22903.00, 0.1353
79,-22143.00, 0.1346
80,-18723.00, 0.1339
81,-18423.00, 0.1333
82,-20813.00, 0.1326
83,-18633.00, 0.1319
84,-18763.00, 0.1313
85,-16703.00, 0.1306
86,-22003.00, 0.1300
87,-22463.00, 0.1293
88,-20443.00, 0.1287
89,-19393.00, 0.1280
90,-22563.00, 0.1274
91,-15303.00, 0.1267
92,-22563.00, 0.1261
93,-15033.00, 0.1255
94,-22903.00, 0.1249
95,-20626.00, 0.1242
96,-22433.00, 0.1236
97,-14173.00, 0.1230
98,-21273.00, 0.1224
99,-8693.00, 0.1218
100,-21573.00, 0.1212
101,-16603.00, 0.1205
102,-21293.00, 0.1199
103,-21963.00, 0.1193
104,-22593.00, 0.1187
105,-10003.00, 0.1182
106,-16823.00, 0.1176
107,-22403.00, 0.1170
108,-20363.00, 0.1164
109,-21233.00, 0.1158
110,-21203.00, 0.1152
111,-20293.00, 0.1147
112,-19913.00, 0.1141
113,-13793.00, 0.1135
114,-12663.00, 0.1129
115,-12333.00, 0.1124
116,-19923.00, 0.1118
117,-19223.00, 0.1113
118,-22233.00, 0.1107
119,-20443.00, 0.1101
120,-20733.00, 0.1096
121,-22403.00, 0.1090
122,-14043.00, 0.1085
123,-22163.00, 0.1080
124,-20673.00, 0.1074
125,-22326.00, 0.1069
126,-20453.00, 0.1064
127,-18423.00, 0.1058
128,-22443.00, 0.1053
129,-11993.00, 0.1048
130,-22953.00, 0.1042
131,-20533.00, 0.1037
132,-20143.00, 0.1032
133,-22063.00, 0.1027
134,-19143.00, 0.1022
135,-12343.00, 0.1017
136,-21473.00, 0.1012
137,-18453.00, 0.1006
138,-21473.00, 0.1001
139,-20183.00, 0.0996
140,-16063.00, 0.0991
141,-12173.00, 0.0986
142,-22623.00, 0.0982
143,-22493.00, 0.0977
144,-19093.00, 0.0972
145,-21193.00, 0.0967
146,-20663.00, 0.0962
147,-18713.00, 0.0957
148,-14963.00, 0.0952
149,-20343.00, 0.0948
150,-13093.00, 0.0943
151,-21393.00, 0.0938
152,-13873.00, 0.0934
153,-22753.00, 0.0929
154,-19443.00, 0.0924
155,-14893.00, 0.0920
156,-15833.00, 0.0915
