Episode, Total Reward, Epsilon
1,-39500.00, 0.1990
2,-39370.00, 0.1980
3,-40140.00, 0.1970
4,-40140.00, 0.1960
5,-39980.00, 0.1950
6,-40140.00, 0.1941
7,-39260.00, 0.1931
8,-39400.00, 0.1921
9,-39960.00, 0.1912
10,-37940.00, 0.1902
11,-40010.00, 0.1893
12,-40160.00, 0.1883
13,-35300.00, 0.1874
14,-39990.00, 0.1864
15,-37690.00, 0.1855
16,-40240.00, 0.1846
17,-38370.00, 0.1837
18,-40090.00, 0.1827
19,-39640.00, 0.1818
20,-40140.00, 0.1809
21,-40010.00, 0.1800
22,-38710.00, 0.1791
23,-38290.00, 0.1782
24,-39980.00, 0.1773
25,-40060.00, 0.1764
26,-37380.00, 0.1756
27,-39100.00, 0.1747
28,-39920.00, 0.1738
29,-38470.00, 0.1729
30,-39670.00, 0.1721
31,-39930.00, 0.1712
32,-39960.00, 0.1704
33,-40090.00, 0.1695
34,-39320.00, 0.1687
35,-39610.00, 0.1678
36,-39670.00, 0.1670
37,-38020.00, 0.1661
38,-39960.00, 0.1653
39,-38910.00, 0.1645
40,-39190.00, 0.1637
41,-38710.00, 0.1628
42,-40040.00, 0.1620
43,-39980.00, 0.1612
44,-39870.00, 0.1604
45,-40140.00, 0.1596
46,-40090.00, 0.1588
47,-39990.00, 0.1580
48,-39940.00, 0.1572
49,-40090.00, 0.1564
50,-39300.00, 0.1557
51,-39990.00, 0.1549
52,-39500.00, 0.1541
53,-40040.00, 0.1533
54,-39960.00, 0.1526
55,-39330.00, 0.1518
56,-39580.00, 0.1511
57,-39330.00, 0.1503
58,-39990.00, 0.1495
59,-39890.00, 0.1488
60,-39620.00, 0.1481
61,-39600.00, 0.1473
62,-40140.00, 0.1466
63,-39590.00, 0.1458
64,-39600.00, 0.1451
65,-40140.00, 0.1444
66,-40040.00, 0.1437
67,-39990.00, 0.1429
68,-38820.00, 0.1422
69,-39300.00, 0.1415
70,-40090.00, 0.1408
71,-40060.00, 0.1401
72,-39000.00, 0.1394
73,-38870.00, 0.1387
74,-39120.00, 0.1380
75,-39560.00, 0.1373
76,-39880.00, 0.1366
77,-38170.00, 0.1360
78,-37580.00, 0.1353
79,-40040.00, 0.1346
80,-39250.00, 0.1339
81,-40240.00, 0.1333
82,-39940.00, 0.1326
83,-37850.00, 0.1319
84,-40040.00, 0.1313
85,-39880.00, 0.1306
86,-40090.00, 0.1300
87,-40040.00, 0.1293
88,-39800.00, 0.1287
89,-40090.00, 0.1280
90,-40090.00, 0.1274
91,-39960.00, 0.1267
92,-40090.00, 0.1261
93,-39730.00, 0.1255
94,-40040.00, 0.1249
95,-39490.00, 0.1242
96,-37670.00, 0.1236
97,-39260.00, 0.1230
98,-39930.00, 0.1224
99,-39900.00, 0.1218
100,-39880.00, 0.1212
101,-40140.00, 0.1205
102,-39890.00, 0.1199
103,-38860.00, 0.1193
104,-39850.00, 0.1187
105,-40040.00, 0.1182
106,-39890.00, 0.1176
107,-39920.00, 0.1170
108,-39390.00, 0.1164
109,-40040.00, 0.1158
110,-39540.00, 0.1152
111,-39160.00, 0.1147
112,-40010.00, 0.1141
113,-39760.00, 0.1135
114,-40040.00, 0.1129
115,-39940.00, 0.1124
116,-40040.00, 0.1118
117,-40190.00, 0.1113
118,-40140.00, 0.1107
119,-40040.00, 0.1101
120,-40040.00, 0.1096
121,-40040.00, 0.1090
122,-37450.00, 0.1085
123,-39700.00, 0.1080
124,-38300.00, 0.1074
125,-38390.00, 0.1069
126,-39830.00, 0.1064
127,-40140.00, 0.1058
128,-39880.00, 0.1053
129,-40090.00, 0.1048
130,-39990.00, 0.1042
131,-40090.00, 0.1037
132,-39310.00, 0.1032
133,-38550.00, 0.1027
134,-39430.00, 0.1022
135,-40090.00, 0.1017
136,-40140.00, 0.1012
137,-39890.00, 0.1006
138,-38470.00, 0.1001
139,-39910.00, 0.0996
140,-39290.00, 0.0991
141,-39800.00, 0.0986
142,-40090.00, 0.0982
143,-39990.00, 0.0977
144,-40140.00, 0.0972
145,-39990.00, 0.0967
146,-39960.00, 0.0962
147,-40140.00, 0.0957
148,-39070.00, 0.0952
149,-36790.00, 0.0948
150,-38050.00, 0.0943
151,-39940.00, 0.0938
152,-39940.00, 0.0934
153,-39710.00, 0.0929
154,-39880.00, 0.0924
155,-39150.00, 0.0920
156,-39450.00, 0.0915
157,-39030.00, 0.0910
158,-39210.00, 0.0906
159,-39830.00, 0.0901
160,-39230.00, 0.0897
161,-40090.00, 0.0892
162,-39600.00, 0.0888
163,-40090.00, 0.0883
164,-39780.00, 0.0879
165,-40140.00, 0.0875
166,-38960.00, 0.0870
167,-38950.00, 0.0866
168,-40090.00, 0.0862
169,-39940.00, 0.0857
170,-39410.00, 0.0853
171,-40090.00, 0.0849
172,-40040.00, 0.0845
173,-38820.00, 0.0840
174,-39300.00, 0.0836
175,-40040.00, 0.0832
176,-39350.00, 0.0828
177,-40190.00, 0.0824
178,-39990.00, 0.0819
179,-39130.00, 0.0815
180,-39940.00, 0.0811
181,-39170.00, 0.0807
182,-40040.00, 0.0803
183,-37810.00, 0.0799
184,-40040.00, 0.0795
185,-39200.00, 0.0791
186,-39880.00, 0.0787
187,-40040.00, 0.0783
188,-38910.00, 0.0779
189,-39680.00, 0.0776
190,-37280.00, 0.0772
191,-39590.00, 0.0768
192,-39990.00, 0.0764
193,-39980.00, 0.0760
194,-39670.00, 0.0756
195,-39990.00, 0.0753
196,-38490.00, 0.0749
197,-35520.00, 0.0745
198,-40090.00, 0.0741
199,-35550.00, 0.0738
200,-37370.00, 0.0734
201,-38800.00, 0.0730
202,-40040.00, 0.0727
203,-39140.00, 0.0723
204,-38130.00, 0.0719
205,-39550.00, 0.0716
206,-39960.00, 0.0712
207,-39960.00, 0.0709
208,-39890.00, 0.0705
209,-39990.00, 0.0702
210,-39380.00, 0.0698
211,-38690.00, 0.0695
212,-38820.00, 0.0691
213,-39080.00, 0.0688
214,-37890.00, 0.0684
215,-39310.00, 0.0681
216,-39990.00, 0.0677
217,-38460.00, 0.0674
218,-39800.00, 0.0671
219,-39130.00, 0.0667
220,-39830.00, 0.0664
221,-37510.00, 0.0661
222,-39210.00, 0.0657
223,-39990.00, 0.0654
224,-39880.00, 0.0651
225,-40190.00, 0.0647
226,-38970.00, 0.0644
227,-39460.00, 0.0641
228,-38820.00, 0.0638
229,-40090.00, 0.0635
230,-37000.00, 0.0631
231,-39940.00, 0.0628
232,-39650.00, 0.0625
233,-34700.00, 0.0622
234,-40090.00, 0.0619
235,-39960.00, 0.0616
236,-40010.00, 0.0613
237,-39020.00, 0.0610
238,-39910.00, 0.0607
239,-39360.00, 0.0604
240,-36850.00, 0.0601
241,-38740.00, 0.0598
242,-39840.00, 0.0595
243,-39170.00, 0.0592
244,-38270.00, 0.0589
245,-39070.00, 0.0586
246,-38760.00, 0.0583
247,-39450.00, 0.0580
248,-38610.00, 0.0577
249,-37400.00, 0.0574
250,-39000.00, 0.0571
251,-39830.00, 0.0568
252,-40140.00, 0.0566
253,-39910.00, 0.0563
254,-39680.00, 0.0560
