Episode, Total Reward, Epsilon
1,-22133.00, 0.1990
2,-16473.00, 0.1980
3,-19923.00, 0.1970
4,-22493.00, 0.1960
5,-18003.00, 0.1950
6,-23403.00, 0.1941
7,-19743.00, 0.1931
8,-22093.00, 0.1921
9,-17383.00, 0.1912
10,-21133.00, 0.1902
11,-22383.00, 0.1893
12,-19903.00, 0.1883
13,-15153.00, 0.1874
14,-21463.00, 0.1864
15,-22363.00, 0.1855
16,-22263.00, 0.1846
17,-20963.00, 0.1837
18,-19743.00, 0.1827
19,-18803.00, 0.1818
20,-19313.00, 0.1809
21,-16923.00, 0.1800
22,-22083.00, 0.1791
23,-23143.00, 0.1782
24,-23313.00, 0.1773
25,-18923.00, 0.1764
26,-20333.00, 0.1756
27,-22203.00, 0.1747
28,-23363.00, 0.1738
29,-20903.00, 0.1729
30,-19273.00, 0.1721
31,-16103.00, 0.1712
32,-21583.00, 0.1704
33,-22843.00, 0.1695
34,-22473.00, 0.1687
35,-22663.00, 0.1678
36,-22953.00, 0.1670
37,-22103.00, 0.1661
38,-23043.00, 0.1653
39,-22983.00, 0.1645
40,-19413.00, 0.1637
41,-20443.00, 0.1628
42,-23153.00, 0.1620
43,-21603.00, 0.1612
44,-21973.00, 0.1604
45,-23123.00, 0.1596
46,-23133.00, 0.1588
47,-17283.00, 0.1580
48,-23383.00, 0.1572
49,-23433.00, 0.1564
50,-21163.00, 0.1557
51,-19273.00, 0.1549
52,-21913.00, 0.1541
53,-20403.00, 0.1533
54,-23483.00, 0.1526
55,-20873.00, 0.1518
56,-23323.00, 0.1511
57,-22433.00, 0.1503
58,-22283.00, 0.1495
59,-13093.00, 0.1488
60,-20703.00, 0.1481
61,-14813.00, 0.1473
62,-22046.00, 0.1466
63,-22343.00, 0.1458
64,-20895.00, 0.1451
65,-23203.00, 0.1444
66,-21993.00, 0.1437
67,-19283.00, 0.1429
68,-18153.00, 0.1422
69,-23483.00, 0.1415
70,-19943.00, 0.1408
71,-21763.00, 0.1401
72,-20363.00, 0.1394
73,-22813.00, 0.1387
74,-23283.00, 0.1380
75,-20653.00, 0.1373
76,-21803.00, 0.1366
77,-23173.00, 0.1360
78,-21953.00, 0.1353
79,-22313.00, 0.1346
80,-23243.00, 0.1339
81,-23443.00, 0.1333
82,-22263.00, 0.1326
83,-22493.00, 0.1319
84,-23303.00, 0.1313
85,-20883.00, 0.1306
86,-23123.00, 0.1300
87,-21253.00, 0.1293
88,-22363.00, 0.1287
89,-22333.00, 0.1280
90,-21683.00, 0.1274
91,-21713.00, 0.1267
92,-22113.00, 0.1261
93,-23163.00, 0.1255
94,-19813.00, 0.1249
95,-20843.00, 0.1242
96,-22643.00, 0.1236
97,-22843.00, 0.1230
98,-22243.00, 0.1224
99,-22413.00, 0.1218
100,-23373.00, 0.1212
101,-22886.00, 0.1205
102,-22913.00, 0.1199
103,-22933.00, 0.1193
104,-20823.00, 0.1187
105,-21313.00, 0.1182
106,-20663.00, 0.1176
107,-20383.00, 0.1170
108,-22333.00, 0.1164
109,-20133.00, 0.1158
110,-22933.00, 0.1152
111,-13343.00, 0.1147
112,-22373.00, 0.1141
113,-23013.00, 0.1135
114,-20503.00, 0.1129
115,-17783.00, 0.1124
116,-20363.00, 0.1118
117,-23223.00, 0.1113
118,-21923.00, 0.1107
119,-23103.00, 0.1101
120,-19333.00, 0.1096
121,-20983.00, 0.1090
122,-22963.00, 0.1085
123,-21823.00, 0.1080
124,-18173.00, 0.1074
125,-21543.00, 0.1069
126,-22393.00, 0.1064
127,-22653.00, 0.1058
128,-23003.00, 0.1053
129,-21063.00, 0.1048
130,-21773.00, 0.1042
131,-21103.00, 0.1037
132,-22973.00, 0.1032
133,-20033.00, 0.1027
134,-23343.00, 0.1022
135,-20063.00, 0.1017
136,-22733.00, 0.1012
137,-22903.00, 0.1006
138,-23393.00, 0.1001
139,-22703.00, 0.0996
140,-22503.00, 0.0991
141,-21843.00, 0.0986
142,-22223.00, 0.0982
143,-22893.00, 0.0977
144,-21233.00, 0.0972
145,-23223.00, 0.0967
146,-21113.00, 0.0962
147,-21903.00, 0.0957
148,-18873.00, 0.0952
149,-23083.00, 0.0948
150,-23163.00, 0.0943
151,-23163.00, 0.0938
152,-22183.00, 0.0934
153,-22573.00, 0.0929
154,-23173.00, 0.0924
155,-23073.00, 0.0920
156,-20073.00, 0.0915
157,-21623.00, 0.0910
158,-22213.00, 0.0906
159,-23003.00, 0.0901
160,-16313.00, 0.0897
161,-21833.00, 0.0892
162,-22743.00, 0.0888
163,-22653.00, 0.0883
164,-22013.00, 0.0879
165,-21753.00, 0.0875
166,-18123.00, 0.0870
167,-22133.00, 0.0866
168,-23163.00, 0.0862
169,-22183.00, 0.0857
170,-22923.00, 0.0853
171,-21913.00, 0.0849
172,-22753.00, 0.0845
173,-21583.00, 0.0840
174,-23043.00, 0.0836
175,-22423.00, 0.0832
176,-21603.00, 0.0828
177,-20543.00, 0.0824
178,-23243.00, 0.0819
179,-22963.00, 0.0815
180,-19173.00, 0.0811
181,-22783.00, 0.0807
182,-20583.00, 0.0803
183,-21123.00, 0.0799
184,-23063.00, 0.0795
185,-20973.00, 0.0791
186,-22193.00, 0.0787
187,-23083.00, 0.0783
188,-23393.00, 0.0779
189,-22873.00, 0.0776
190,-23473.00, 0.0772
191,-23123.00, 0.0768
192,-22743.00, 0.0764
193,-23303.00, 0.0760
194,-21413.00, 0.0756
195,-19543.00, 0.0753
196,-21843.00, 0.0749
197,-23343.00, 0.0745
198,-23183.00, 0.0741
199,-23033.00, 0.0738
200,-22263.00, 0.0734
201,-22993.00, 0.0730
202,-22643.00, 0.0727
203,-21783.00, 0.0723
204,-23433.00, 0.0719
205,-20513.00, 0.0716
206,-21763.00, 0.0712
207,-21543.00, 0.0709
208,-22983.00, 0.0705
209,-22873.00, 0.0702
210,-22943.00, 0.0698
211,-23223.00, 0.0695
212,-13443.00, 0.0691
213,-23433.00, 0.0688
214,-22723.00, 0.0684
215,-22353.00, 0.0681
216,-21533.00, 0.0677
217,-17973.00, 0.0674
218,-23383.00, 0.0671
219,-23573.00, 0.0667
220,-22223.00, 0.0664
221,-22363.00, 0.0661
222,-22033.00, 0.0657
223,-20263.00, 0.0654
224,-22733.00, 0.0651
225,-22713.00, 0.0647
226,-20723.00, 0.0644
227,-21903.00, 0.0641
228,-15153.00, 0.0638
229,-20403.00, 0.0635
230,-21533.00, 0.0631
231,-17803.00, 0.0628
232,-23333.00, 0.0625
233,-22273.00, 0.0622
234,-21193.00, 0.0619
235,-22843.00, 0.0616
236,-22333.00, 0.0613
237,-23173.00, 0.0610
238,-22903.00, 0.0607
239,-22413.00, 0.0604
240,-21143.00, 0.0601
241,-22323.00, 0.0598
242,-22553.00, 0.0595
243,-22993.00, 0.0592
244,-23083.00, 0.0589
245,-23383.00, 0.0586
246,-23123.00, 0.0583
247,-22123.00, 0.0580
248,-19083.00, 0.0577
249,-22443.00, 0.0574
250,-23303.00, 0.0571
251,-20443.00, 0.0568
252,-20563.00, 0.0566
253,-21133.00, 0.0563
254,-22693.00, 0.0560
255,-21893.00, 0.0557
256,-22643.00, 0.0554
257,-21073.00, 0.0552
258,-23123.00, 0.0549
259,-22733.00, 0.0546
260,-22853.00, 0.0543
261,-20303.00, 0.0541
262,-21243.00, 0.0538
263,-22243.00, 0.0535
264,-21563.00, 0.0533
265,-22783.00, 0.0530
266,-23203.00, 0.0527
267,-22373.00, 0.0525
268,-23093.00, 0.0522
269,-22083.00, 0.0519
270,-23053.00, 0.0517
271,-22743.00, 0.0514
272,-22743.00, 0.0512
273,-15763.00, 0.0509
274,-22883.00, 0.0506
275,-21583.00, 0.0504
276,-18023.00, 0.0501
277,-23103.00, 0.0499
278,-22733.00, 0.0496
279,-22923.00, 0.0494
280,-23213.00, 0.0491
281,-23033.00, 0.0489
282,-21733.00, 0.0487
283,-23393.00, 0.0484
284,-23343.00, 0.0482
285,-23303.00, 0.0479
286,-21113.00, 0.0477
287,-22933.00, 0.0475
288,-23053.00, 0.0472
289,-23023.00, 0.0470
290,-22813.00, 0.0467
291,-17563.00, 0.0465
292,-21553.00, 0.0463
293,-22673.00, 0.0460
294,-22623.00, 0.0458
295,-22483.00, 0.0456
296,-21833.00, 0.0454
297,-23283.00, 0.0451
298,-23113.00, 0.0449
299,-20993.00, 0.0447
300,-22563.00, 0.0445
301,-20363.00, 0.0442
302,-22353.00, 0.0440
303,-23113.00, 0.0438
304,-23293.00, 0.0436
305,-19883.00, 0.0434
306,-22993.00, 0.0431
307,-23263.00, 0.0429
308,-23283.00, 0.0427
309,-21703.00, 0.0425
310,-23293.00, 0.0423
311,-23203.00, 0.0421
312,-23443.00, 0.0419
313,-17513.00, 0.0417
314,-22026.00, 0.0414
315,-22943.00, 0.0412
316,-21893.00, 0.0410
317,-23123.00, 0.0408
318,-21463.00, 0.0406
319,-22783.00, 0.0404
320,-22473.00, 0.0402
321,-22963.00, 0.0400
322,-23043.00, 0.0398
323,-22793.00, 0.0396
324,-22903.00, 0.0394
325,-22583.00, 0.0392
326,-23063.00, 0.0390
327,-20083.00, 0.0388
328,-22583.00, 0.0386
329,-16293.00, 0.0384
330,-22523.00, 0.0383
331,-22373.00, 0.0381
332,-23163.00, 0.0379
333,-23083.00, 0.0377
334,-22763.00, 0.0375
335,-21563.00, 0.0373
336,-23253.00, 0.0371
337,-21773.00, 0.0369
338,-21373.00, 0.0367
339,-19063.00, 0.0366
340,-21883.00, 0.0364
341,-23203.00, 0.0362
342,-16823.00, 0.0360
343,-23043.00, 0.0358
344,-21483.00, 0.0357
345,-21393.00, 0.0355
346,-21403.00, 0.0353
347,-22533.00, 0.0351
348,-23083.00, 0.0350
349,-22903.00, 0.0348
350,-20433.00, 0.0346
351,-22753.00, 0.0344
352,-22323.00, 0.0343
353,-23013.00, 0.0341
354,-20813.00, 0.0339
355,-22353.00, 0.0337
356,-21913.00, 0.0336
357,-20693.00, 0.0334
358,-21233.00, 0.0332
