Episode, Total Reward, Epsilon
1,-12641.00, 0.1990
2,-9611.00, 0.1980
3,-7262.00, 0.1970
4,-8441.00, 0.1960
5,-7175.00, 0.1950
6,-5591.00, 0.1941
7,-7061.00, 0.1931
8,-5171.00, 0.1921
9,-4351.00, 0.1912
10,-6851.00, 0.1902
11,-3571.00, 0.1893
12,-1921.00, 0.1883
13,-1661.00, 0.1874
14,-2241.00, 0.1864
15,-1751.00, 0.1855
16,-2161.00, 0.1846
17,-2621.00, 0.1837
18,-3791.00, 0.1827
19,-3391.00, 0.1818
20,-1971.00, 0.1809
21,589.00, 0.1800
22,-731.00, 0.1791
23,-361.00, 0.1782
24,-641.00, 0.1773
25,-591.00, 0.1764
26,1369.00, 0.1756
27,489.00, 0.1747
28,-661.00, 0.1738
29,-1131.00, 0.1729
30,-284.00, 0.1721
31,-261.00, 0.1712
32,3089.00, 0.1704
33,1879.00, 0.1695
34,1879.00, 0.1687
35,709.00, 0.1678
36,1979.00, 0.1670
37,3679.00, 0.1661
38,3269.00, 0.1653
39,4357.00, 0.1645
40,959.00, 0.1637
41,1419.00, 0.1628
42,2159.00, 0.1620
43,619.00, 0.1612
44,3148.00, 0.1604
45,3549.00, 0.1596
46,3189.00, 0.1588
47,1949.00, 0.1580
48,4469.00, 0.1572
49,4679.00, 0.1564
50,3716.00, 0.1557
51,3249.00, 0.1549
52,3979.00, 0.1541
53,2859.00, 0.1533
54,4549.00, 0.1526
55,3329.00, 0.1518
56,4888.00, 0.1511
57,3505.00, 0.1503
58,2719.00, 0.1495
59,5067.00, 0.1488
60,6799.00, 0.1481
61,3189.00, 0.1473
62,3788.00, 0.1466
63,3499.00, 0.1458
64,1099.00, 0.1451
65,3949.00, 0.1444
66,4429.00, 0.1437
67,899.00, 0.1429
68,3709.00, 0.1422
69,3819.00, 0.1415
70,3549.00, 0.1408
71,3565.00, 0.1401
72,6759.00, 0.1394
73,4859.00, 0.1387
74,5049.00, 0.1380
75,3777.00, 0.1373
76,2989.00, 0.1366
77,4537.00, 0.1360
78,5289.00, 0.1353
79,4739.00, 0.1346
80,4756.00, 0.1339
81,2809.00, 0.1333
82,5957.00, 0.1326
83,6749.00, 0.1319
84,4069.00, 0.1313
85,4489.00, 0.1306
86,3259.00, 0.1300
87,4059.00, 0.1293
88,4619.00, 0.1287
89,5099.00, 0.1280
90,4129.00, 0.1274
91,6408.00, 0.1267
92,5309.00, 0.1261
93,3729.00, 0.1255
94,6088.00, 0.1249
95,5805.00, 0.1242
96,5909.00, 0.1236
97,-342.00, 0.1230
98,5896.00, 0.1224
99,3879.00, 0.1218
100,5819.00, 0.1212
101,3799.00, 0.1205
102,3276.00, 0.1199
103,6469.00, 0.1193
104,5669.00, 0.1187
105,5296.00, 0.1182
106,7089.00, 0.1176
107,7589.00, 0.1170
108,6789.00, 0.1164
109,7709.00, 0.1158
110,5729.00, 0.1152
111,5959.00, 0.1147
112,4389.00, 0.1141
113,5749.00, 0.1135
114,7109.00, 0.1129
115,6659.00, 0.1124
116,5669.00, 0.1118
117,2269.00, 0.1113
118,7319.00, 0.1107
119,6009.00, 0.1101
120,5209.00, 0.1096
121,4979.00, 0.1090
122,4089.00, 0.1085
123,5299.00, 0.1080
124,2259.00, 0.1074
125,3719.00, 0.1069
126,4369.00, 0.1064
127,4649.00, 0.1058
128,5779.00, 0.1053
129,6649.00, 0.1048
130,3829.00, 0.1042
131,5329.00, 0.1037
132,5947.00, 0.1032
133,1515.00, 0.1027
134,627.00, 0.1022
135,5209.00, 0.1017
136,1199.00, 0.1012
137,6689.00, 0.1006
138,5159.00, 0.1001
139,6629.00, 0.0996
140,4069.00, 0.0991
141,5615.00, 0.0986
142,3609.00, 0.0982
143,3556.00, 0.0977
144,5469.00, 0.0972
145,7819.00, 0.0967
146,9119.00, 0.0962
147,6329.00, 0.0957
148,6058.00, 0.0952
149,6739.00, 0.0948
150,4629.00, 0.0943
151,7667.00, 0.0938
152,1439.00, 0.0934
153,3169.00, 0.0929
154,5269.00, 0.0924
155,7487.00, 0.0920
156,5359.00, 0.0915
157,5689.00, 0.0910
158,3739.00, 0.0906
159,3969.00, 0.0901
160,5449.00, 0.0897
161,8419.00, 0.0892
162,5879.00, 0.0888
163,5399.00, 0.0883
164,5979.00, 0.0879
165,7509.00, 0.0875
166,8069.00, 0.0870
167,7678.00, 0.0866
168,6939.00, 0.0862
169,4097.00, 0.0857
170,7919.00, 0.0853
171,7548.00, 0.0849
172,6919.00, 0.0845
173,7559.00, 0.0840
174,6519.00, 0.0836
175,7139.00, 0.0832
176,7869.00, 0.0828
177,6289.00, 0.0824
178,7319.00, 0.0819
179,6819.00, 0.0815
180,6309.00, 0.0811
181,7288.00, 0.0807
182,6318.00, 0.0803
183,5577.00, 0.0799
184,8309.00, 0.0795
185,6288.00, 0.0791
186,8269.00, 0.0787
187,8089.00, 0.0783
188,7109.00, 0.0779
189,7659.00, 0.0776
190,5359.00, 0.0772
191,6348.00, 0.0768
192,6979.00, 0.0764
193,7509.00, 0.0760
194,8189.00, 0.0756
195,8097.00, 0.0753
196,6309.00, 0.0749
197,7949.00, 0.0745
198,6459.00, 0.0741
199,4839.00, 0.0738
200,7127.00, 0.0734
201,6116.00, 0.0730
202,6889.00, 0.0727
203,6078.00, 0.0723
204,8529.00, 0.0719
205,4039.00, 0.0716
206,7039.00, 0.0712
207,2509.00, 0.0709
208,5649.00, 0.0705
209,5459.00, 0.0702
210,8899.00, 0.0698
211,8409.00, 0.0695
212,9768.00, 0.0691
213,8499.00, 0.0688
214,7839.00, 0.0684
215,8109.00, 0.0681
216,8689.00, 0.0677
217,6859.00, 0.0674
218,7016.00, 0.0671
219,7229.00, 0.0667
220,8289.00, 0.0664
221,7679.00, 0.0661
222,7829.00, 0.0657
223,1949.00, 0.0654
224,6999.00, 0.0651
225,8166.00, 0.0647
226,6599.00, 0.0644
227,7217.00, 0.0641
228,8329.00, 0.0638
229,8719.00, 0.0635
230,8047.00, 0.0631
231,8429.00, 0.0628
232,6889.00, 0.0625
233,6957.00, 0.0622
234,9169.00, 0.0619
235,7829.00, 0.0616
236,6459.00, 0.0613
237,7518.00, 0.0610
238,8879.00, 0.0607
239,9159.00, 0.0604
240,6659.00, 0.0601
241,6919.00, 0.0598
242,7869.00, 0.0595
243,7287.00, 0.0592
244,8289.00, 0.0589
245,9259.00, 0.0586
246,4777.00, 0.0583
247,6319.00, 0.0580
248,5409.00, 0.0577
249,4649.00, 0.0574
250,6769.00, 0.0571
251,6855.00, 0.0568
252,6209.00, 0.0566
253,8159.00, 0.0563
254,6988.00, 0.0560
255,8209.00, 0.0557
256,7359.00, 0.0554
257,7039.00, 0.0552
258,6679.00, 0.0549
259,7699.00, 0.0546
260,3426.00, 0.0543
261,1249.00, 0.0541
262,6819.00, 0.0538
263,5139.00, 0.0535
264,9079.00, 0.0533
265,8196.00, 0.0530
266,6399.00, 0.0527
267,4669.00, 0.0525
268,3159.00, 0.0522
269,5478.00, 0.0519
270,-1391.00, 0.0517
271,2569.00, 0.0514
272,4379.00, 0.0512
273,5889.00, 0.0509
274,5199.00, 0.0506
275,4288.00, 0.0504
276,2199.00, 0.0501
277,4099.00, 0.0499
278,3919.00, 0.0496
279,7319.00, 0.0494
280,6929.00, 0.0491
281,4779.00, 0.0489
282,5989.00, 0.0487
283,4129.00, 0.0484
284,5139.00, 0.0482
285,7639.00, 0.0479
286,6259.00, 0.0477
287,9069.00, 0.0475
288,8089.00, 0.0472
289,9499.00, 0.0470
290,9279.00, 0.0467
291,7807.00, 0.0465
292,6327.00, 0.0463
293,7609.00, 0.0460
294,7779.00, 0.0458
295,9589.00, 0.0456
296,7679.00, 0.0454
297,7909.00, 0.0451
298,4839.00, 0.0449
299,4979.00, 0.0447
300,3479.00, 0.0445
301,5169.00, 0.0442
302,5819.00, 0.0440
303,5249.00, 0.0438
304,5015.00, 0.0436
305,7709.00, 0.0434
306,6599.00, 0.0431
307,6469.00, 0.0429
308,6509.00, 0.0427
309,6478.00, 0.0425
310,7319.00, 0.0423
311,8379.00, 0.0421
312,5349.00, 0.0419
313,6689.00, 0.0417
314,8017.00, 0.0414
315,6589.00, 0.0412
316,7349.00, 0.0410
317,4879.00, 0.0408
318,6569.00, 0.0406
319,5348.00, 0.0404
320,7677.00, 0.0402
321,7819.00, 0.0400
322,4019.00, 0.0398
323,8159.00, 0.0396
324,4799.00, 0.0394
325,6399.00, 0.0392
326,8028.00, 0.0390
327,6787.00, 0.0388
328,4709.00, 0.0386
329,-951.00, 0.0384
330,4477.00, 0.0383
331,5249.00, 0.0381
332,3388.00, 0.0379
333,1329.00, 0.0377
334,5627.00, 0.0375
335,6669.00, 0.0373
336,-581.00, 0.0371
337,4229.00, 0.0369
338,4479.00, 0.0367
339,3569.00, 0.0366
340,2289.00, 0.0364
341,7189.00, 0.0362
342,3969.00, 0.0360
343,5599.00, 0.0358
344,5289.00, 0.0357
345,5067.00, 0.0355
346,7989.00, 0.0353
347,8089.00, 0.0351
348,4488.00, 0.0350
349,6337.00, 0.0348
350,6688.00, 0.0346
351,7139.00, 0.0344
352,7499.00, 0.0343
353,4739.00, 0.0341
354,3519.00, 0.0339
355,4199.00, 0.0337
356,7319.00, 0.0336
357,2939.00, 0.0334
358,-261.00, 0.0332
359,4119.00, 0.0331
360,4059.00, 0.0329
361,3689.00, 0.0327
362,6749.00, 0.0326
363,6108.00, 0.0324
364,4789.00, 0.0323
365,5897.00, 0.0321
366,6057.00, 0.0319
367,7318.00, 0.0318
368,3839.00, 0.0316
369,7509.00, 0.0315
370,6999.00, 0.0313
371,8929.00, 0.0311
372,5789.00, 0.0310
373,8265.00, 0.0308
374,4979.00, 0.0307
375,6238.00, 0.0305
376,5918.00, 0.0304
377,7436.00, 0.0302
378,6379.00, 0.0301
379,7039.00, 0.0299
380,5369.00, 0.0298
381,8059.00, 0.0296
382,8859.00, 0.0295
383,8689.00, 0.0293
384,2389.00, 0.0292
385,1819.00, 0.0290
386,7479.00, 0.0289
387,5709.00, 0.0287
388,2729.00, 0.0286
389,6949.00, 0.0285
390,4759.00, 0.0283
391,7537.00, 0.0282
392,9019.00, 0.0280
393,8779.00, 0.0279
394,5709.00, 0.0278
395,6039.00, 0.0276
396,8249.00, 0.0275
397,5019.00, 0.0273
398,5449.00, 0.0272
399,7119.00, 0.0271
400,4898.00, 0.0269
401,5779.00, 0.0268
402,2157.00, 0.0267
403,8009.00, 0.0265
404,7989.00, 0.0264
405,8609.00, 0.0263
406,6669.00, 0.0261
407,6689.00, 0.0260
408,6859.00, 0.0259
409,6499.00, 0.0257
410,9429.00, 0.0256
411,8169.00, 0.0255
412,5349.00, 0.0254
413,5509.00, 0.0252
414,8159.00, 0.0251
415,7099.00, 0.0250
416,5909.00, 0.0249
417,5459.00, 0.0247
418,8237.00, 0.0246
419,2099.00, 0.0245
420,5059.00, 0.0244
421,7448.00, 0.0242
422,5379.00, 0.0241
423,7839.00, 0.0240
424,7168.00, 0.0239
425,8949.00, 0.0238
426,7419.00, 0.0236
427,7698.00, 0.0235
428,8506.00, 0.0234
429,4307.00, 0.0233
430,7827.00, 0.0232
431,4139.00, 0.0231
432,4979.00, 0.0229
433,8769.00, 0.0228
434,3209.00, 0.0227
435,3976.00, 0.0226
436,3989.00, 0.0225
437,7499.00, 0.0224
438,5049.00, 0.0223
439,2659.00, 0.0221
440,4759.00, 0.0220
441,5929.00, 0.0219
442,6269.00, 0.0218
443,7569.00, 0.0217
444,4969.00, 0.0216
445,6499.00, 0.0215
446,6149.00, 0.0214
447,8339.00, 0.0213
448,5338.00, 0.0212
449,2479.00, 0.0211
450,5919.00, 0.0210
451,9118.00, 0.0209
452,5979.00, 0.0208
453,6399.00, 0.0206
454,7429.00, 0.0205
455,7719.00, 0.0204
456,6557.00, 0.0203
457,9419.00, 0.0202
458,1879.00, 0.0201
459,4719.00, 0.0200
460,79.00, 0.0199
461,3349.00, 0.0198
462,5649.00, 0.0197
463,7779.00, 0.0196
464,6769.00, 0.0195
465,5369.00, 0.0194
466,4919.00, 0.0193
467,4369.00, 0.0192
468,3549.00, 0.0192
469,3699.00, 0.0191
470,2169.00, 0.0190
471,3309.00, 0.0189
472,4849.00, 0.0188
473,4789.00, 0.0187
474,5279.00, 0.0186
475,4689.00, 0.0185
476,2219.00, 0.0184
477,685.00, 0.0183
478,2646.00, 0.0182
479,4759.00, 0.0181
480,2157.00, 0.0180
481,7095.00, 0.0179
482,4609.00, 0.0179
483,4769.00, 0.0178
484,7829.00, 0.0177
485,4999.00, 0.0176
486,9899.00, 0.0175
487,5019.00, 0.0174
488,4959.00, 0.0173
489,8289.00, 0.0172
490,7519.00, 0.0172
491,7697.00, 0.0171
492,6235.00, 0.0170
493,4527.00, 0.0169
494,8979.00, 0.0168
495,4749.00, 0.0167
496,1229.00, 0.0166
497,2589.00, 0.0166
498,4747.00, 0.0165
499,5079.00, 0.0164
500,4649.00, 0.0163
501,2999.00, 0.0162
502,6729.00, 0.0162
503,5359.00, 0.0161
504,4409.00, 0.0160
505,7799.00, 0.0159
506,3939.00, 0.0158
507,8709.00, 0.0158
508,3359.00, 0.0157
509,-941.00, 0.0156
510,3059.00, 0.0155
511,2759.00, 0.0154
512,3399.00, 0.0154
513,3759.00, 0.0153
514,3959.00, 0.0152
515,5729.00, 0.0151
516,5629.00, 0.0151
517,5419.00, 0.0150
518,6559.00, 0.0149
519,4789.00, 0.0148
520,6269.00, 0.0148
521,6928.00, 0.0147
522,5429.00, 0.0146
523,899.00, 0.0145
524,7119.00, 0.0145
525,4687.00, 0.0144
526,3139.00, 0.0143
527,1036.00, 0.0142
528,3819.00, 0.0142
529,2399.00, 0.0141
530,4217.00, 0.0140
531,7419.00, 0.0140
532,1819.00, 0.0139
533,8448.00, 0.0138
534,5095.00, 0.0138
535,6919.00, 0.0137
536,5319.00, 0.0136
537,7219.00, 0.0136
538,5747.00, 0.0135
539,7826.00, 0.0134
540,8037.00, 0.0134
541,7717.00, 0.0133
542,3179.00, 0.0132
543,3875.00, 0.0132
544,7099.00, 0.0131
545,7029.00, 0.0130
546,4829.00, 0.0130
547,6969.00, 0.0129
548,8487.00, 0.0128
549,7129.00, 0.0128
550,4587.00, 0.0127
551,6959.00, 0.0126
552,7309.00, 0.0126
553,8629.00, 0.0125
554,6429.00, 0.0124
555,4098.00, 0.0124
556,1579.00, 0.0123
557,8029.00, 0.0123
558,7609.00, 0.0122
559,2929.00, 0.0121
560,4379.00, 0.0121
561,3219.00, 0.0120
562,6289.00, 0.0120
563,2839.00, 0.0119
564,6499.00, 0.0118
565,5969.00, 0.0118
566,6807.00, 0.0117
567,6399.00, 0.0117
568,5479.00, 0.0116
569,4945.00, 0.0115
570,3778.00, 0.0115
571,1689.00, 0.0114
572,4469.00, 0.0114
573,4195.00, 0.0113
574,2039.00, 0.0113
575,3199.00, 0.0112
576,4679.00, 0.0111
577,3759.00, 0.0111
578,3359.00, 0.0110
579,7218.00, 0.0110
580,8809.00, 0.0109
581,7819.00, 0.0109
582,5849.00, 0.0108
583,5768.00, 0.0108
584,3479.00, 0.0107
585,9059.00, 0.0107
586,5839.00, 0.0106
587,2719.00, 0.0105
588,5569.00, 0.0105
589,2769.00, 0.0104
590,6498.00, 0.0104
591,6089.00, 0.0103
592,3429.00, 0.0103
593,3689.00, 0.0102
594,3947.00, 0.0102
595,1809.00, 0.0101
596,4899.00, 0.0101
597,3089.00, 0.0100
598,6059.00, 0.0100
599,5059.00, 0.0099
600,4279.00, 0.0099
601,5137.00, 0.0098
602,7917.00, 0.0098
603,7859.00, 0.0097
604,69.00, 0.0097
605,7276.00, 0.0096
606,5539.00, 0.0096
607,3389.00, 0.0095
608,3309.00, 0.0095
609,548.00, 0.0094
610,5989.00, 0.0094
611,2109.00, 0.0094
612,6769.00, 0.0093
613,2399.00, 0.0093
614,4769.00, 0.0092
615,4459.00, 0.0092
616,2339.00, 0.0091
617,3139.00, 0.0091
618,1608.00, 0.0090
619,5949.00, 0.0090
620,-871.00, 0.0089
621,3979.00, 0.0089
622,1409.00, 0.0089
623,1789.00, 0.0088
624,59.00, 0.0088
625,4959.00, 0.0087
626,3269.00, 0.0087
627,3019.00, 0.0086
628,6009.00, 0.0086
629,2517.00, 0.0085
630,3299.00, 0.0085
631,3309.00, 0.0085
632,4037.00, 0.0084
633,6009.00, 0.0084
634,1319.00, 0.0083
635,3009.00, 0.0083
636,3609.00, 0.0083
637,2988.00, 0.0082
638,1008.00, 0.0082
639,3709.00, 0.0081
640,6229.00, 0.0081
641,6527.00, 0.0080
642,4659.00, 0.0080
643,3919.00, 0.0080
644,1919.00, 0.0079
645,3489.00, 0.0079
646,3069.00, 0.0078
647,5027.00, 0.0078
648,4698.00, 0.0078
649,8447.00, 0.0077
650,7109.00, 0.0077
651,8019.00, 0.0077
652,6247.00, 0.0076
653,2839.00, 0.0076
654,6339.00, 0.0075
655,4838.00, 0.0075
656,6589.00, 0.0075
657,9669.00, 0.0074
658,8597.00, 0.0074
659,6559.00, 0.0074
660,7559.00, 0.0073
661,7659.00, 0.0073
662,9247.00, 0.0072
663,9839.00, 0.0072
664,8649.00, 0.0072
665,4399.00, 0.0071
666,4829.00, 0.0071
