Episode, Total Reward, Epsilon
1,-12243.00, 0.1990
2,-11671.00, 0.1980
3,-13981.00, 0.1970
4,-9365.00, 0.1960
5,-10891.00, 0.1950
6,-9443.00, 0.1941
7,-13902.00, 0.1931
8,-6138.00, 0.1921
9,-8740.00, 0.1912
10,-6166.00, 0.1902
11,-7726.00, 0.1893
12,-6294.00, 0.1883
13,-8338.00, 0.1874
14,-7932.00, 0.1864
15,-8573.00, 0.1855
16,-11066.00, 0.1846
17,-7766.00, 0.1837
18,-6242.00, 0.1827
19,-9006.00, 0.1818
20,-5191.00, 0.1809
21,-5597.00, 0.1800
22,-4744.00, 0.1791
23,-2467.00, 0.1782
24,-6046.00, 0.1773
25,-4850.00, 0.1764
26,-4291.00, 0.1756
27,-5811.00, 0.1747
28,-4297.00, 0.1738
29,-5301.00, 0.1729
30,-6361.00, 0.1721
31,-5751.00, 0.1712
32,-3851.00, 0.1704
33,-6331.00, 0.1695
34,-4328.00, 0.1687
35,-2990.00, 0.1678
36,-4956.00, 0.1670
37,-4931.00, 0.1661
38,-4042.00, 0.1653
39,-3576.00, 0.1645
40,-3199.00, 0.1637
41,-599.00, 0.1628
42,-4462.00, 0.1620
43,-5556.00, 0.1612
44,-956.00, 0.1604
45,-1606.00, 0.1596
46,-2531.00, 0.1588
47,-3191.00, 0.1580
48,-2808.00, 0.1572
49,-3146.00, 0.1564
50,-3348.00, 0.1557
51,-3797.00, 0.1549
52,-3580.00, 0.1541
53,-3009.00, 0.1533
54,-2401.00, 0.1526
55,-2781.00, 0.1518
56,-2915.00, 0.1511
57,-4396.00, 0.1503
58,-4222.00, 0.1495
59,-3337.00, 0.1488
60,-2759.00, 0.1481
61,705.00, 0.1473
62,-4853.00, 0.1466
63,-1686.00, 0.1458
64,-2597.00, 0.1451
65,-1177.00, 0.1444
66,-544.00, 0.1437
67,-1238.00, 0.1429
68,-305.00, 0.1422
69,-2920.00, 0.1415
70,-2011.00, 0.1408
71,519.00, 0.1401
72,-1443.00, 0.1394
73,-1061.00, 0.1387
74,-1376.00, 0.1380
75,-796.00, 0.1373
76,-3576.00, 0.1366
77,-1416.00, 0.1360
78,-791.00, 0.1353
79,-750.00, 0.1346
80,-861.00, 0.1339
81,-3532.00, 0.1333
82,-556.00, 0.1326
83,-3737.00, 0.1319
84,-3656.00, 0.1313
85,-1561.00, 0.1306
86,-3076.00, 0.1300
87,-2256.00, 0.1293
88,-1235.00, 0.1287
89,1167.00, 0.1280
90,380.00, 0.1274
91,-491.00, 0.1267
92,-1739.00, 0.1261
93,-1076.00, 0.1255
94,-2621.00, 0.1249
95,-662.00, 0.1242
96,-511.00, 0.1236
97,2709.00, 0.1230
98,-2901.00, 0.1224
99,-2350.00, 0.1218
100,-1529.00, 0.1212
101,1705.00, 0.1205
102,1434.00, 0.1199
103,-2669.00, 0.1193
104,1024.00, 0.1187
105,1684.00, 0.1182
106,-2816.00, 0.1176
107,1419.00, 0.1170
108,1079.00, 0.1164
109,-1197.00, 0.1158
110,-2886.00, 0.1152
111,-696.00, 0.1147
112,-293.00, 0.1141
113,197.00, 0.1135
114,-571.00, 0.1129
115,-871.00, 0.1124
116,-561.00, 0.1118
117,-1371.00, 0.1113
118,-321.00, 0.1107
119,1737.00, 0.1101
120,-968.00, 0.1096
121,-594.00, 0.1090
122,-1283.00, 0.1085
123,-806.00, 0.1080
124,-1376.00, 0.1074
125,-605.00, 0.1069
126,-972.00, 0.1064
127,-186.00, 0.1058
128,-61.00, 0.1053
129,-868.00, 0.1048
130,-501.00, 0.1042
131,-491.00, 0.1037
132,921.00, 0.1032
133,1151.00, 0.1027
134,2399.00, 0.1022
135,-956.00, 0.1017
136,-1095.00, 0.1012
137,2399.00, 0.1006
138,2284.00, 0.1001
139,-1796.00, 0.0996
140,445.00, 0.0991
141,924.00, 0.0986
142,1883.00, 0.0982
143,1459.00, 0.0977
144,-446.00, 0.0972
145,1784.00, 0.0967
146,2049.00, 0.0962
147,740.00, 0.0957
148,3748.00, 0.0952
149,-941.00, 0.0948
150,829.00, 0.0943
151,2277.00, 0.0938
152,-1739.00, 0.0934
153,1679.00, 0.0929
154,2469.00, 0.0924
155,-1222.00, 0.0920
156,-1027.00, 0.0915
157,1689.00, 0.0910
158,1938.00, 0.0906
159,763.00, 0.0901
160,55.00, 0.0897
161,818.00, 0.0892
162,1862.00, 0.0888
163,1764.00, 0.0883
164,1479.00, 0.0879
165,2873.00, 0.0875
166,2754.00, 0.0870
167,-1246.00, 0.0866
168,939.00, 0.0862
169,2344.00, 0.0857
170,3249.00, 0.0853
171,3983.00, 0.0849
172,826.00, 0.0845
173,267.00, 0.0840
174,-436.00, 0.0836
175,459.00, 0.0832
176,1034.00, 0.0828
177,4294.00, 0.0824
178,2514.00, 0.0819
179,2391.00, 0.0815
180,815.00, 0.0811
181,61.00, 0.0807
182,659.00, 0.0803
183,-338.00, 0.0799
184,3239.00, 0.0795
185,949.00, 0.0791
186,-1687.00, 0.0787
187,-1.00, 0.0783
188,3040.00, 0.0779
189,4119.00, 0.0776
190,12.00, 0.0772
191,2044.00, 0.0768
192,2482.00, 0.0764
193,2344.00, 0.0760
194,2201.00, 0.0756
195,798.00, 0.0753
196,1014.00, 0.0749
197,704.00, 0.0745
198,1619.00, 0.0741
199,2779.00, 0.0738
200,-21.00, 0.0734
201,1453.00, 0.0730
202,823.00, 0.0727
203,2279.00, 0.0723
204,1524.00, 0.0719
205,2891.00, 0.0716
206,99.00, 0.0712
207,2369.00, 0.0709
208,-1958.00, 0.0705
209,565.00, 0.0702
210,536.00, 0.0698
211,29.00, 0.0695
212,1249.00, 0.0691
213,-131.00, 0.0688
214,-171.00, 0.0684
215,3613.00, 0.0681
216,695.00, 0.0677
217,1679.00, 0.0674
218,2288.00, 0.0671
219,2784.00, 0.0667
220,3099.00, 0.0664
221,3183.00, 0.0661
222,2003.00, 0.0657
223,2254.00, 0.0654
224,939.00, 0.0651
225,164.00, 0.0647
226,-656.00, 0.0644
227,1411.00, 0.0641
228,1174.00, 0.0638
229,507.00, 0.0635
230,2591.00, 0.0631
231,3399.00, 0.0628
