Episode, Total Reward, Epsilon
1,-10711.00, 0.1990
2,-5661.00, 0.1980
3,-2741.00, 0.1970
4,-441.00, 0.1960
5,-2281.00, 0.1950
6,-1261.00, 0.1941
7,-671.00, 0.1931
8,-1202.00, 0.1921
9,-1902.00, 0.1912
10,-3431.00, 0.1902
11,-91.00, 0.1893
12,-1471.00, 0.1883
13,-111.00, 0.1874
14,-1141.00, 0.1864
15,139.00, 0.1855
16,-923.00, 0.1846
17,89.00, 0.1837
18,-1333.00, 0.1827
19,1477.00, 0.1818
20,2025.00, 0.1809
21,1959.00, 0.1800
22,1049.00, 0.1791
23,859.00, 0.1782
24,319.00, 0.1773
25,1459.00, 0.1764
26,797.00, 0.1756
27,3178.00, 0.1747
28,1778.00, 0.1738
29,617.00, 0.1729
30,1609.00, 0.1721
31,3136.00, 0.1712
32,4729.00, 0.1704
33,5859.00, 0.1695
34,6749.00, 0.1687
35,4769.00, 0.1678
36,6949.00, 0.1670
37,7508.00, 0.1661
38,6499.00, 0.1653
39,4687.00, 0.1645
40,2819.00, 0.1637
41,1979.00, 0.1628
42,4709.00, 0.1620
43,3959.00, 0.1612
44,3009.00, 0.1604
45,767.00, 0.1596
46,3839.00, 0.1588
47,1747.00, 0.1580
48,3267.00, 0.1572
49,3069.00, 0.1564
50,3979.00, 0.1557
51,4789.00, 0.1549
52,5309.00, 0.1541
53,4969.00, 0.1533
54,8039.00, 0.1526
55,6829.00, 0.1518
56,5939.00, 0.1511
57,6878.00, 0.1503
58,5259.00, 0.1495
59,7439.00, 0.1488
60,6269.00, 0.1481
61,8429.00, 0.1473
62,5147.00, 0.1466
63,5319.00, 0.1458
64,5819.00, 0.1451
65,6759.00, 0.1444
66,7139.00, 0.1437
67,1979.00, 0.1429
68,1207.00, 0.1422
69,449.00, 0.1415
70,2149.00, 0.1408
71,6099.00, 0.1401
72,5289.00, 0.1394
73,5549.00, 0.1387
74,8009.00, 0.1380
75,6709.00, 0.1373
76,5409.00, 0.1366
77,5595.00, 0.1360
78,6899.00, 0.1353
79,5599.00, 0.1346
80,3489.00, 0.1339
81,-2061.00, 0.1333
82,1549.00, 0.1326
83,4669.00, 0.1319
84,6179.00, 0.1313
85,4019.00, 0.1306
86,4419.00, 0.1300
87,-24.00, 0.1293
88,-651.00, 0.1287
89,1719.00, 0.1280
90,1818.00, 0.1274
91,4609.00, 0.1267
92,4179.00, 0.1261
93,4379.00, 0.1255
94,3069.00, 0.1249
