Episode, Total Reward, Epsilon
1,-23550.00, 0.1990
2,-23760.00, 0.1980
3,-23710.00, 0.1970
4,-23500.00, 0.1960
5,-23450.00, 0.1950
6,-22010.00, 0.1941
7,-23390.00, 0.1931
8,-23450.00, 0.1921
9,-23740.00, 0.1912
10,-20520.00, 0.1902
11,-23080.00, 0.1893
12,-23260.00, 0.1883
13,-23340.00, 0.1874
14,-22260.00, 0.1864
15,-23760.00, 0.1855
16,-23120.00, 0.1846
17,-23000.00, 0.1837
18,-22730.00, 0.1827
19,-23790.00, 0.1818
20,-22710.00, 0.1809
21,-23710.00, 0.1800
22,-22370.00, 0.1791
23,-22320.00, 0.1782
24,-23130.00, 0.1773
25,-23690.00, 0.1764
26,-23050.00, 0.1756
27,-21210.00, 0.1747
28,-23270.00, 0.1738
29,-22920.00, 0.1729
30,-22030.00, 0.1721
31,-23840.00, 0.1712
32,-23540.00, 0.1704
33,-20330.00, 0.1695
34,-21320.00, 0.1687
35,-23640.00, 0.1678
36,-23580.00, 0.1670
37,-21710.00, 0.1661
38,-22670.00, 0.1653
39,-23300.00, 0.1645
40,-21160.00, 0.1637
41,-22930.00, 0.1628
42,-23510.00, 0.1620
43,-23640.00, 0.1612
44,-23790.00, 0.1604
45,-23400.00, 0.1596
46,-21830.00, 0.1588
47,-23350.00, 0.1580
48,-23580.00, 0.1572
49,-22780.00, 0.1564
50,-22550.00, 0.1557
51,-23640.00, 0.1549
52,-20410.00, 0.1541
53,-23190.00, 0.1533
54,-23740.00, 0.1526
55,-22420.00, 0.1518
56,-23640.00, 0.1511
57,-22760.00, 0.1503
58,-23790.00, 0.1495
59,-23640.00, 0.1488
60,-23350.00, 0.1481
61,-23160.00, 0.1473
62,-23260.00, 0.1466
63,-23790.00, 0.1458
64,-21440.00, 0.1451
65,-23590.00, 0.1444
66,-22590.00, 0.1437
67,-23790.00, 0.1429
68,-23480.00, 0.1422
69,-23430.00, 0.1415
70,-23400.00, 0.1408
71,-23740.00, 0.1401
72,-23370.00, 0.1394
73,-22950.00, 0.1387
74,-23450.00, 0.1380
75,-23490.00, 0.1373
76,-23640.00, 0.1366
77,-22610.00, 0.1360
78,-23640.00, 0.1353
79,-23430.00, 0.1346
80,-23510.00, 0.1339
81,-23280.00, 0.1333
82,-23450.00, 0.1326
83,-23590.00, 0.1319
84,-21700.00, 0.1313
85,-23150.00, 0.1306
86,-23590.00, 0.1300
87,-23590.00, 0.1293
88,-23740.00, 0.1287
89,-23380.00, 0.1280
90,-23410.00, 0.1274
91,-22110.00, 0.1267
92,-23460.00, 0.1261
93,-23450.00, 0.1255
94,-21120.00, 0.1249
95,-23150.00, 0.1242
96,-23250.00, 0.1236
97,-23540.00, 0.1230
98,-23460.00, 0.1224
99,-23330.00, 0.1218
100,-22890.00, 0.1212
101,-23690.00, 0.1205
102,-23640.00, 0.1199
103,-23590.00, 0.1193
104,-20950.00, 0.1187
105,-23090.00, 0.1182
106,-21320.00, 0.1176
107,-23330.00, 0.1170
108,-23460.00, 0.1164
109,-22560.00, 0.1158
110,-23540.00, 0.1152
111,-23420.00, 0.1147
112,-23220.00, 0.1141
113,-23110.00, 0.1135
114,-23220.00, 0.1129
115,-21740.00, 0.1124
116,-23640.00, 0.1118
117,-23460.00, 0.1113
118,-23530.00, 0.1107
119,-23590.00, 0.1101
120,-22280.00, 0.1096
121,-23300.00, 0.1090
122,-21000.00, 0.1085
123,-22470.00, 0.1080
124,-23380.00, 0.1074
125,-23090.00, 0.1069
126,-23300.00, 0.1064
127,-22320.00, 0.1058
128,-23640.00, 0.1053
129,-23280.00, 0.1048
130,-23640.00, 0.1042
131,-23250.00, 0.1037
132,-21930.00, 0.1032
133,-23690.00, 0.1027
134,-23690.00, 0.1022
135,-23690.00, 0.1017
136,-19710.00, 0.1012
137,-23030.00, 0.1006
138,-22870.00, 0.1001
139,-23460.00, 0.0996
140,-22070.00, 0.0991
141,-23640.00, 0.0986
142,-23740.00, 0.0982
143,-23690.00, 0.0977
144,-22560.00, 0.0972
145,-22800.00, 0.0967
146,-23510.00, 0.0962
147,-22620.00, 0.0957
148,-22520.00, 0.0952
149,-23060.00, 0.0948
150,-22800.00, 0.0943
151,-17840.00, 0.0938
152,-23690.00, 0.0934
153,-23490.00, 0.0929
154,-23540.00, 0.0924
155,-23440.00, 0.0920
156,-23070.00, 0.0915
157,-22440.00, 0.0910
158,-22680.00, 0.0906
159,-20030.00, 0.0901
160,-23690.00, 0.0897
161,-22260.00, 0.0892
162,-22280.00, 0.0888
163,-20670.00, 0.0883
164,-23640.00, 0.0879
165,-23540.00, 0.0875
166,-23430.00, 0.0870
167,-23690.00, 0.0866
168,-23590.00, 0.0862
169,-21360.00, 0.0857
170,-23510.00, 0.0853
171,-22760.00, 0.0849
172,-21710.00, 0.0845
173,-21890.00, 0.0840
174,-22350.00, 0.0836
175,-23230.00, 0.0832
176,-23540.00, 0.0828
177,-23590.00, 0.0824
178,-22790.00, 0.0819
179,-22640.00, 0.0815
180,-21770.00, 0.0811
181,-22430.00, 0.0807
182,-23590.00, 0.0803
183,-22710.00, 0.0799
184,-23160.00, 0.0795
185,-20800.00, 0.0791
186,-23540.00, 0.0787
187,-21310.00, 0.0783
188,-23330.00, 0.0779
189,-23220.00, 0.0776
190,-23200.00, 0.0772
191,-22810.00, 0.0768
192,-23170.00, 0.0764
193,-20840.00, 0.0760
194,-23360.00, 0.0756
195,-22540.00, 0.0753
196,-21730.00, 0.0749
197,-23050.00, 0.0745
198,-23640.00, 0.0741
199,-22620.00, 0.0738
200,-23460.00, 0.0734
201,-22210.00, 0.0730
202,-18760.00, 0.0727
203,-22990.00, 0.0723
204,-22710.00, 0.0719
205,-23140.00, 0.0716
206,-22290.00, 0.0712
207,-23170.00, 0.0709
208,-22910.00, 0.0705
209,-23200.00, 0.0702
210,-23790.00, 0.0698
211,-21160.00, 0.0695
212,-22360.00, 0.0691
213,-23410.00, 0.0688
214,-23590.00, 0.0684
215,-23250.00, 0.0681
216,-23350.00, 0.0677
217,-20200.00, 0.0674
218,-21560.00, 0.0671
219,-22140.00, 0.0667
220,-21520.00, 0.0664
221,-22440.00, 0.0661
222,-22640.00, 0.0657
223,-23490.00, 0.0654
224,-23390.00, 0.0651
225,-23390.00, 0.0647
226,-23540.00, 0.0644
227,-23740.00, 0.0641
228,-22470.00, 0.0638
229,-21830.00, 0.0635
230,-22020.00, 0.0631
231,-23490.00, 0.0628
232,-21320.00, 0.0625
233,-23790.00, 0.0622
234,-23640.00, 0.0619
235,-23490.00, 0.0616
236,-23590.00, 0.0613
237,-21030.00, 0.0610
238,-23590.00, 0.0607
239,-18610.00, 0.0604
240,-21330.00, 0.0601
241,-23410.00, 0.0598
242,-23150.00, 0.0595
243,-21670.00, 0.0592
244,-23430.00, 0.0589
245,-19130.00, 0.0586
246,-23200.00, 0.0583
247,-23380.00, 0.0580
248,-23440.00, 0.0577
249,-23490.00, 0.0574
250,-23640.00, 0.0571
251,-18760.00, 0.0568
252,-23440.00, 0.0566
253,-23380.00, 0.0563
254,-19710.00, 0.0560
255,-23360.00, 0.0557
256,-21490.00, 0.0554
257,-21450.00, 0.0552
258,-21410.00, 0.0549
259,-22080.00, 0.0546
260,-23510.00, 0.0543
261,-22400.00, 0.0541
262,-23310.00, 0.0538
263,-20630.00, 0.0535
264,-23410.00, 0.0533
265,-23170.00, 0.0530
266,-22480.00, 0.0527
267,-23070.00, 0.0525
268,-23510.00, 0.0522
269,-23640.00, 0.0519
270,-22370.00, 0.0517
271,-22340.00, 0.0514
272,-23490.00, 0.0512
273,-23590.00, 0.0509
274,-23410.00, 0.0506
275,-21010.00, 0.0504
276,-23460.00, 0.0501
277,-23440.00, 0.0499
278,-16200.00, 0.0496
279,-22700.00, 0.0494
280,-22000.00, 0.0491
281,-23410.00, 0.0489
282,-22130.00, 0.0487
283,-21740.00, 0.0484
284,-23490.00, 0.0482
285,-22390.00, 0.0479
