Episode, Total Reward, Epsilon
1,-6082.00, 0.1990
2,-1582.00, 0.1980
3,-1522.00, 0.1970
4,-52.00, 0.1960
5,-462.00, 0.1950
6,-312.00, 0.1941
7,-1472.00, 0.1931
8,238.00, 0.1921
9,3048.00, 0.1912
10,-3252.00, 0.1902
11,-472.00, 0.1893
12,-142.00, 0.1883
13,948.00, 0.1874
14,488.00, 0.1864
15,2008.00, 0.1855
16,-1282.00, 0.1846
17,-82.00, 0.1837
18,5038.00, 0.1827
19,3238.00, 0.1818
20,988.00, 0.1809
21,1908.00, 0.1800
22,348.00, 0.1791
23,-1102.00, 0.1782
24,3028.00, 0.1773
25,1328.00, 0.1764
26,2298.00, 0.1756
27,-572.00, 0.1747
28,2918.00, 0.1738
29,2348.00, 0.1729
30,10288.00, 0.1721
31,8838.00, 0.1712
32,13208.00, 0.1704
33,10398.00, 0.1695
34,11278.00, 0.1687
35,12828.00, 0.1678
36,11268.00, 0.1670
37,12938.00, 0.1661
38,3008.00, 0.1653
39,-1342.00, 0.1645
40,-2052.00, 0.1637
41,208.00, 0.1628
42,5258.00, 0.1620
43,2418.00, 0.1612
44,918.00, 0.1604
45,5058.00, 0.1596
46,1718.00, 0.1588
47,-222.00, 0.1580
48,2438.00, 0.1572
49,3088.00, 0.1564
50,3388.00, 0.1557
51,-962.00, 0.1549
52,-842.00, 0.1541
53,1048.00, 0.1533
54,-282.00, 0.1526
55,-1572.00, 0.1518
56,1578.00, 0.1511
57,518.00, 0.1503
58,-582.00, 0.1495
59,2788.00, 0.1488
60,768.00, 0.1481
61,88.00, 0.1473
62,5348.00, 0.1466
63,608.00, 0.1458
64,1518.00, 0.1451
65,3358.00, 0.1444
66,-272.00, 0.1437
67,668.00, 0.1429
68,-802.00, 0.1422
69,-432.00, 0.1415
70,1178.00, 0.1408
71,298.00, 0.1401
72,-492.00, 0.1394
73,1178.00, 0.1387
74,118.00, 0.1380
75,-72.00, 0.1373
76,468.00, 0.1366
77,-1422.00, 0.1360
78,958.00, 0.1353
79,-72.00, 0.1346
80,-142.00, 0.1339
81,598.00, 0.1333
82,4808.00, 0.1326
83,2428.00, 0.1319
84,4948.00, 0.1313
85,-812.00, 0.1306
86,1798.00, 0.1300
87,2858.00, 0.1293
88,108.00, 0.1287
89,1028.00, 0.1280
90,498.00, 0.1274
91,878.00, 0.1267
92,2128.00, 0.1261
93,1388.00, 0.1255
94,768.00, 0.1249
95,4134.00, 0.1242
96,-302.00, 0.1236
97,-1002.00, 0.1230
98,-762.00, 0.1224
99,-952.00, 0.1218
100,8788.00, 0.1212
101,11318.00, 0.1205
102,1048.00, 0.1199
103,-2322.00, 0.1193
104,-692.00, 0.1187
105,-1442.00, 0.1182
106,1258.00, 0.1176
107,6408.00, 0.1170
108,14708.00, 0.1164
109,12478.00, 0.1158
110,-192.00, 0.1152
111,3228.00, 0.1147
112,3958.00, 0.1141
113,1788.00, 0.1135
114,898.00, 0.1129
115,4608.00, 0.1124
116,3398.00, 0.1118
117,8888.00, 0.1113
118,11308.00, 0.1107
119,14398.00, 0.1101
120,3218.00, 0.1096
121,3218.00, 0.1090
122,8448.00, 0.1085
123,13328.00, 0.1080
124,7318.00, 0.1074
125,13688.00, 0.1069
126,12178.00, 0.1064
127,14768.00, 0.1058
128,16428.00, 0.1053
129,17658.00, 0.1048
130,15578.00, 0.1042
131,13148.00, 0.1037
132,16118.00, 0.1032
133,14238.00, 0.1027
134,14438.00, 0.1022
135,14418.00, 0.1017
136,14978.00, 0.1012
137,13778.00, 0.1006
138,15808.00, 0.1001
139,17688.00, 0.0996
140,16718.00, 0.0991
141,14258.00, 0.0986
142,13650.00, 0.0982
143,14898.00, 0.0977
144,16448.00, 0.0972
145,14378.00, 0.0967
146,17568.00, 0.0962
147,15078.00, 0.0957
148,17178.00, 0.0952
149,15128.00, 0.0948
150,14698.00, 0.0943
151,14628.00, 0.0938
152,14718.00, 0.0934
153,15558.00, 0.0929
154,15248.00, 0.0924
155,13548.00, 0.0920
156,14838.00, 0.0915
157,15428.00, 0.0910
158,15448.00, 0.0906
159,14548.00, 0.0901
160,16578.00, 0.0897
161,15608.00, 0.0892
162,12808.00, 0.0888
163,15248.00, 0.0883
164,16678.00, 0.0879
165,14808.00, 0.0875
166,14758.00, 0.0870
167,19318.00, 0.0866
168,15298.00, 0.0862
169,16298.00, 0.0857
170,5498.00, 0.0853
171,4258.00, 0.0849
172,778.00, 0.0845
173,11978.00, 0.0840
174,16468.00, 0.0836
175,14148.00, 0.0832
176,14518.00, 0.0828
177,16238.00, 0.0824
178,13318.00, 0.0819
179,16948.00, 0.0815
180,14700.00, 0.0811
181,8618.00, 0.0807
182,4188.00, 0.0803
183,11418.00, 0.0799
184,15620.00, 0.0795
185,14438.00, 0.0791
186,13218.00, 0.0787
187,13918.00, 0.0783
188,14328.00, 0.0779
189,13978.00, 0.0776
190,13608.00, 0.0772
191,15178.00, 0.0768
192,14448.00, 0.0764
193,17068.00, 0.0760
194,16428.00, 0.0756
195,16758.00, 0.0753
196,14468.00, 0.0749
197,14498.00, 0.0745
