Episode, Total Reward, Epsilon
1,-11321.00, 0.1990
2,-10041.00, 0.1980
3,-10681.00, 0.1970
4,-11326.00, 0.1960
5,-12667.00, 0.1950
6,-11492.00, 0.1941
7,-9811.00, 0.1931
8,-10266.00, 0.1921
9,-8566.00, 0.1912
10,-10181.00, 0.1902
11,-12268.00, 0.1893
12,-5845.00, 0.1883
13,-12241.00, 0.1874
14,-7835.00, 0.1864
15,-8471.00, 0.1855
16,-11480.00, 0.1846
17,-11041.00, 0.1837
18,-8655.00, 0.1827
19,-11751.00, 0.1818
20,-7431.00, 0.1809
21,-12466.00, 0.1800
22,-6328.00, 0.1791
23,-8768.00, 0.1782
24,-8353.00, 0.1773
25,-6790.00, 0.1764
26,-7756.00, 0.1756
27,-9656.00, 0.1747
28,-9091.00, 0.1738
29,-5544.00, 0.1729
30,-5310.00, 0.1721
31,-9147.00, 0.1712
32,-3731.00, 0.1704
33,-10160.00, 0.1695
34,-6811.00, 0.1687
35,-6255.00, 0.1678
36,-4496.00, 0.1670
37,-5748.00, 0.1661
38,-8566.00, 0.1653
39,-4659.00, 0.1645
40,-6659.00, 0.1637
41,-6126.00, 0.1628
42,-5296.00, 0.1620
43,-7187.00, 0.1612
44,-8652.00, 0.1604
45,-6371.00, 0.1596
46,-4261.00, 0.1588
47,-5711.00, 0.1580
48,-7816.00, 0.1572
49,-7051.00, 0.1564
50,-5509.00, 0.1557
51,-2102.00, 0.1549
52,-6826.00, 0.1541
53,-5323.00, 0.1533
54,-1965.00, 0.1526
55,-4181.00, 0.1518
56,-5184.00, 0.1511
57,-4126.00, 0.1503
58,-5541.00, 0.1495
59,-1021.00, 0.1488
60,-7161.00, 0.1481
61,-2791.00, 0.1473
62,-7909.00, 0.1466
63,-3836.00, 0.1458
64,-3106.00, 0.1451
65,-4199.00, 0.1444
66,-3049.00, 0.1437
67,-3804.00, 0.1429
68,-2011.00, 0.1422
69,-3506.00, 0.1415
70,-2611.00, 0.1408
71,-1941.00, 0.1401
72,-2686.00, 0.1394
73,-1256.00, 0.1387
74,-3316.00, 0.1380
75,-3447.00, 0.1373
76,-2202.00, 0.1366
77,101.00, 0.1360
78,-7356.00, 0.1353
79,-1191.00, 0.1346
80,-6016.00, 0.1339
81,-2945.00, 0.1333
82,-1611.00, 0.1326
83,-1412.00, 0.1319
84,-3220.00, 0.1313
85,-649.00, 0.1306
86,-5146.00, 0.1300
87,-2761.00, 0.1293
88,-1821.00, 0.1287
89,-3045.00, 0.1280
90,334.00, 0.1274
91,-2446.00, 0.1267
92,-3205.00, 0.1261
93,-3321.00, 0.1255
94,-3931.00, 0.1249
95,-4743.00, 0.1242
96,-1976.00, 0.1236
97,257.00, 0.1230
98,-2718.00, 0.1224
99,-958.00, 0.1218
100,-4546.00, 0.1212
101,-583.00, 0.1205
102,-4911.00, 0.1199
103,-5831.00, 0.1193
104,-2681.00, 0.1187
105,-3145.00, 0.1182
106,-2991.00, 0.1176
107,-2257.00, 0.1170
108,-546.00, 0.1164
109,712.00, 0.1158
110,-5426.00, 0.1152
111,-1139.00, 0.1147
112,-2632.00, 0.1141
113,-2790.00, 0.1135
114,-5391.00, 0.1129
115,-5057.00, 0.1124
116,357.00, 0.1118
117,-5751.00, 0.1113
118,-3486.00, 0.1107
119,-1815.00, 0.1101
120,1746.00, 0.1096
121,-316.00, 0.1090
122,-452.00, 0.1085
123,-1241.00, 0.1080
124,-941.00, 0.1074
125,1924.00, 0.1069
126,-491.00, 0.1064
127,274.00, 0.1058
128,-1001.00, 0.1053
129,2109.00, 0.1048
130,29.00, 0.1042
131,584.00, 0.1037
132,-4146.00, 0.1032
133,-1486.00, 0.1027
134,-596.00, 0.1022
135,-1922.00, 0.1017
136,-2841.00, 0.1012
137,1458.00, 0.1006
138,-809.00, 0.1001
139,-2966.00, 0.0996
140,-2302.00, 0.0991
141,-3156.00, 0.0986
142,154.00, 0.0982
143,-2436.00, 0.0977
144,-1383.00, 0.0972
145,-2414.00, 0.0967
146,-6596.00, 0.0962
147,299.00, 0.0957
148,744.00, 0.0952
149,-1317.00, 0.0948
150,-154.00, 0.0943
151,2634.00, 0.0938
152,-3966.00, 0.0934
153,-2992.00, 0.0929
154,-3616.00, 0.0924
155,1199.00, 0.0920
156,-3601.00, 0.0915
157,1455.00, 0.0910
158,-1416.00, 0.0906
159,-391.00, 0.0901
160,2389.00, 0.0897
161,-3481.00, 0.0892
162,4119.00, 0.0888
163,549.00, 0.0883
164,-451.00, 0.0879
165,2304.00, 0.0875
166,1245.00, 0.0870
167,-371.00, 0.0866
168,-867.00, 0.0862
169,720.00, 0.0857
170,-1632.00, 0.0853
171,-2058.00, 0.0849
172,534.00, 0.0845
173,313.00, 0.0840
174,824.00, 0.0836
175,-2136.00, 0.0832
176,1877.00, 0.0828
177,-1288.00, 0.0824
178,-2556.00, 0.0819
179,324.00, 0.0815
180,1537.00, 0.0811
181,-747.00, 0.0807
182,1341.00, 0.0803
183,2218.00, 0.0799
184,1679.00, 0.0795
185,1967.00, 0.0791
186,-451.00, 0.0787
187,-1941.00, 0.0783
188,2399.00, 0.0779
189,-711.00, 0.0776
190,-560.00, 0.0772
191,1694.00, 0.0768
192,-696.00, 0.0764
193,300.00, 0.0760
194,758.00, 0.0756
195,984.00, 0.0753
196,2294.00, 0.0749
197,4504.00, 0.0745
198,-1271.00, 0.0741
199,-1041.00, 0.0738
200,-1939.00, 0.0734
201,269.00, 0.0730
202,344.00, 0.0727
203,-566.00, 0.0723
204,1074.00, 0.0719
205,4069.00, 0.0716
206,483.00, 0.0712
207,725.00, 0.0709
208,-676.00, 0.0705
209,1024.00, 0.0702
210,732.00, 0.0698
211,-1106.00, 0.0695
212,2930.00, 0.0691
213,1332.00, 0.0688
214,1764.00, 0.0684
215,2652.00, 0.0681
216,1869.00, 0.0677
217,2619.00, 0.0674
218,1757.00, 0.0671
219,-406.00, 0.0667
220,1699.00, 0.0664
221,1479.00, 0.0661
222,2959.00, 0.0657
223,-301.00, 0.0654
224,-3472.00, 0.0651
225,-1797.00, 0.0647
226,1572.00, 0.0644
227,363.00, 0.0641
228,1629.00, 0.0638
229,2931.00, 0.0635
230,3821.00, 0.0631
231,2044.00, 0.0628
232,1774.00, 0.0625
233,1287.00, 0.0622
234,-249.00, 0.0619
235,-3296.00, 0.0616
236,577.00, 0.0613
237,2224.00, 0.0610
238,-1801.00, 0.0607
239,1693.00, 0.0604
240,-2088.00, 0.0601
241,516.00, 0.0598
242,-481.00, 0.0595
243,2113.00, 0.0592
244,2771.00, 0.0589
245,-827.00, 0.0586
246,3013.00, 0.0583
247,2184.00, 0.0580
248,-819.00, 0.0577
249,2942.00, 0.0574
250,1934.00, 0.0571
251,2626.00, 0.0568
252,1109.00, 0.0566
253,-816.00, 0.0563
254,908.00, 0.0560
255,1377.00, 0.0557
256,837.00, 0.0554
257,4909.00, 0.0552
258,-1559.00, 0.0549
259,2026.00, 0.0546
260,1380.00, 0.0543
261,1174.00, 0.0541
262,375.00, 0.0538
263,2808.00, 0.0535
264,-826.00, 0.0533
265,-467.00, 0.0530
266,4344.00, 0.0527
267,-3831.00, 0.0525
268,244.00, 0.0522
269,-661.00, 0.0519
270,1098.00, 0.0517
271,408.00, 0.0514
272,3288.00, 0.0512
273,4100.00, 0.0509
274,1964.00, 0.0506
275,1602.00, 0.0504
276,3084.00, 0.0501
277,1431.00, 0.0499
278,1897.00, 0.0496
279,1650.00, 0.0494
280,-2306.00, 0.0491
281,3334.00, 0.0489
282,-231.00, 0.0487
283,-685.00, 0.0484
284,3974.00, 0.0482
285,2194.00, 0.0479
286,2221.00, 0.0477
287,1748.00, 0.0475
288,3414.00, 0.0472
289,1063.00, 0.0470
290,1989.00, 0.0467
291,2243.00, 0.0465
292,1539.00, 0.0463
293,1954.00, 0.0460
294,5084.00, 0.0458
295,1154.00, 0.0456
296,4114.00, 0.0454
297,629.00, 0.0451
298,4536.00, 0.0449
299,3439.00, 0.0447
300,4314.00, 0.0445
301,2074.00, 0.0442
302,1009.00, 0.0440
303,2213.00, 0.0438
304,227.00, 0.0436
305,4129.00, 0.0434
306,2938.00, 0.0431
307,-121.00, 0.0429
308,133.00, 0.0427
309,-543.00, 0.0425
310,1304.00, 0.0423
311,6568.00, 0.0421
312,4039.00, 0.0419
313,514.00, 0.0417
314,1878.00, 0.0414
315,1332.00, 0.0412
316,2394.00, 0.0410
317,3608.00, 0.0408
318,399.00, 0.0406
319,2276.00, 0.0404
320,1864.00, 0.0402
321,2334.00, 0.0400
322,1829.00, 0.0398
323,2975.00, 0.0396
324,1774.00, 0.0394
325,2459.00, 0.0392
326,488.00, 0.0390
327,2742.00, 0.0388
328,1258.00, 0.0386
329,3389.00, 0.0384
330,-906.00, 0.0383
331,2464.00, 0.0381
332,1613.00, 0.0379
333,4429.00, 0.0377
334,879.00, 0.0375
335,1334.00, 0.0373
336,3508.00, 0.0371
337,-213.00, 0.0369
338,1854.00, 0.0367
339,4558.00, 0.0366
340,2879.00, 0.0364
341,2464.00, 0.0362
342,3469.00, 0.0360
343,3524.00, 0.0358
344,1002.00, 0.0357
345,6005.00, 0.0355
346,581.00, 0.0353
347,3042.00, 0.0351
348,1964.00, 0.0350
349,3525.00, 0.0348
350,1164.00, 0.0346
351,2942.00, 0.0344
352,-2596.00, 0.0343
353,3092.00, 0.0341
354,742.00, 0.0339
355,2014.00, 0.0337
356,2553.00, 0.0336
357,5529.00, 0.0334
358,2484.00, 0.0332
359,5404.00, 0.0331
360,2669.00, 0.0329
361,2138.00, 0.0327
362,-1669.00, 0.0326
363,1774.00, 0.0324
364,821.00, 0.0323
365,4693.00, 0.0321
366,3699.00, 0.0319
367,1272.00, 0.0318
368,849.00, 0.0316
369,328.00, 0.0315
370,3406.00, 0.0313
371,4309.00, 0.0311
372,2658.00, 0.0310
373,1888.00, 0.0308
374,2424.00, 0.0307
375,-2920.00, 0.0305
376,5029.00, 0.0304
377,1529.00, 0.0302
378,215.00, 0.0301
379,2564.00, 0.0299
380,2090.00, 0.0298
381,-1226.00, 0.0296
382,4433.00, 0.0295
383,3539.00, 0.0293
384,2933.00, 0.0292
385,3474.00, 0.0290
386,-321.00, 0.0289
387,4069.00, 0.0287
388,-1506.00, 0.0286
389,3744.00, 0.0285
390,3344.00, 0.0283
391,2494.00, 0.0282
392,2535.00, 0.0280
393,3933.00, 0.0279
394,3944.00, 0.0278
395,-66.00, 0.0276
396,-1461.00, 0.0275
