Episode, Total Reward, Epsilon
1,-14761.00, 0.1990
2,-11415.00, 0.1980
3,-10171.00, 0.1970
4,-9951.00, 0.1960
5,-7091.00, 0.1950
6,-7061.00, 0.1941
7,-7551.00, 0.1931
8,-5371.00, 0.1921
9,-5851.00, 0.1912
10,-3185.00, 0.1902
11,-4432.00, 0.1893
12,-4551.00, 0.1883
13,-5334.00, 0.1874
14,-3541.00, 0.1864
15,-4461.00, 0.1855
16,-4862.00, 0.1846
17,-3012.00, 0.1837
18,-3531.00, 0.1827
19,-4151.00, 0.1818
20,-2685.00, 0.1809
21,-2934.00, 0.1800
22,-2434.00, 0.1791
23,-1811.00, 0.1782
24,-771.00, 0.1773
25,-181.00, 0.1764
26,-1431.00, 0.1756
27,-1131.00, 0.1747
28,-1731.00, 0.1738
29,239.00, 0.1729
30,-2051.00, 0.1721
31,977.00, 0.1712
32,-1021.00, 0.1704
33,-641.00, 0.1695
34,289.00, 0.1687
35,-1441.00, 0.1678
36,-1621.00, 0.1670
37,4509.00, 0.1661
38,1479.00, 0.1653
39,969.00, 0.1645
40,279.00, 0.1637
41,-801.00, 0.1628
42,1519.00, 0.1620
43,2409.00, 0.1612
44,1535.00, 0.1604
45,-531.00, 0.1596
46,499.00, 0.1588
47,3539.00, 0.1580
48,2437.00, 0.1572
49,2169.00, 0.1564
50,769.00, 0.1557
51,1309.00, 0.1549
52,549.00, 0.1541
53,2759.00, 0.1533
54,3739.00, 0.1526
55,1789.00, 0.1518
56,2189.00, 0.1511
57,1689.00, 0.1503
58,4569.00, 0.1495
59,869.00, 0.1488
60,4199.00, 0.1481
61,4225.00, 0.1473
62,3999.00, 0.1466
63,3349.00, 0.1458
64,3299.00, 0.1451
65,1689.00, 0.1444
66,3019.00, 0.1437
67,1899.00, 0.1429
68,4329.00, 0.1422
69,4219.00, 0.1415
70,4299.00, 0.1408
71,4109.00, 0.1401
72,3849.00, 0.1394
73,4319.00, 0.1387
74,4419.00, 0.1380
75,4699.00, 0.1373
76,4409.00, 0.1366
77,3519.00, 0.1360
78,2829.00, 0.1353
79,5509.00, 0.1346
80,1579.00, 0.1339
81,-1321.00, 0.1333
82,3679.00, 0.1326
83,3589.00, 0.1319
84,4109.00, 0.1313
85,2129.00, 0.1306
86,5169.00, 0.1300
87,2339.00, 0.1293
88,2779.00, 0.1287
89,4227.00, 0.1280
90,2757.00, 0.1274
91,2109.00, 0.1267
92,2718.00, 0.1261
93,5329.00, 0.1255
94,5119.00, 0.1249
95,1769.00, 0.1242
96,4549.00, 0.1236
97,4309.00, 0.1230
98,1609.00, 0.1224
99,5419.00, 0.1218
100,5129.00, 0.1212
101,3959.00, 0.1205
102,3739.00, 0.1199
103,5869.00, 0.1193
104,4387.00, 0.1187
105,4379.00, 0.1182
106,4639.00, 0.1176
107,5799.00, 0.1170
108,5489.00, 0.1164
109,5829.00, 0.1158
110,5779.00, 0.1152
111,4739.00, 0.1147
112,3799.00, 0.1141
113,6169.00, 0.1135
114,5429.00, 0.1129
115,7079.00, 0.1124
116,5748.00, 0.1118
117,2499.00, 0.1113
118,6337.00, 0.1107
119,5079.00, 0.1101
120,6828.00, 0.1096
121,5389.00, 0.1090
122,4947.00, 0.1085
123,5959.00, 0.1080
124,5149.00, 0.1074
125,4419.00, 0.1069
126,4729.00, 0.1064
127,5579.00, 0.1058
128,6049.00, 0.1053
129,3937.00, 0.1048
130,5429.00, 0.1042
131,6839.00, 0.1037
132,1659.00, 0.1032
133,5409.00, 0.1027
134,6109.00, 0.1022
135,4916.00, 0.1017
136,4945.00, 0.1012
137,4719.00, 0.1006
138,5009.00, 0.1001
139,7849.00, 0.0996
140,5089.00, 0.0991
141,5029.00, 0.0986
142,3119.00, 0.0982
143,759.00, 0.0977
144,3179.00, 0.0972
145,3059.00, 0.0967
146,5379.00, 0.0962
147,6086.00, 0.0957
148,7639.00, 0.0952
149,5369.00, 0.0948
150,6509.00, 0.0943
151,7619.00, 0.0938
152,4439.00, 0.0934
153,4629.00, 0.0929
154,7599.00, 0.0924
155,5589.00, 0.0920
156,4158.00, 0.0915
157,4179.00, 0.0910
158,5459.00, 0.0906
159,6369.00, 0.0901
160,3629.00, 0.0897
161,6929.00, 0.0892
162,6569.00, 0.0888
163,4307.00, 0.0883
164,6277.00, 0.0879
165,2929.00, 0.0875
166,4636.00, 0.0870
167,5609.00, 0.0866
168,3679.00, 0.0862
169,5859.00, 0.0857
170,4487.00, 0.0853
171,3409.00, 0.0849
172,6139.00, 0.0845
173,5609.00, 0.0840
174,6089.00, 0.0836
175,6109.00, 0.0832
176,6379.00, 0.0828
177,3839.00, 0.0824
178,4539.00, 0.0819
179,7929.00, 0.0815
180,259.00, 0.0811
181,6659.00, 0.0807
182,6849.00, 0.0803
183,2788.00, 0.0799
184,6469.00, 0.0795
185,6649.00, 0.0791
186,4489.00, 0.0787
187,7059.00, 0.0783
188,6369.00, 0.0779
189,5629.00, 0.0776
190,6449.00, 0.0772
191,4596.00, 0.0768
192,5169.00, 0.0764
193,3129.00, 0.0760
194,5579.00, 0.0756
195,4539.00, 0.0753
196,5369.00, 0.0749
197,7359.00, 0.0745
198,5179.00, 0.0741
199,6159.00, 0.0738
200,7359.00, 0.0734
201,6089.00, 0.0730
202,5999.00, 0.0727
203,7919.00, 0.0723
204,6499.00, 0.0719
205,9299.00, 0.0716
206,7619.00, 0.0712
207,8009.00, 0.0709
208,7678.00, 0.0705
209,7059.00, 0.0702
210,8707.00, 0.0698
211,6709.00, 0.0695
212,7039.00, 0.0691
213,6727.00, 0.0688
214,5099.00, 0.0684
215,3219.00, 0.0681
216,7417.00, 0.0677
217,8419.00, 0.0674
218,6239.00, 0.0671
219,4477.00, 0.0667
220,5299.00, 0.0664
221,7699.00, 0.0661
222,6489.00, 0.0657
223,7839.00, 0.0654
224,6946.00, 0.0651
225,8089.00, 0.0647
226,6609.00, 0.0644
227,6539.00, 0.0641
228,5389.00, 0.0638
229,6747.00, 0.0635
230,7839.00, 0.0631
231,7599.00, 0.0628
232,-181.00, 0.0625
233,7149.00, 0.0622
234,8965.00, 0.0619
235,9609.00, 0.0616
236,7179.00, 0.0613
237,7219.00, 0.0610
238,5779.00, 0.0607
239,7089.00, 0.0604
240,7399.00, 0.0601
241,8497.00, 0.0598
242,7829.00, 0.0595
243,5959.00, 0.0592
244,7515.00, 0.0589
245,6929.00, 0.0586
246,3869.00, 0.0583
247,6579.00, 0.0580
248,7389.00, 0.0577
249,7189.00, 0.0574
250,6149.00, 0.0571
251,7979.00, 0.0568
252,8239.00, 0.0566
253,9179.00, 0.0563
254,8399.00, 0.0560
255,6739.00, 0.0557
256,3999.00, 0.0554
257,4089.00, 0.0552
258,59.00, 0.0549
259,5369.00, 0.0546
260,5829.00, 0.0543
261,7759.00, 0.0541
262,9689.00, 0.0538
263,6909.00, 0.0535
264,7929.00, 0.0533
265,8358.00, 0.0530
266,8929.00, 0.0527
267,4189.00, 0.0525
268,7579.00, 0.0522
269,6646.00, 0.0519
270,7039.00, 0.0517
271,8015.00, 0.0514
272,3849.00, 0.0512
273,7399.00, 0.0509
274,6149.00, 0.0506
275,9189.00, 0.0504
276,6389.00, 0.0501
277,8339.00, 0.0499
278,7039.00, 0.0496
279,5969.00, 0.0494
280,399.00, 0.0491
281,5719.00, 0.0489
282,8229.00, 0.0487
283,7688.00, 0.0484
284,7539.00, 0.0482
285,8039.00, 0.0479
286,6429.00, 0.0477
287,8989.00, 0.0475
288,5239.00, 0.0472
289,7769.00, 0.0470
290,7559.00, 0.0467
291,8109.00, 0.0465
292,6309.00, 0.0463
293,8849.00, 0.0460
294,5429.00, 0.0458
295,7099.00, 0.0456
296,9469.00, 0.0454
297,7459.00, 0.0451
298,8579.00, 0.0449
299,5849.00, 0.0447
300,7138.00, 0.0445
301,6116.00, 0.0442
302,6227.00, 0.0440
303,7685.00, 0.0438
304,8139.00, 0.0436
305,5479.00, 0.0434
306,6979.00, 0.0431
307,527.00, 0.0429
308,3959.00, 0.0427
309,5809.00, 0.0425
310,3019.00, 0.0423
311,5748.00, 0.0421
312,4909.00, 0.0419
313,4147.00, 0.0417
314,2019.00, 0.0414
315,8099.00, 0.0412
316,6779.00, 0.0410
317,7039.00, 0.0408
318,7889.00, 0.0406
319,6239.00, 0.0404
320,8329.00, 0.0402
321,2429.00, 0.0400
322,8889.00, 0.0398
323,8179.00, 0.0396
324,6799.00, 0.0394
325,8199.00, 0.0392
326,7218.00, 0.0390
327,3085.00, 0.0388
328,6489.00, 0.0386
329,3099.00, 0.0384
330,8369.00, 0.0383
331,6339.00, 0.0381
332,6639.00, 0.0379
333,1789.00, 0.0377
334,6239.00, 0.0375
335,7597.00, 0.0373
336,8058.00, 0.0371
337,8426.00, 0.0369
338,7958.00, 0.0367
339,6539.00, 0.0366
340,9019.00, 0.0364
341,9388.00, 0.0362
342,7289.00, 0.0360
343,7899.00, 0.0358
344,8739.00, 0.0357
345,6979.00, 0.0355
346,6099.00, 0.0353
347,1829.00, 0.0351
348,5166.00, 0.0350
349,2599.00, 0.0348
350,7279.00, 0.0346
351,7259.00, 0.0344
352,8007.00, 0.0343
353,7549.00, 0.0341
354,7477.00, 0.0339
355,6639.00, 0.0337
356,5739.00, 0.0336
357,5788.00, 0.0334
358,4199.00, 0.0332
359,6139.00, 0.0331
360,7369.00, 0.0329
361,6889.00, 0.0327
362,9459.00, 0.0326
363,9819.00, 0.0324
364,8509.00, 0.0323
365,8859.00, 0.0321
366,6049.00, 0.0319
367,8845.00, 0.0318
368,7139.00, 0.0316
369,4989.00, 0.0315
370,8899.00, 0.0313
371,5949.00, 0.0311
372,8189.00, 0.0310
373,6969.00, 0.0308
374,6309.00, 0.0307
375,7859.00, 0.0305
376,6779.00, 0.0304
377,7949.00, 0.0302
378,8895.00, 0.0301
379,6789.00, 0.0299
380,4669.00, 0.0298
381,7129.00, 0.0296
382,7919.00, 0.0295
383,6517.00, 0.0293
384,4909.00, 0.0292
385,6258.00, 0.0290
386,7826.00, 0.0289
387,6519.00, 0.0287
388,7149.00, 0.0286
389,7617.00, 0.0285
390,8099.00, 0.0283
391,9199.00, 0.0282
392,8738.00, 0.0280
393,8719.00, 0.0279
394,6579.00, 0.0278
395,7349.00, 0.0276
396,7749.00, 0.0275
397,8539.00, 0.0273
398,8279.00, 0.0272
399,8359.00, 0.0271
400,9199.00, 0.0269
401,9038.00, 0.0268
402,7909.00, 0.0267
403,8709.00, 0.0265
404,8659.00, 0.0264
405,7079.00, 0.0263
406,6359.00, 0.0261
407,10109.00, 0.0260
408,7589.00, 0.0259
409,9019.00, 0.0257
410,8379.00, 0.0256
411,5279.00, 0.0255
412,9429.00, 0.0254
413,8519.00, 0.0252
414,6369.00, 0.0251
415,6919.00, 0.0250
416,8109.00, 0.0249
417,9619.00, 0.0247
418,8589.00, 0.0246
419,9735.00, 0.0245
420,4449.00, 0.0244
421,5026.00, 0.0242
422,5589.00, 0.0241
423,6929.00, 0.0240
424,9029.00, 0.0239
425,10019.00, 0.0238
426,1399.00, 0.0236
427,9549.00, 0.0235
428,8899.00, 0.0234
429,7228.00, 0.0233
430,7839.00, 0.0232
431,4249.00, 0.0231
432,3769.00, 0.0229
433,8279.00, 0.0228
434,6239.00, 0.0227
435,7219.00, 0.0226
436,7929.00, 0.0225
437,2269.00, 0.0224
438,7559.00, 0.0223
439,7769.00, 0.0221
440,8519.00, 0.0220
441,7379.00, 0.0219
442,1979.00, 0.0218
443,5099.00, 0.0217
444,6209.00, 0.0216
445,8349.00, 0.0215
446,7089.00, 0.0214
447,7519.00, 0.0213
448,4819.00, 0.0212
449,8899.00, 0.0211
450,5939.00, 0.0210
451,2139.00, 0.0209
452,5269.00, 0.0208
453,8796.00, 0.0206
454,7559.00, 0.0205
455,8597.00, 0.0204
456,8409.00, 0.0203
457,6157.00, 0.0202
458,7649.00, 0.0201
459,9939.00, 0.0200
460,8949.00, 0.0199
461,7329.00, 0.0198
462,6259.00, 0.0197
463,9167.00, 0.0196
464,7658.00, 0.0195
465,10025.00, 0.0194
466,8679.00, 0.0193
467,4917.00, 0.0192
468,8429.00, 0.0192
469,8099.00, 0.0191
470,6726.00, 0.0190
471,8708.00, 0.0189
472,8149.00, 0.0188
473,9799.00, 0.0187
474,9339.00, 0.0186
475,3725.00, 0.0185
476,8048.00, 0.0184
477,5389.00, 0.0183
478,8219.00, 0.0182
479,8389.00, 0.0181
480,7019.00, 0.0180
481,8419.00, 0.0179
482,6069.00, 0.0179
483,789.00, 0.0178
484,6297.00, 0.0177
485,8239.00, 0.0176
486,7399.00, 0.0175
487,5119.00, 0.0174
488,8059.00, 0.0173
489,6669.00, 0.0172
490,10499.00, 0.0172
491,1259.00, 0.0171
492,10359.00, 0.0170
493,6988.00, 0.0169
494,666.00, 0.0168
495,8979.00, 0.0167
496,8429.00, 0.0166
497,9649.00, 0.0166
498,6886.00, 0.0165
499,6839.00, 0.0164
500,6995.00, 0.0163
501,7329.00, 0.0162
502,6919.00, 0.0162
503,8389.00, 0.0161
504,6029.00, 0.0160
505,5889.00, 0.0159
506,7759.00, 0.0158
507,4499.00, 0.0158
508,6669.00, 0.0157
509,2519.00, 0.0156
510,1889.00, 0.0155
511,6889.00, 0.0154
512,6409.00, 0.0154
513,6618.00, 0.0153
514,5249.00, 0.0152
515,3839.00, 0.0151
516,7599.00, 0.0151
517,6489.00, 0.0150
518,8489.00, 0.0149
519,5349.00, 0.0148
520,7517.00, 0.0148
521,9049.00, 0.0147
522,7699.00, 0.0146
523,8709.00, 0.0145
524,9079.00, 0.0145
525,9569.00, 0.0144
526,7679.00, 0.0143
527,9069.00, 0.0142
528,7997.00, 0.0142
529,5587.00, 0.0141
530,7879.00, 0.0140
531,6889.00, 0.0140
532,8019.00, 0.0139
533,7577.00, 0.0138
534,10798.00, 0.0138
535,2299.00, 0.0137
536,7096.00, 0.0136
537,6769.00, 0.0136
538,1599.00, 0.0135
539,8127.00, 0.0134
540,9319.00, 0.0134
541,9028.00, 0.0133
542,8148.00, 0.0132
543,7098.00, 0.0132
544,6529.00, 0.0131
545,10229.00, 0.0130
546,6469.00, 0.0130
547,7059.00, 0.0129
548,6419.00, 0.0128
549,8099.00, 0.0128
550,6569.00, 0.0127
551,7839.00, 0.0126
552,8517.00, 0.0126
553,6029.00, 0.0125
554,5879.00, 0.0124
555,7349.00, 0.0124
556,6759.00, 0.0123
557,-571.00, 0.0123
558,5729.00, 0.0122
559,7489.00, 0.0121
560,4069.00, 0.0121
561,3967.00, 0.0120
562,1819.00, 0.0120
563,4448.00, 0.0119
564,8279.00, 0.0118
565,8955.00, 0.0118
566,4689.00, 0.0117
567,9169.00, 0.0117
568,4556.00, 0.0116
569,6209.00, 0.0115
570,1109.00, 0.0115
571,10257.00, 0.0114
572,7725.00, 0.0114
573,7809.00, 0.0113
574,8847.00, 0.0113
575,8709.00, 0.0112
576,5149.00, 0.0111
577,8697.00, 0.0111
578,8029.00, 0.0110
579,-251.00, 0.0110
580,7829.00, 0.0109
581,5857.00, 0.0109
582,3529.00, 0.0108
583,4808.00, 0.0108
584,5719.00, 0.0107
585,9089.00, 0.0107
586,-451.00, 0.0106
587,9388.00, 0.0105
588,6079.00, 0.0105
589,6519.00, 0.0104
590,7869.00, 0.0104
591,3779.00, 0.0103
592,9828.00, 0.0103
593,7209.00, 0.0102
594,8189.00, 0.0102
