num_ugvs,ugv_range,maze_loop_percentage,tasks_completed,distance_traveled,energy_consumed,avg_task_completion_time
3, 1500, 50, 355, 120200.0, 120200.0, 140.5367231638418
3, 2000, 50, 393, 122400.0, 122400.0, 127.16836734693878
3, 2500, 50, 402, 118900.0, 118900.0, 124.3142144638404
3, 3000, 50, 412, 121700.0, 121700.0, 121.16788321167883
3, 3500, 50, 408, 117750.0, 117750.0, 122.48157248157248
3, 4000, 50, 404, 118950.0, 118950.0, 123.44913151364764
3, 4500, 50, 414, 119100.0, 119100.0, 120.58111380145279
3, 5000, 50, 409, 117700.0, 117700.0, 122.05882352941177
3, 1500, 60, 242, 82250.0, 82250.0, 204.77178423236515
3, 2000, 60, 378, 120400.0, 120400.0, 130.90185676392574
3, 2500, 60, 390, 115850.0, 115850.0, 126.86375321336762
3, 3000, 60, 390, 115950.0, 115950.0, 126.86375321336762
3, 3500, 60, 404, 115800.0, 115800.0, 122.45657568238214
3, 4000, 60, 410, 117500.0, 117500.0, 120.6601466992665
3, 4500, 60, 414, 117550.0, 117550.0, 119.37046004842615
3, 5000, 60, 415, 115450.0, 115450.0, 118.84057971014492
3, 1500, 70, 314, 96500.0, 96500.0, 157.82747603833866
3, 2000, 70, 426, 120500.0, 120500.0, 116.3529411764706
3, 2500, 70, 431, 119550.0, 119550.0, 115.23255813953489
3, 3000, 70, 446, 118850.0, 118850.0, 110.89887640449439
3, 3500, 70, 453, 118600.0, 118600.0, 109.29203539823008
3, 4000, 70, 435, 113500.0, 113500.0, 113.70967741935483
3, 4500, 70, 395, 101900.0, 101900.0, 125.50761421319797
3, 5000, 70, 456, 118300.0, 118300.0, 108.35164835164835
3, 1500, 80, 403, 117550.0, 117550.0, 124.0049751243781
3, 2000, 80, 437, 120350.0, 120350.0, 114.3348623853211
3, 2500, 80, 449, 119750.0, 119750.0, 111.38392857142857
3, 3000, 80, 338, 84050.0, 84050.0, 147.92284866468842
3, 3500, 80, 474, 119450.0, 119450.0, 105.39112050739958
3, 4000, 80, 476, 120500.0, 120500.0, 104.84210526315789
3, 4500, 80, 484, 121200.0, 121200.0, 103.31262939958592
3, 5000, 80, 466, 115800.0, 115800.0, 107.31182795698925
3, 1500, 90, 419, 121450.0, 121450.0, 118.42105263157895
3, 2000, 90, 431, 122200.0, 122200.0, 115.23255813953489
3, 2500, 90, 445, 120400.0, 120400.0, 110.92342342342343
3, 3000, 90, 444, 116300.0, 116300.0, 112.07674943566592
3, 3500, 90, 446, 116250.0, 116250.0, 111.57303370786516
3, 4000, 90, 460, 118000.0, 118000.0, 108.16993464052288
