num_ugvs,ugv_range,maze_loop_percentage,tasks_completed,distance_traveled,energy_consumed,avg_task_completion_time
3, 1500, 50, 403, 113750.0, 113750.0, 123.75621890547264
3, 2000, 50, 389, 109050.0, 109050.0, 128.35051546391753
3, 2500, 50, 423, 116350.0, 116350.0, 118.12796208530806
3, 3000, 50, 419, 115250.0, 115250.0, 119.25837320574162
3, 3500, 50, 419, 115250.0, 115250.0, 119.25837320574162
3, 4000, 50, 430, 118700.0, 118700.0, 116.2004662004662
3, 4500, 50, 420, 115150.0, 115150.0, 118.97374701670644
3, 5000, 50, 424, 116750.0, 116750.0, 117.84869976359339
3, 1500, 60, 403, 110900.0, 110900.0, 122.88557213930348
3, 2000, 60, 424, 114850.0, 114850.0, 116.78486997635933
3, 2500, 60, 380, 100450.0, 100450.0, 130.34300791556728
3, 3000, 60, 429, 115700.0, 115700.0, 115.30373831775701
3, 3500, 60, 429, 114850.0, 114850.0, 115.42056074766356
3, 4000, 60, 430, 114850.0, 114850.0, 115.26806526806527
3, 4500, 60, 430, 115000.0, 115000.0, 115.26806526806527
3, 5000, 60, 434, 115800.0, 115800.0, 114.08775981524249
3, 1500, 70, 445, 111800.0, 111800.0, 111.48648648648648
3, 2000, 70, 462, 115100.0, 115100.0, 107.59219088937093
3, 2500, 70, 481, 119000.0, 119000.0, 103.22916666666667
3, 3000, 70, 486, 119800.0, 119800.0, 102.16494845360825
3, 3500, 70, 490, 120400.0, 120400.0, 101.32924335378323
3, 4000, 70, 480, 117700.0, 117700.0, 103.54906054279749
3, 4500, 70, 389, 93750.0, 93750.0, 127.70618556701031
3, 5000, 70, 446, 108950.0, 108950.0, 111.46067415730337
3, 1500, 80, 464, 112350.0, 112350.0, 107.45140388768898
3, 2000, 80, 474, 113700.0, 113700.0, 105.4968287526427
3, 2500, 80, 377, 87600.0, 87600.0, 132.7127659574468
3, 3000, 80, 490, 116750.0, 116750.0, 102.04498977505112
3, 3500, 80, 500, 119450.0, 119450.0, 100.0
3, 4000, 80, 368, 84850.0, 84850.0, 135.9673024523161
3, 4500, 80, 494, 117300.0, 117300.0, 101.21703853955376
3, 5000, 80, 494, 116950.0, 116950.0, 101.21703853955376
3, 1500, 90, 454, 114000.0, 114000.0, 109.16114790286976
3, 2000, 90, 464, 115000.0, 115000.0, 106.58747300215983
3, 2500, 90, 470, 116100.0, 116100.0, 105.22388059701493
3, 3000, 90, 470, 115450.0, 115450.0, 105.22388059701493
3, 3500, 90, 466, 114800.0, 114800.0, 106.34408602150538
3, 4000, 90, 474, 116850.0, 116850.0, 104.43974630021141
3, 4500, 90, 468, 114650.0, 114650.0, 105.6745182012848
3, 5000, 90, 468, 114800.0, 114800.0, 105.56745182012848
4, 1500, 50, 549, 130250.0, 130250.0, 90.78467153284672
4, 2000, 50, 627, 146900.0, 146900.0, 79.55271565495208
4, 2500, 50, 555, 129950.0, 129950.0, 89.89169675090253
4, 3000, 50, 669, 156200.0, 156200.0, 74.47604790419162
4, 3500, 50, 675, 156250.0, 156250.0, 73.88724035608308
4, 4000, 50, 680, 158350.0, 158350.0, 73.34315169366715
4, 4500, 50, 676, 156650.0, 156650.0, 73.77777777777777
4, 5000, 50, 672, 155900.0, 155900.0, 74.21758569299553
4, 1500, 60, 674, 149550.0, 149550.0, 73.32838038632987
4, 2000, 60, 708, 155800.0, 155800.0, 69.94342291371994
4, 2500, 60, 698, 153100.0, 153100.0, 70.94691535150646
4, 3000, 60, 701, 154000.0, 154000.0, 70.64285714285714
4, 3500, 60, 713, 155900.0, 155900.0, 69.31179775280899
4, 4000, 60, 713, 155400.0, 155400.0, 69.45224719101124
4, 4500, 60, 714, 155250.0, 155250.0, 69.35483870967742
4, 5000, 60, 713, 155350.0, 155350.0, 69.45224719101124
4, 1500, 70, 695, 151450.0, 151450.0, 71.61383285302594
4, 2000, 70, 572, 124650.0, 124650.0, 86.86514886164623
4, 2500, 70, 679, 146100.0, 146100.0, 73.30383480825958
4, 3000, 70, 729, 155900.0, 155900.0, 68.26923076923077
