num_ugvs,ugv_range,maze_loop_percentage,tasks_completed,distance_traveled,energy_consumed,avg_task_completion_time
3, 1500, 50, 343, 119200.0, 119200.0, 145.02923976608187
3, 2000, 50, 383, 122450.0, 122450.0, 130.4973821989529
3, 2500, 50, 275, 82700.0, 82700.0, 181.93430656934308
3, 3000, 50, 402, 120750.0, 120750.0, 124.18952618453865
3, 3500, 50, 386, 114200.0, 114200.0, 128.83116883116884
3, 4000, 50, 401, 119850.0, 119850.0, 124.125
3, 4500, 50, 407, 119300.0, 119300.0, 122.04433497536945
3, 5000, 50, 409, 118700.0, 118700.0, 122.05882352941177
3, 1500, 60, 242, 83350.0, 83350.0, 204.77178423236515
3, 2000, 60, 375, 119700.0, 119700.0, 131.68449197860963
3, 2500, 60, 388, 115400.0, 115400.0, 127.51937984496124
3, 3000, 60, 381, 114800.0, 114800.0, 129.8684210526316
3, 3500, 60, 402, 115350.0, 115350.0, 123.06733167082294
3, 4000, 60, 396, 115000.0, 115000.0, 124.9367088607595
3, 4500, 60, 420, 119550.0, 119550.0, 117.66109785202865
3, 5000, 60, 417, 117700.0, 117700.0, 118.38942307692308
3, 1500, 70, 314, 96900.0, 96900.0, 157.82747603833866
3, 2000, 70, 426, 120500.0, 120500.0, 116.3529411764706
3, 2500, 70, 424, 119400.0, 119400.0, 117.13947990543736
3, 3000, 70, 444, 120450.0, 120450.0, 111.39954853273137
3, 3500, 70, 448, 117650.0, 117650.0, 110.51454138702461
3, 4000, 70, 440, 114700.0, 114700.0, 112.41457858769931
3, 4500, 70, 379, 98350.0, 98350.0, 130.82010582010582
3, 5000, 70, 464, 119700.0, 119700.0, 106.80345572354211
3, 1500, 80, 401, 117700.0, 117700.0, 124.5
3, 2000, 80, 437, 120550.0, 120550.0, 114.3348623853211
3, 2500, 80, 449, 119750.0, 119750.0, 111.38392857142857
3, 3000, 80, 331, 83500.0, 83500.0, 150.9090909090909
3, 3500, 80, 477, 121200.0, 121200.0, 104.6218487394958
3, 4000, 80, 472, 119400.0, 119400.0, 105.83864118895966
3, 4500, 80, 483, 121900.0, 121900.0, 103.52697095435684
3, 5000, 80, 466, 115900.0, 115900.0, 107.31182795698925
3, 1500, 90, 404, 119400.0, 119400.0, 123.20099255583126
3, 2000, 90, 428, 121850.0, 121850.0, 116.04215456674473
3, 2500, 90, 442, 120250.0, 120250.0, 112.58503401360544
3, 3000, 90, 444, 117000.0, 117000.0, 112.07674943566592
3, 3500, 90, 445, 116900.0, 116900.0, 110.6981981981982
3, 4000, 90, 456, 117900.0, 117900.0, 108.13186813186813
3, 4500, 90, 455, 118050.0, 118050.0, 109.03083700440529
3, 5000, 90, 454, 116450.0, 116450.0, 109.60264900662251
4, 1500, 50, 528, 159900.0, 159900.0, 94.49715370018976
4, 2000, 50, 577, 158250.0, 158250.0, 86.45833333333333
4, 2500, 50, 590, 156000.0, 156000.0, 84.55008488964346
4, 3000, 50, 534, 137000.0, 137000.0, 93.24577861163228
4, 3500, 50, 424, 106250.0, 106250.0, 117.61229314420804
4, 4000, 50, 640, 161200.0, 161200.0, 77.69953051643192
4, 4500, 50, 499, 122000.0, 122000.0, 100.0
4, 5000, 50, 645, 156500.0, 156500.0, 77.32919254658385
4, 1500, 60, 432, 126550.0, 126550.0, 114.61716937354988
4, 2000, 60, 592, 157750.0, 157750.0, 83.50253807106598
4, 2500, 60, 630, 158600.0, 158600.0, 78.45786963434023
4, 3000, 60, 664, 161000.0, 161000.0, 74.50980392156863
4, 3500, 60, 648, 155950.0, 155950.0, 76.35239567233384
4, 4000, 60, 674, 158550.0, 158550.0, 73.25408618127786
4, 4500, 60, 704, 162000.0, 162000.0, 70.19914651493599
4, 5000, 60, 676, 156900.0, 156900.0, 73.18518518518519
