Episode, Total Reward, Epsilon
1,-14381.00, 0.1990
2,-12226.00, 0.1980
3,-12227.00, 0.1970
4,-12087.00, 0.1960
5,-12521.00, 0.1950
6,-14521.00, 0.1941
7,-12706.00, 0.1931
8,-12900.00, 0.1921
9,-11018.00, 0.1912
10,-9851.00, 0.1902
11,-8376.00, 0.1893
12,-7591.00, 0.1883
13,-7130.00, 0.1874
14,-10351.00, 0.1864
15,-12844.00, 0.1855
16,-7733.00, 0.1846
17,-11526.00, 0.1837
18,-9086.00, 0.1827
19,-8217.00, 0.1818
20,-7676.00, 0.1809
21,-8417.00, 0.1800
22,-9274.00, 0.1791
23,-11841.00, 0.1782
24,-10006.00, 0.1773
25,-8706.00, 0.1764
26,-8341.00, 0.1756
27,-6969.00, 0.1747
28,-4143.00, 0.1738
29,-7416.00, 0.1729
30,-7116.00, 0.1721
31,-5555.00, 0.1712
32,-7286.00, 0.1704
33,-2339.00, 0.1695
34,-1797.00, 0.1687
35,-9036.00, 0.1678
36,-550.00, 0.1670
37,-8453.00, 0.1661
38,-7441.00, 0.1653
39,-5489.00, 0.1645
40,-2972.00, 0.1637
41,-5961.00, 0.1628
42,-3216.00, 0.1620
43,-2971.00, 0.1612
44,-4777.00, 0.1604
45,-274.00, 0.1596
46,-2691.00, 0.1588
47,-6252.00, 0.1580
48,-3800.00, 0.1572
49,-3763.00, 0.1564
50,-3876.00, 0.1557
51,-3479.00, 0.1549
52,1358.00, 0.1541
53,-4680.00, 0.1533
54,-6071.00, 0.1526
55,-3206.00, 0.1518
56,-1996.00, 0.1511
57,-5271.00, 0.1503
58,-6891.00, 0.1495
59,-4091.00, 0.1488
60,-589.00, 0.1481
61,384.00, 0.1473
62,-6452.00, 0.1466
63,-4866.00, 0.1458
64,-5536.00, 0.1451
65,-5852.00, 0.1444
66,-4026.00, 0.1437
67,-969.00, 0.1429
68,-1401.00, 0.1422
69,-1739.00, 0.1415
70,-3686.00, 0.1408
71,-1186.00, 0.1401
72,-1244.00, 0.1394
73,-1546.00, 0.1387
74,-2640.00, 0.1380
75,-1436.00, 0.1373
76,-4426.00, 0.1366
77,-4085.00, 0.1360
78,-4521.00, 0.1353
79,-5922.00, 0.1346
80,-3970.00, 0.1339
81,914.00, 0.1333
82,-1951.00, 0.1326
83,-6629.00, 0.1319
84,-273.00, 0.1313
85,-3020.00, 0.1306
86,-83.00, 0.1300
87,-2595.00, 0.1293
88,-3136.00, 0.1287
89,-1203.00, 0.1280
90,-4093.00, 0.1274
91,849.00, 0.1267
92,-1548.00, 0.1261
93,-7296.00, 0.1255
94,-1.00, 0.1249
95,-3411.00, 0.1242
96,-2046.00, 0.1236
97,-5037.00, 0.1230
98,311.00, 0.1224
99,-3290.00, 0.1218
100,-4356.00, 0.1212
101,-2826.00, 0.1205
102,1769.00, 0.1199
