Episode, Total Reward, Epsilon
1,-6356.00, 0.1990
2,-5841.00, 0.1980
3,-4086.00, 0.1970
4,-4448.00, 0.1960
5,-4986.00, 0.1950
6,-4449.00, 0.1941
7,-6121.00, 0.1931
8,-4863.00, 0.1921
9,-5391.00, 0.1912
10,-6260.00, 0.1902
11,-5731.00, 0.1893
12,-5096.00, 0.1883
13,-5390.00, 0.1874
14,-4343.00, 0.1864
15,-5381.00, 0.1855
16,-5616.00, 0.1846
17,-4846.00, 0.1837
18,-5001.00, 0.1827
19,-4384.00, 0.1818
20,-4411.00, 0.1809
21,-4508.00, 0.1800
22,-6833.00, 0.1791
23,-4859.00, 0.1782
24,-4713.00, 0.1773
25,-3846.00, 0.1764
26,-3956.00, 0.1756
27,-4018.00, 0.1747
28,-3196.00, 0.1738
29,-4856.00, 0.1729
30,-4549.00, 0.1721
31,-3770.00, 0.1712
32,-3351.00, 0.1704
33,-4453.00, 0.1695
34,-6306.00, 0.1687
35,-3712.00, 0.1678
36,-5571.00, 0.1670
37,-3431.00, 0.1661
38,-4896.00, 0.1653
39,-4671.00, 0.1645
40,-4111.00, 0.1637
41,-4044.00, 0.1628
42,-3242.00, 0.1620
43,-3280.00, 0.1612
44,-3319.00, 0.1604
45,-2894.00, 0.1596
46,-3991.00, 0.1588
47,-4443.00, 0.1580
48,-4421.00, 0.1572
49,-4027.00, 0.1564
50,-5136.00, 0.1557
51,-2766.00, 0.1549
52,-5500.00, 0.1541
53,-5701.00, 0.1533
54,-4395.00, 0.1526
55,-4861.00, 0.1518
56,-4065.00, 0.1511
57,-4291.00, 0.1503
58,-3275.00, 0.1495
59,-4490.00, 0.1488
60,-3836.00, 0.1481
61,-5073.00, 0.1473
62,-4906.00, 0.1466
63,-5466.00, 0.1458
64,-4526.00, 0.1451
65,-4721.00, 0.1444
66,-4621.00, 0.1437
67,-4856.00, 0.1429
68,-3546.00, 0.1422
69,-4061.00, 0.1415
70,-3621.00, 0.1408
71,-4184.00, 0.1401
72,-3741.00, 0.1394
73,-4401.00, 0.1387
74,-3120.00, 0.1380
75,-4667.00, 0.1373
76,-2936.00, 0.1366
77,-5081.00, 0.1360
78,-5026.00, 0.1353
79,-3186.00, 0.1346
80,-3886.00, 0.1339
81,-2939.00, 0.1333
82,-3501.00, 0.1326
83,-3467.00, 0.1319
84,-3200.00, 0.1313
85,-4670.00, 0.1306
86,-3962.00, 0.1300
87,-2873.00, 0.1293
88,-3062.00, 0.1287
89,-4154.00, 0.1280
90,-3316.00, 0.1274
91,-3071.00, 0.1267
92,-4341.00, 0.1261
93,-2920.00, 0.1255
94,-4152.00, 0.1249
95,-2821.00, 0.1242
96,-3931.00, 0.1236
97,-2536.00, 0.1230
98,-3345.00, 0.1224
99,-3706.00, 0.1218
100,-3556.00, 0.1212
101,-3368.00, 0.1205
102,-3601.00, 0.1199
103,-4246.00, 0.1193
104,-4811.00, 0.1187
105,-1853.00, 0.1182
106,-2948.00, 0.1176
107,-4292.00, 0.1170
108,-3426.00, 0.1164
109,-4554.00, 0.1158
110,-3616.00, 0.1152
111,-2638.00, 0.1147
112,-4306.00, 0.1141
113,-2276.00, 0.1135
114,-3201.00, 0.1129
115,-3266.00, 0.1124
116,-3210.00, 0.1118
117,-3181.00, 0.1113
118,-3547.00, 0.1107
119,-3067.00, 0.1101
120,-3252.00, 0.1096
121,-2903.00, 0.1090
122,-2154.00, 0.1085
123,-3259.00, 0.1080
124,-4785.00, 0.1074
125,-4196.00, 0.1069
126,-3042.00, 0.1064
127,-2571.00, 0.1058
128,-4251.00, 0.1053
129,-3416.00, 0.1048
130,-3400.00, 0.1042
131,-3179.00, 0.1037
132,-4151.00, 0.1032
133,-2981.00, 0.1027
134,-4241.00, 0.1022
135,-2338.00, 0.1017
136,-3126.00, 0.1012
137,-2776.00, 0.1006
138,-3286.00, 0.1001
139,-3263.00, 0.0996
140,-4001.00, 0.0991
141,-3253.00, 0.0986
142,-4107.00, 0.0982
143,-3524.00, 0.0977
144,-4388.00, 0.0972
145,-3232.00, 0.0967
146,-1966.00, 0.0962
147,-2741.00, 0.0957
148,-2226.00, 0.0952
149,-2919.00, 0.0948
150,-3333.00, 0.0943
151,-3591.00, 0.0938
152,-2960.00, 0.0934
153,-2487.00, 0.0929
154,-3531.00, 0.0924
155,-1946.00, 0.0920
156,-2861.00, 0.0915
157,-2209.00, 0.0910
158,-2240.00, 0.0906
159,-4408.00, 0.0901
160,-4235.00, 0.0897
161,-2238.00, 0.0892
162,-3690.00, 0.0888
163,-3751.00, 0.0883
164,-2321.00, 0.0879
165,-3473.00, 0.0875
166,-3436.00, 0.0870
167,-2664.00, 0.0866
168,-2051.00, 0.0862
169,-3907.00, 0.0857
170,-4907.00, 0.0853
171,-3198.00, 0.0849
172,-2656.00, 0.0845
173,-3285.00, 0.0840
174,-3271.00, 0.0836
175,-3600.00, 0.0832
176,-3097.00, 0.0828
177,-3055.00, 0.0824
178,-3091.00, 0.0819
179,-2961.00, 0.0815
180,-3741.00, 0.0811
181,-4323.00, 0.0807
182,-4587.00, 0.0803
183,-3380.00, 0.0799
184,-2005.00, 0.0795
185,-2116.00, 0.0791
186,-3239.00, 0.0787
187,-3416.00, 0.0783
188,-2601.00, 0.0779
189,-1897.00, 0.0776
