Episode, Total Reward, Epsilon
1,-19011.00, 0.1990
2,-37221.00, 0.1980
3,-6021.00, 0.1970
4,-24786.00, 0.1960
5,-12531.00, 0.1950
6,-31586.00, 0.1941
7,-15406.00, 0.1931
8,-14346.00, 0.1921
9,-12951.00, 0.1912
10,-20911.00, 0.1902
11,-44596.00, 0.1893
12,-33106.00, 0.1883
13,-11086.00, 0.1874
14,-27746.00, 0.1864
15,-24931.00, 0.1855
16,-14981.00, 0.1846
17,-10951.00, 0.1837
18,-27116.00, 0.1827
19,-8121.00, 0.1818
20,-7021.00, 0.1809
21,-17451.00, 0.1800
22,-18601.00, 0.1791
23,-14991.00, 0.1782
24,-10206.00, 0.1773
25,-8596.00, 0.1764
26,-12096.00, 0.1756
27,-16776.00, 0.1747
28,-7941.00, 0.1738
29,-9891.00, 0.1729
30,-20786.00, 0.1721
31,-27766.00, 0.1712
32,-14891.00, 0.1704
33,-21506.00, 0.1695
34,-15206.00, 0.1687
35,-9346.00, 0.1678
36,-29446.00, 0.1670
37,-23766.00, 0.1661
38,-4781.00, 0.1653
39,-21251.00, 0.1645
40,-12841.00, 0.1637
41,-14341.00, 0.1628
42,-18911.00, 0.1620
43,-7551.00, 0.1612
44,-15906.00, 0.1604
45,-9111.00, 0.1596
46,-15451.00, 0.1588
47,-46071.00, 0.1580
48,-11406.00, 0.1572
49,-18861.00, 0.1564
50,-16906.00, 0.1557
51,-34641.00, 0.1549
52,-15801.00, 0.1541
53,-9256.00, 0.1533
54,-11521.00, 0.1526
55,-14616.00, 0.1518
56,-14386.00, 0.1511
57,-19051.00, 0.1503
58,-22376.00, 0.1495
59,-11651.00, 0.1488
60,-30116.00, 0.1481
61,-14111.00, 0.1473
62,-18536.00, 0.1466
63,-10016.00, 0.1458
64,-15636.00, 0.1451
65,-13456.00, 0.1444
66,-13751.00, 0.1437
67,-22671.00, 0.1429
68,-32476.00, 0.1422
69,-8746.00, 0.1415
70,-12341.00, 0.1408
71,-8741.00, 0.1401
72,-8751.00, 0.1394
73,-6971.00, 0.1387
74,-2728.00, 0.1380
75,-6721.00, 0.1373
76,-15316.00, 0.1366
77,-4596.00, 0.1360
78,-9451.00, 0.1353
79,-26841.00, 0.1346
80,-9476.00, 0.1339
81,-21976.00, 0.1333
82,-11451.00, 0.1326
83,-8836.00, 0.1319
84,-7051.00, 0.1313
85,-7586.00, 0.1306
86,-8231.00, 0.1300
87,-6306.00, 0.1293
88,-24081.00, 0.1287
89,-10641.00, 0.1280
90,-16076.00, 0.1274
91,-20006.00, 0.1267
92,-15266.00, 0.1261
93,-17641.00, 0.1255
94,-16941.00, 0.1249
95,-16016.00, 0.1242
96,-5726.00, 0.1236
97,-15081.00, 0.1230
98,-42891.00, 0.1224
99,-13241.00, 0.1218
100,-9781.00, 0.1212
101,-12516.00, 0.1205
102,-10341.00, 0.1199
103,-5561.00, 0.1193
104,-5121.00, 0.1187
105,-29176.00, 0.1182
106,-18796.00, 0.1176
107,-6661.00, 0.1170
108,-15961.00, 0.1164
109,-12256.00, 0.1158
110,-9046.00, 0.1152
111,-13931.00, 0.1147
112,-4396.00, 0.1141
113,-15821.00, 0.1135
114,-7376.00, 0.1129
115,-20476.00, 0.1124
116,-25351.00, 0.1118
117,-28126.00, 0.1113
118,-24076.00, 0.1107
119,-26556.00, 0.1101
120,-26891.00, 0.1096
121,-18206.00, 0.1090
122,-7196.00, 0.1085
123,-8436.00, 0.1080
124,-5386.00, 0.1074
125,-10101.00, 0.1069
126,-8371.00, 0.1064
127,-13296.00, 0.1058
128,-8736.00, 0.1053
129,-9956.00, 0.1048
130,-5111.00, 0.1042
131,-9731.00, 0.1037
132,-1676.00, 0.1032
133,-4526.00, 0.1027
134,-7971.00, 0.1022
135,-15806.00, 0.1017
136,-14836.00, 0.1012
137,-15281.00, 0.1006
138,-14996.00, 0.1001
139,-10296.00, 0.0996
140,-5126.00, 0.0991
141,-9806.00, 0.0986
142,-7126.00, 0.0982
143,-12486.00, 0.0977
144,-11601.00, 0.0972
145,-13581.00, 0.0967
146,-8776.00, 0.0962
147,-8786.00, 0.0957
148,-10776.00, 0.0952
149,-8351.00, 0.0948
150,-6081.00, 0.0943
151,-8376.00, 0.0938
152,-1757.00, 0.0934
153,-4461.00, 0.0929
154,-5981.00, 0.0924
155,-5906.00, 0.0920
156,-7376.00, 0.0915
157,-5781.00, 0.0910
158,-6726.00, 0.0906
159,-10941.00, 0.0901
160,-3031.00, 0.0897
161,-9551.00, 0.0892
162,-11741.00, 0.0888
163,-6626.00, 0.0883
164,-11621.00, 0.0879
165,-15766.00, 0.0875
166,-12521.00, 0.0870
167,-8101.00, 0.0866
168,-5526.00, 0.0862
169,-6021.00, 0.0857
170,-10361.00, 0.0853
171,-5986.00, 0.0849
172,-4501.00, 0.0845
173,-8581.00, 0.0840
174,-13161.00, 0.0836
175,-19831.00, 0.0832
176,-27716.00, 0.0828
177,-17831.00, 0.0824
178,-10506.00, 0.0819
179,-2311.00, 0.0815
180,-9636.00, 0.0811
181,-6286.00, 0.0807
182,-16881.00, 0.0803
