Episode, Total Reward, Epsilon
1,-15655.00, 0.1998
2,-14275.00, 0.1996
3,-9750.00, 0.1994
4,-6490.00, 0.1992
5,-12085.00, 0.1990
6,-10555.00, 0.1988
7,-12950.00, 0.1986
8,-7165.00, 0.1984
9,-3925.00, 0.1982
10,-2370.00, 0.1980
11,-5445.00, 0.1978
12,-5585.00, 0.1976
13,-9225.00, 0.1974
14,-2750.00, 0.1972
15,-1345.00, 0.1970
16,-2840.00, 0.1968
17,60.00, 0.1966
18,2220.00, 0.1964
19,4600.00, 0.1962
20,-40.00, 0.1960
21,-4200.00, 0.1958
22,-3130.00, 0.1956
23,2140.00, 0.1955
24,-8180.00, 0.1953
25,1670.00, 0.1951
26,2535.00, 0.1949
27,815.00, 0.1947
28,1300.00, 0.1945
29,3945.00, 0.1943
30,4960.00, 0.1941
31,4225.00, 0.1939
32,2975.00, 0.1937
33,6585.00, 0.1935
34,3025.00, 0.1933
35,670.00, 0.1931
36,4990.00, 0.1929
37,6385.00, 0.1927
38,4890.00, 0.1925
39,5455.00, 0.1923
40,6905.00, 0.1922
41,2940.00, 0.1920
42,5220.00, 0.1918
43,5470.00, 0.1916
44,5605.00, 0.1914
45,5930.00, 0.1912
46,2570.00, 0.1910
47,7105.00, 0.1908
48,6955.00, 0.1906
49,7665.00, 0.1904
50,5805.00, 0.1902
51,8530.00, 0.1901
52,8005.00, 0.1899
53,4880.00, 0.1897
54,7725.00, 0.1895
55,7900.00, 0.1893
56,5555.00, 0.1891
57,2510.00, 0.1889
58,6515.00, 0.1887
59,9240.00, 0.1885
60,815.00, 0.1883
61,8840.00, 0.1882
62,4735.00, 0.1880
63,6155.00, 0.1878
64,7630.00, 0.1876
65,8280.00, 0.1874
66,7285.00, 0.1872
67,9680.00, 0.1870
68,2580.00, 0.1868
69,3045.00, 0.1867
70,6775.00, 0.1865
71,6410.00, 0.1863
72,5440.00, 0.1861
73,7300.00, 0.1859
74,7655.00, 0.1857
75,8760.00, 0.1855
76,5125.00, 0.1854
77,9945.00, 0.1852
78,7760.00, 0.1850
79,7480.00, 0.1848
80,6325.00, 0.1846
81,10235.00, 0.1844
82,6415.00, 0.1842
83,7425.00, 0.1841
84,6425.00, 0.1839
85,11410.00, 0.1837
86,6700.00, 0.1835
87,10010.00, 0.1833
88,6080.00, 0.1831
89,8055.00, 0.1830
90,8730.00, 0.1828
91,4430.00, 0.1826
92,5000.00, 0.1824
93,6215.00, 0.1822
94,6595.00, 0.1820
95,1075.00, 0.1819
96,7245.00, 0.1817
97,9480.00, 0.1815
98,10320.00, 0.1813
99,7550.00, 0.1811
100,6325.00, 0.1810
101,6780.00, 0.1808
102,6295.00, 0.1806
103,8835.00, 0.1804
104,9665.00, 0.1802
105,10960.00, 0.1801
106,12455.00, 0.1799
107,7280.00, 0.1797
108,8650.00, 0.1795
109,9780.00, 0.1793
110,10630.00, 0.1792
111,3485.00, 0.1790
112,6310.00, 0.1788
113,8815.00, 0.1786
114,10145.00, 0.1784
115,11600.00, 0.1783
116,7185.00, 0.1781
117,9980.00, 0.1779
118,11280.00, 0.1777
119,3705.00, 0.1776
120,5395.00, 0.1774
121,10310.00, 0.1772
122,9095.00, 0.1770
123,10635.00, 0.1768
124,6770.00, 0.1767
125,9925.00, 0.1765
126,10215.00, 0.1763
127,6415.00, 0.1761
128,2940.00, 0.1760
129,9955.00, 0.1758
130,5470.00, 0.1756
131,9510.00, 0.1754
132,4930.00, 0.1753
133,8010.00, 0.1751
134,8060.00, 0.1749
