Episode, Total Reward, Epsilon
1,-16831.00, 0.1990
2,-13921.00, 0.1980
3,-10861.00, 0.1970
4,-7761.00, 0.1960
5,-4801.00, 0.1950
6,-3911.00, 0.1941
7,-2481.00, 0.1931
8,-2421.00, 0.1921
9,1345.00, 0.1912
10,379.00, 0.1902
11,-101.00, 0.1893
12,409.00, 0.1883
13,4309.00, 0.1874
14,979.00, 0.1864
15,4889.00, 0.1855
16,4519.00, 0.1846
17,4159.00, 0.1837
18,4078.00, 0.1827
19,5438.00, 0.1818
20,4277.00, 0.1809
21,3459.00, 0.1800
22,4919.00, 0.1791
23,4359.00, 0.1782
24,3809.00, 0.1773
25,4427.00, 0.1764
26,4779.00, 0.1756
27,7249.00, 0.1747
28,6909.00, 0.1738
29,6469.00, 0.1729
30,4929.00, 0.1721
31,3289.00, 0.1712
32,5699.00, 0.1704
33,6419.00, 0.1695
34,7817.00, 0.1687
35,5559.00, 0.1678
36,5509.00, 0.1670
37,8959.00, 0.1661
38,7329.00, 0.1653
39,6289.00, 0.1645
40,6197.00, 0.1637
41,6649.00, 0.1628
42,6159.00, 0.1620
43,5869.00, 0.1612
44,8199.00, 0.1604
45,6939.00, 0.1596
46,7549.00, 0.1588
47,6679.00, 0.1580
48,7019.00, 0.1572
49,8289.00, 0.1564
50,7489.00, 0.1557
51,7949.00, 0.1549
52,7238.00, 0.1541
53,7199.00, 0.1533
54,8039.00, 0.1526
55,7449.00, 0.1518
56,7689.00, 0.1511
57,8659.00, 0.1503
58,8409.00, 0.1495
59,7759.00, 0.1488
60,7609.00, 0.1481
61,7689.00, 0.1473
62,9288.00, 0.1466
63,6949.00, 0.1458
64,6999.00, 0.1451
65,6988.00, 0.1444
66,7849.00, 0.1437
67,6239.00, 0.1429
68,7999.00, 0.1422
69,8409.00, 0.1415
70,9039.00, 0.1408
71,6969.00, 0.1401
72,7457.00, 0.1394
73,5647.00, 0.1387
74,9169.00, 0.1380
75,8517.00, 0.1373
76,7448.00, 0.1366
77,8227.00, 0.1360
78,9089.00, 0.1353
79,8439.00, 0.1346
80,9939.00, 0.1339
81,7209.00, 0.1333
82,8638.00, 0.1326
83,8649.00, 0.1319
84,9289.00, 0.1313
85,8509.00, 0.1306
86,9719.00, 0.1300
87,8279.00, 0.1293
88,8359.00, 0.1287
89,8569.00, 0.1280
90,8707.00, 0.1274
91,9269.00, 0.1267
92,9338.00, 0.1261
93,8909.00, 0.1255
94,6269.00, 0.1249
95,9009.00, 0.1242
96,8209.00, 0.1236
97,7759.00, 0.1230
98,8139.00, 0.1224
99,8109.00, 0.1218
100,7119.00, 0.1212
101,9079.00, 0.1205
102,8159.00, 0.1199
103,8337.00, 0.1193
104,9809.00, 0.1187
105,8859.00, 0.1182
106,9749.00, 0.1176
107,11547.00, 0.1170
108,8979.00, 0.1164
109,10808.00, 0.1158
110,8506.00, 0.1152
111,6579.00, 0.1147
112,9159.00, 0.1141
113,8596.00, 0.1135
114,11129.00, 0.1129
115,8329.00, 0.1124
116,8449.00, 0.1118
117,8099.00, 0.1113
118,7298.00, 0.1107
119,9859.00, 0.1101
120,9719.00, 0.1096
121,8429.00, 0.1090
122,8989.00, 0.1085
123,9589.00, 0.1080
124,9199.00, 0.1074
125,9056.00, 0.1069
126,9568.00, 0.1064
127,8819.00, 0.1058
128,10699.00, 0.1053
129,8367.00, 0.1048
130,8819.00, 0.1042
131,9747.00, 0.1037
132,10589.00, 0.1032
133,9879.00, 0.1027
134,9329.00, 0.1022
135,7089.00, 0.1017
136,8486.00, 0.1012
137,9389.00, 0.1006
138,9678.00, 0.1001
139,9879.00, 0.0996
140,10659.00, 0.0991
141,8759.00, 0.0986
142,8408.00, 0.0982
143,11449.00, 0.0977
144,10486.00, 0.0972
145,9549.00, 0.0967
146,8939.00, 0.0962
147,9919.00, 0.0957
148,10059.00, 0.0952
149,9349.00, 0.0948
150,9749.00, 0.0943
151,10019.00, 0.0938
152,9549.00, 0.0934
153,9535.00, 0.0929
154,9569.00, 0.0924
155,10959.00, 0.0920
