Episode, Total Reward, Epsilon
1,-11021.00, 0.1990
2,-9811.00, 0.1980
3,-10086.00, 0.1970
4,-6566.00, 0.1960
5,-5751.00, 0.1950
6,-2956.00, 0.1941
7,-5323.00, 0.1931
8,-1491.00, 0.1921
9,-216.00, 0.1912
10,3317.00, 0.1902
11,829.00, 0.1893
12,879.00, 0.1883
13,1838.00, 0.1874
14,2798.00, 0.1864
15,3514.00, 0.1855
16,2384.00, 0.1846
17,3979.00, 0.1837
18,6214.00, 0.1827
19,3699.00, 0.1818
20,3679.00, 0.1809
21,4119.00, 0.1800
22,4419.00, 0.1791
23,5400.00, 0.1782
24,4164.00, 0.1773
25,5054.00, 0.1764
26,4589.00, 0.1756
27,5213.00, 0.1747
28,6889.00, 0.1738
29,3260.00, 0.1729
30,6250.00, 0.1721
31,5449.00, 0.1712
32,6554.00, 0.1704
33,5173.00, 0.1695
34,4384.00, 0.1687
35,6519.00, 0.1678
36,7804.00, 0.1670
37,6122.00, 0.1661
38,5784.00, 0.1653
39,5434.00, 0.1645
40,4464.00, 0.1637
41,5899.00, 0.1628
42,6409.00, 0.1620
43,5824.00, 0.1612
44,6004.00, 0.1604
45,7314.00, 0.1596
46,5331.00, 0.1588
47,5497.00, 0.1580
48,5234.00, 0.1572
49,4884.00, 0.1564
50,5439.00, 0.1557
51,5519.00, 0.1549
52,4624.00, 0.1541
53,4739.00, 0.1533
54,6369.00, 0.1526
55,6507.00, 0.1518
56,8529.00, 0.1511
57,4064.00, 0.1503
58,6324.00, 0.1495
59,4599.00, 0.1488
60,5549.00, 0.1481
61,9084.00, 0.1473
62,4956.00, 0.1466
63,6599.00, 0.1458
64,6134.00, 0.1451
65,9129.00, 0.1444
66,7825.00, 0.1437
67,5774.00, 0.1429
68,6294.00, 0.1422
69,5280.00, 0.1415
70,5979.00, 0.1408
71,7934.00, 0.1401
72,6429.00, 0.1394
73,6682.00, 0.1387
74,7024.00, 0.1380
75,8171.00, 0.1373
76,7169.00, 0.1366
77,5663.00, 0.1360
78,5760.00, 0.1353
79,7779.00, 0.1346
80,6144.00, 0.1339
81,5684.00, 0.1333
82,5929.00, 0.1326
83,4879.00, 0.1319
84,7369.00, 0.1313
85,7679.00, 0.1306
86,5254.00, 0.1300
87,8459.00, 0.1293
88,8074.00, 0.1287
89,6574.00, 0.1280
90,7804.00, 0.1274
91,6299.00, 0.1267
92,5864.00, 0.1261
93,7289.00, 0.1255
94,6024.00, 0.1249
95,5462.00, 0.1242
96,6963.00, 0.1236
97,6248.00, 0.1230
98,7584.00, 0.1224
99,6579.00, 0.1218
100,5039.00, 0.1212
101,6964.00, 0.1205
102,5209.00, 0.1199
103,6588.00, 0.1193
104,5271.00, 0.1187
105,8372.00, 0.1182
106,5354.00, 0.1176
107,7764.00, 0.1170
108,9024.00, 0.1164
109,7174.00, 0.1158
110,6479.00, 0.1152
111,8779.00, 0.1147
112,7084.00, 0.1141
113,5513.00, 0.1135
114,8091.00, 0.1129
115,6351.00, 0.1124
116,5529.00, 0.1118
117,6524.00, 0.1113
118,7848.00, 0.1107
119,7563.00, 0.1101
120,8625.00, 0.1096
121,5422.00, 0.1090
122,6655.00, 0.1085
123,8492.00, 0.1080
124,7664.00, 0.1074
125,8859.00, 0.1069
126,6589.00, 0.1064
127,8148.00, 0.1058
128,6519.00, 0.1053
129,6734.00, 0.1048
130,9856.00, 0.1042
131,9244.00, 0.1037
132,5761.00, 0.1032
133,8469.00, 0.1027
134,5829.00, 0.1022
135,5731.00, 0.1017
136,5483.00, 0.1012
137,6782.00, 0.1006
138,8304.00, 0.1001
139,7619.00, 0.0996
140,7097.00, 0.0991
141,8332.00, 0.0986
142,8319.00, 0.0982
143,7174.00, 0.0977
144,8047.00, 0.0972
145,5129.00, 0.0967
146,6999.00, 0.0962
147,6961.00, 0.0957
148,6869.00, 0.0952
149,7760.00, 0.0948
150,6675.00, 0.0943
151,7229.00, 0.0938
152,6924.00, 0.0934
153,7758.00, 0.0929
154,7919.00, 0.0924
155,4804.00, 0.0920
156,6534.00, 0.0915
157,7402.00, 0.0910
158,7009.00, 0.0906
159,7467.00, 0.0901
160,8544.00, 0.0897
161,8724.00, 0.0892
162,7829.00, 0.0888
163,6254.00, 0.0883
164,6174.00, 0.0879
165,7807.00, 0.0875
166,9818.00, 0.0870
167,8632.00, 0.0866
168,6624.00, 0.0862
169,6384.00, 0.0857
170,7720.00, 0.0853
171,9313.00, 0.0849
172,7234.00, 0.0845
173,10689.00, 0.0840
174,7089.00, 0.0836
175,7477.00, 0.0832
176,6549.00, 0.0828
177,8329.00, 0.0824
178,7629.00, 0.0819
179,8314.00, 0.0815
180,9329.00, 0.0811
181,6404.00, 0.0807
182,5873.00, 0.0803
183,7683.00, 0.0799
184,5579.00, 0.0795
185,4996.00, 0.0791
186,8269.00, 0.0787
187,8429.00, 0.0783
188,10321.00, 0.0779
189,8268.00, 0.0776
190,8694.00, 0.0772
191,3945.00, 0.0768
192,8149.00, 0.0764
193,6833.00, 0.0760
194,8180.00, 0.0756
195,9064.00, 0.0753
196,9129.00, 0.0749
197,7744.00, 0.0745
198,7050.00, 0.0741
199,5509.00, 0.0738
200,5804.00, 0.0734
201,8993.00, 0.0730
202,11254.00, 0.0727
203,6879.00, 0.0723
204,8094.00, 0.0719
205,7604.00, 0.0716
206,8538.00, 0.0712
207,8429.00, 0.0709
208,10804.00, 0.0705
209,11849.00, 0.0702
210,9119.00, 0.0698
211,6374.00, 0.0695
212,8337.00, 0.0691
213,4719.00, 0.0688
214,6263.00, 0.0684
215,7344.00, 0.0681
216,8299.00, 0.0677
217,9029.00, 0.0674
218,7247.00, 0.0671
219,10699.00, 0.0667
220,10524.00, 0.0664
221,7507.00, 0.0661
222,8953.00, 0.0657
223,7616.00, 0.0654
224,8869.00, 0.0651
225,8950.00, 0.0647
226,7714.00, 0.0644
227,7018.00, 0.0641
228,6699.00, 0.0638
229,9424.00, 0.0635
230,6164.00, 0.0631
231,7367.00, 0.0628
232,8495.00, 0.0625
233,8349.00, 0.0622
234,7928.00, 0.0619
235,6120.00, 0.0616
236,9569.00, 0.0613
