num_ugvs,ugv_range,maze_loop_percentage,tasks_completed,distance_traveled,energy_consumed,avg_task_completion_time
3, 100000000, 50, 315, 98600.0, 98600.0, 158.43949044585986
3, 100000000, 60, 320, 97900.0, 97900.0, 154.2319749216301
3, 100000000, 70, 393, 103750.0, 103750.0, 126.14795918367346
3, 100000000, 80, 368, 93700.0, 93700.0, 135.9673024523161
3, 100000000, 90, 359, 97850.0, 97850.0, 138.40782122905028
4, 100000000, 50, 509, 136950.0, 136950.0, 98.03149606299213
4, 100000000, 60, 547, 135200.0, 135200.0, 90.38461538461539
4, 100000000, 70, 563, 132750.0, 132750.0, 88.25622775800711
4, 100000000, 80, 612, 138400.0, 138400.0, 81.58756137479541
4, 100000000, 90, 599, 133700.0, 133700.0, 82.85953177257525
5, 100000000, 50, 730, 166950.0, 166950.0, 68.24417009602195
5, 100000000, 60, 791, 172050.0, 172050.0, 62.78481012658228
5, 100000000, 70, 883, 179250.0, 179250.0, 56.40589569160998
5, 100000000, 80, 839, 171250.0, 171250.0, 59.54653937947494
5, 100000000, 90, 826, 170500.0, 170500.0, 60.24242424242424
6, 100000000, 50, 1002, 205300.0, 205300.0, 49.75024975024975
6, 100000000, 60, 1080, 205700.0, 205700.0, 46.014828544949026
6, 100000000, 70, 1083, 200250.0, 200250.0, 46.11829944547135
6, 100000000, 80, 1138, 202800.0, 202800.0, 43.887423043095865
6, 100000000, 90, 1187, 205900.0, 205900.0, 42.07419898819562
7, 100000000, 50, 1243, 235350.0, 235350.0, 40.13687600644123
7, 100000000, 60, 1324, 244300.0, 244300.0, 37.45275888133031
7, 100000000, 70, 1417, 239250.0, 239250.0, 35.240112994350284
7, 100000000, 80, 1516, 238050.0, 238050.0, 32.93729372937294
7, 100000000, 90, 1478, 239900.0, 239900.0, 33.750846310088015
