Episode, Total Reward, Epsilon
1,-7837.00, 0.1990
2,-5048.00, 0.1980
3,-2056.00, 0.1970
4,-541.00, 0.1960
5,-166.00, 0.1950
6,499.00, 0.1941
7,-698.00, 0.1931
8,-491.00, 0.1921
9,-575.00, 0.1912
10,-1396.00, 0.1902
11,903.00, 0.1893
12,1714.00, 0.1883
13,-108.00, 0.1874
14,-966.00, 0.1864
15,-278.00, 0.1855
16,469.00, 0.1846
17,939.00, 0.1837
18,489.00, 0.1827
19,443.00, 0.1818
20,424.00, 0.1809
21,1668.00, 0.1800
22,1544.00, 0.1791
23,-336.00, 0.1782
24,1199.00, 0.1773
25,754.00, 0.1764
26,161.00, 0.1756
27,1533.00, 0.1747
28,1213.00, 0.1738
29,1939.00, 0.1729
30,2733.00, 0.1721
31,558.00, 0.1712
32,1519.00, 0.1704
33,1328.00, 0.1695
34,1243.00, 0.1687
35,1619.00, 0.1678
36,984.00, 0.1670
37,1409.00, 0.1661
38,2094.00, 0.1653
39,2367.00, 0.1645
40,1601.00, 0.1637
41,1038.00, 0.1628
42,1864.00, 0.1620
43,1588.00, 0.1612
44,1338.00, 0.1604
45,1719.00, 0.1596
46,1464.00, 0.1588
47,1184.00, 0.1580
48,1958.00, 0.1572
49,1654.00, 0.1564
50,3267.00, 0.1557
51,1100.00, 0.1549
52,1458.00, 0.1541
53,1516.00, 0.1533
54,349.00, 0.1526
55,1849.00, 0.1518
56,2883.00, 0.1511
57,684.00, 0.1503
58,1056.00, 0.1495
59,1212.00, 0.1488
60,2393.00, 0.1481
61,1523.00, 0.1473
62,1724.00, 0.1466
63,1519.00, 0.1458
64,1549.00, 0.1451
65,1784.00, 0.1444
66,1594.00, 0.1437
67,979.00, 0.1429
68,2359.00, 0.1422
69,3338.00, 0.1415
70,1674.00, 0.1408
71,1557.00, 0.1401
72,3518.00, 0.1394
73,2743.00, 0.1387
74,969.00, 0.1380
75,1133.00, 0.1373
76,2363.00, 0.1366
77,3099.00, 0.1360
78,855.00, 0.1353
79,1562.00, 0.1346
80,2231.00, 0.1339
81,552.00, 0.1333
82,1619.00, 0.1326
83,2864.00, 0.1319
84,508.00, 0.1313
85,3372.00, 0.1306
86,1941.00, 0.1300
87,2796.00, 0.1293
88,1897.00, 0.1287
89,1229.00, 0.1280
90,1804.00, 0.1274
91,760.00, 0.1267
92,2243.00, 0.1261
93,2598.00, 0.1255
94,1646.00, 0.1249
95,2118.00, 0.1242
96,2543.00, 0.1236
97,2532.00, 0.1230
98,1558.00, 0.1224
99,2377.00, 0.1218
100,1674.00, 0.1212
101,1233.00, 0.1205
102,1637.00, 0.1199
103,2104.00, 0.1193
104,1814.00, 0.1187
105,1244.00, 0.1182
106,1563.00, 0.1176
107,1528.00, 0.1170
108,2414.00, 0.1164
109,2278.00, 0.1158
110,3140.00, 0.1152
111,2271.00, 0.1147
112,2839.00, 0.1141
113,2507.00, 0.1135
114,2284.00, 0.1129
115,2218.00, 0.1124
116,728.00, 0.1118
117,2254.00, 0.1113
118,3303.00, 0.1107
119,2193.00, 0.1101
120,44.00, 0.1096
121,1963.00, 0.1090
122,1408.00, 0.1085
123,1653.00, 0.1080
124,2493.00, 0.1074
125,2593.00, 0.1069
126,3224.00, 0.1064
127,1159.00, 0.1058
128,2292.00, 0.1053
129,2468.00, 0.1048
130,2532.00, 0.1042
131,2803.00, 0.1037
132,1388.00, 0.1032
133,2264.00, 0.1027
134,290.00, 0.1022
135,1658.00, 0.1017
136,2909.00, 0.1012
137,3251.00, 0.1006
138,2094.00, 0.1001
139,1973.00, 0.0996
140,1398.00, 0.0991
141,1795.00, 0.0986
142,2739.00, 0.0982
143,2803.00, 0.0977
144,2894.00, 0.0972
145,2274.00, 0.0967
146,2320.00, 0.0962
147,3462.00, 0.0957
148,3034.00, 0.0952
149,1944.00, 0.0948
150,3314.00, 0.0943
151,3848.00, 0.0938
152,2958.00, 0.0934
153,2713.00, 0.0929
154,2598.00, 0.0924
155,2478.00, 0.0920
156,3403.00, 0.0915
157,3149.00, 0.0910
158,4527.00, 0.0906
159,2084.00, 0.0901
160,2028.00, 0.0897
161,4368.00, 0.0892
162,2467.00, 0.0888
163,2232.00, 0.0883
164,2413.00, 0.0879
165,2793.00, 0.0875
166,293.00, 0.0870
167,2743.00, 0.0866
168,2544.00, 0.0862
169,1532.00, 0.0857
170,2418.00, 0.0853
171,2207.00, 0.0849
172,2362.00, 0.0845
173,3384.00, 0.0840
174,3304.00, 0.0836
175,2249.00, 0.0832
176,2614.00, 0.0828
177,2609.00, 0.0824
178,1684.00, 0.0819
179,2649.00, 0.0815
180,2228.00, 0.0811
181,3222.00, 0.0807
182,4081.00, 0.0803
183,2311.00, 0.0799
184,3104.00, 0.0795
185,2832.00, 0.0791
186,3345.00, 0.0787
187,2007.00, 0.0783
188,3254.00, 0.0779
189,1427.00, 0.0776
190,1499.00, 0.0772
191,2969.00, 0.0768
192,2748.00, 0.0764
193,2043.00, 0.0760
194,1618.00, 0.0756
195,3104.00, 0.0753
196,3089.00, 0.0749
197,3532.00, 0.0745
198,1939.00, 0.0741
199,1477.00, 0.0738
200,2524.00, 0.0734
201,3042.00, 0.0730
202,2079.00, 0.0727
203,2613.00, 0.0723
204,3464.00, 0.0719
205,4174.00, 0.0716
206,1509.00, 0.0712
207,3144.00, 0.0709
208,1768.00, 0.0705
209,2038.00, 0.0702
210,2606.00, 0.0698
211,2408.00, 0.0695
212,2898.00, 0.0691
213,3698.00, 0.0688
214,2359.00, 0.0684
215,2127.00, 0.0681
216,3974.00, 0.0677
217,2569.00, 0.0674
218,1388.00, 0.0671
219,3243.00, 0.0667
220,1934.00, 0.0664
221,3388.00, 0.0661
222,3484.00, 0.0657
223,2943.00, 0.0654
