Episode, Total Reward, Epsilon
1,-11875.00, 0.1990
2,-11285.00, 0.1980
3,-12118.00, 0.1970
4,-12381.00, 0.1960
5,-10113.00, 0.1950
6,-12574.00, 0.1941
7,-10677.00, 0.1931
8,-10698.00, 0.1921
9,-11842.00, 0.1912
10,-10779.00, 0.1902
11,-10787.00, 0.1893
12,-9404.00, 0.1883
13,-9823.00, 0.1874
14,-7930.00, 0.1864
15,-10479.00, 0.1855
16,-9918.00, 0.1846
17,-9582.00, 0.1837
18,-6670.00, 0.1827
19,-10403.00, 0.1818
20,-5948.00, 0.1809
21,-8196.00, 0.1800
22,-9135.00, 0.1791
23,-5907.00, 0.1782
24,-4668.00, 0.1773
25,-8036.00, 0.1764
26,-6462.00, 0.1756
27,-7810.00, 0.1747
28,-7958.00, 0.1738
29,-8048.00, 0.1729
30,-3989.00, 0.1721
31,-4130.00, 0.1712
32,-3359.00, 0.1704
33,-6988.00, 0.1695
34,-6861.00, 0.1687
35,-6782.00, 0.1678
36,-4671.00, 0.1670
37,-7587.00, 0.1661
38,-6991.00, 0.1653
39,-2575.00, 0.1645
40,-4460.00, 0.1637
41,-3956.00, 0.1628
42,-2024.00, 0.1620
43,-5132.00, 0.1612
44,-1572.00, 0.1604
45,-3552.00, 0.1596
46,-6249.00, 0.1588
47,-1930.00, 0.1580
48,-2861.00, 0.1572
49,-2203.00, 0.1564
50,-944.00, 0.1557
51,-2826.00, 0.1549
52,-3253.00, 0.1541
53,72.00, 0.1533
54,-4178.00, 0.1526
55,-1885.00, 0.1518
56,854.00, 0.1511
57,-2349.00, 0.1503
58,-1006.00, 0.1495
59,-3978.00, 0.1488
60,-3064.00, 0.1481
61,-3019.00, 0.1473
62,-828.00, 0.1466
63,-3139.00, 0.1458
64,1767.00, 0.1451
65,-1356.00, 0.1444
66,-939.00, 0.1437
67,-1373.00, 0.1429
68,-716.00, 0.1422
69,-118.00, 0.1415
70,1196.00, 0.1408
71,1853.00, 0.1401
72,694.00, 0.1394
73,75.00, 0.1387
74,3311.00, 0.1380
75,1482.00, 0.1373
76,-3449.00, 0.1366
77,2270.00, 0.1360
78,403.00, 0.1353
79,242.00, 0.1346
80,-311.00, 0.1339
81,569.00, 0.1333
82,-1031.00, 0.1326
83,-1317.00, 0.1319
84,2628.00, 0.1313
85,825.00, 0.1306
86,-32.00, 0.1300
87,3202.00, 0.1293
88,1991.00, 0.1287
89,767.00, 0.1280
90,1918.00, 0.1274
91,2493.00, 0.1267
92,2221.00, 0.1261
93,2390.00, 0.1255
94,1019.00, 0.1249
95,-1316.00, 0.1242
96,1518.00, 0.1236
97,2224.00, 0.1230
98,3925.00, 0.1224
99,3027.00, 0.1218
100,5273.00, 0.1212
101,2509.00, 0.1205
102,2138.00, 0.1199
103,1365.00, 0.1193
104,538.00, 0.1187
105,4174.00, 0.1182
106,4796.00, 0.1176
107,5556.00, 0.1170
108,-126.00, 0.1164
109,2976.00, 0.1158
110,5401.00, 0.1152
111,5261.00, 0.1147
112,5628.00, 0.1141
113,9349.00, 0.1135
114,2008.00, 0.1129
115,4482.00, 0.1124
116,3073.00, 0.1118
117,1298.00, 0.1113
118,4689.00, 0.1107
119,2484.00, 0.1101
120,4739.00, 0.1096
121,8125.00, 0.1090
122,-5.00, 0.1085
123,3356.00, 0.1080
124,6035.00, 0.1074
125,7250.00, 0.1069
126,4951.00, 0.1064
127,3725.00, 0.1058
128,4122.00, 0.1053
129,6746.00, 0.1048
130,1087.00, 0.1042
131,3602.00, 0.1037
132,4410.00, 0.1032
133,4096.00, 0.1027
134,4277.00, 0.1022
135,4001.00, 0.1017
136,5343.00, 0.1012
137,6719.00, 0.1006
138,4327.00, 0.1001
139,3702.00, 0.0996
140,1273.00, 0.0991
141,5194.00, 0.0986
142,2215.00, 0.0982
143,401.00, 0.0977
144,5045.00, 0.0972
145,9130.00, 0.0967
146,5776.00, 0.0962
147,6112.00, 0.0957
148,3677.00, 0.0952
149,5023.00, 0.0948
150,5577.00, 0.0943
151,5746.00, 0.0938
152,4155.00, 0.0934
153,4768.00, 0.0929
154,5478.00, 0.0924
155,5466.00, 0.0920
156,1674.00, 0.0915
157,4319.00, 0.0910
158,6214.00, 0.0906
159,6054.00, 0.0901
160,8008.00, 0.0897
161,5617.00, 0.0892
162,5633.00, 0.0888
163,7438.00, 0.0883
164,7752.00, 0.0879
165,4126.00, 0.0875
166,5123.00, 0.0870
167,-688.00, 0.0866
168,5085.00, 0.0862
169,5714.00, 0.0857
170,7797.00, 0.0853
171,4078.00, 0.0849
172,1904.00, 0.0845
173,4138.00, 0.0840
174,2706.00, 0.0836
175,8845.00, 0.0832
176,6399.00, 0.0828
177,6626.00, 0.0824
178,7005.00, 0.0819
179,7963.00, 0.0815
180,6316.00, 0.0811
181,10477.00, 0.0807
182,5489.00, 0.0803
183,4569.00, 0.0799
184,9696.00, 0.0795
185,8146.00, 0.0791
186,7942.00, 0.0787
187,6391.00, 0.0783
188,7328.00, 0.0779
189,6094.00, 0.0776
190,7845.00, 0.0772
191,7203.00, 0.0768
192,6841.00, 0.0764
193,7116.00, 0.0760
194,7658.00, 0.0756
195,4635.00, 0.0753
196,5110.00, 0.0749
197,5297.00, 0.0745
198,4905.00, 0.0741
199,5676.00, 0.0738
200,5756.00, 0.0734
201,4637.00, 0.0730
202,3270.00, 0.0727
203,6913.00, 0.0723
204,8716.00, 0.0719
205,8572.00, 0.0716
206,4570.00, 0.0712
207,8105.00, 0.0709
208,6597.00, 0.0705
209,7161.00, 0.0702
210,6189.00, 0.0698
211,7634.00, 0.0695
212,5852.00, 0.0691
213,7055.00, 0.0688
214,7723.00, 0.0684
215,6315.00, 0.0681
