Episode, Total Reward, Epsilon
1,-12712.00, 0.1990
2,-9392.00, 0.1980
3,-8202.00, 0.1970
4,-2542.00, 0.1960
5,168.00, 0.1950
6,3838.00, 0.1941
7,4378.00, 0.1931
8,6378.00, 0.1921
9,8578.00, 0.1912
10,8658.00, 0.1902
11,8418.00, 0.1893
12,9948.00, 0.1883
13,11298.00, 0.1874
14,12988.00, 0.1864
15,8828.00, 0.1855
16,11348.00, 0.1846
17,12698.00, 0.1837
18,13248.00, 0.1827
19,12758.00, 0.1818
20,13528.00, 0.1809
21,14328.00, 0.1800
22,13348.00, 0.1791
23,12318.00, 0.1782
24,11916.00, 0.1773
25,13688.00, 0.1764
26,12318.00, 0.1756
27,14758.00, 0.1747
28,15088.00, 0.1738
29,11618.00, 0.1729
30,14138.00, 0.1721
31,13768.00, 0.1712
32,14688.00, 0.1704
33,15598.00, 0.1695
34,14638.00, 0.1687
35,14298.00, 0.1678
36,15558.00, 0.1670
37,12168.00, 0.1661
38,15088.00, 0.1653
39,13536.00, 0.1645
40,15628.00, 0.1637
41,14858.00, 0.1628
42,15568.00, 0.1620
43,14378.00, 0.1612
44,16058.00, 0.1604
45,16708.00, 0.1596
46,16938.00, 0.1588
47,17728.00, 0.1580
48,16718.00, 0.1572
49,14150.00, 0.1564
50,15308.00, 0.1557
51,13608.00, 0.1549
52,14828.00, 0.1541
53,12338.00, 0.1533
54,14138.00, 0.1526
55,15698.00, 0.1518
56,12948.00, 0.1511
57,15788.00, 0.1503
58,14208.00, 0.1495
59,11728.00, 0.1488
60,17238.00, 0.1481
61,16458.00, 0.1473
62,15898.00, 0.1466
63,16718.00, 0.1458
64,18208.00, 0.1451
65,14098.00, 0.1444
66,14398.00, 0.1437
67,13388.00, 0.1429
68,15238.00, 0.1422
69,16368.00, 0.1415
70,15498.00, 0.1408
71,16608.00, 0.1401
72,15918.00, 0.1394
73,16728.00, 0.1387
74,16098.00, 0.1380
75,14768.00, 0.1373
76,17638.00, 0.1366
77,16638.00, 0.1360
78,14558.00, 0.1353
79,15478.00, 0.1346
80,18968.00, 0.1339
81,16528.00, 0.1333
82,15048.00, 0.1326
83,17408.00, 0.1319
84,16298.00, 0.1313
85,17388.00, 0.1306
86,16418.00, 0.1300
87,16638.00, 0.1293
88,17668.00, 0.1287
89,16678.00, 0.1280
90,15198.00, 0.1274
91,17988.00, 0.1267
92,17998.00, 0.1261
93,18598.00, 0.1255
94,16508.00, 0.1249
95,17858.00, 0.1242
96,16228.00, 0.1236
97,18028.00, 0.1230
98,16648.00, 0.1224
99,19428.00, 0.1218
100,17988.00, 0.1212
101,17608.00, 0.1205
102,16208.00, 0.1199
103,17328.00, 0.1193
104,19458.00, 0.1187
105,20318.00, 0.1182
106,19298.00, 0.1176
107,17258.00, 0.1170
108,17508.00, 0.1164
109,14348.00, 0.1158
110,16268.00, 0.1152
111,18168.00, 0.1147
112,18928.00, 0.1141
113,16148.00, 0.1135
114,18038.00, 0.1129
115,16178.00, 0.1124
116,15098.00, 0.1118
117,17258.00, 0.1113
118,16948.00, 0.1107
119,16228.00, 0.1101
120,17608.00, 0.1096
121,19492.00, 0.1090
122,15928.00, 0.1085
123,15398.00, 0.1080
124,17178.00, 0.1074
125,16798.00, 0.1069
126,17078.00, 0.1064
127,18708.00, 0.1058
128,19368.00, 0.1053
129,16754.00, 0.1048
130,16978.00, 0.1042
131,18628.00, 0.1037
132,17928.00, 0.1032
133,15938.00, 0.1027
134,17178.00, 0.1022
135,17388.00, 0.1017
136,16228.00, 0.1012
137,20038.00, 0.1006
138,16528.00, 0.1001
139,15178.00, 0.0996
140,17358.00, 0.0991
141,15208.00, 0.0986
142,17378.00, 0.0982
143,16858.00, 0.0977
144,18148.00, 0.0972
145,16968.00, 0.0967
146,18818.00, 0.0962
147,18578.00, 0.0957
148,19198.00, 0.0952
149,18598.00, 0.0948
150,19668.00, 0.0943
151,20268.00, 0.0938
152,17328.00, 0.0934
153,18906.00, 0.0929
154,16298.00, 0.0924
155,16238.00, 0.0920
156,17568.00, 0.0915
157,18748.00, 0.0910
158,19498.00, 0.0906
159,17778.00, 0.0901
160,18688.00, 0.0897
161,17708.00, 0.0892
162,17618.00, 0.0888
163,19078.00, 0.0883
164,20038.00, 0.0879
165,19298.00, 0.0875
166,19888.00, 0.0870
167,19998.00, 0.0866
168,18528.00, 0.0862
169,19008.00, 0.0857
170,18998.00, 0.0853
171,18418.00, 0.0849
172,16568.00, 0.0845
173,20408.00, 0.0840
174,21018.00, 0.0836
175,18348.00, 0.0832
176,19188.00, 0.0828
177,17358.00, 0.0824
178,17428.00, 0.0819
179,18608.00, 0.0815
180,17328.00, 0.0811
181,16998.00, 0.0807
182,19678.00, 0.0803
183,20758.00, 0.0799
184,18788.00, 0.0795
185,16708.00, 0.0791
186,17858.00, 0.0787
187,15598.00, 0.0783
188,18008.00, 0.0779
189,18658.00, 0.0776
190,18878.00, 0.0772
191,16718.00, 0.0768
192,19118.00, 0.0764
193,17488.00, 0.0760
194,18918.00, 0.0756
195,19498.00, 0.0753
196,19248.00, 0.0749
197,19718.00, 0.0745
198,18958.00, 0.0741
199,19088.00, 0.0738
200,20198.00, 0.0734
201,16898.00, 0.0730
202,18378.00, 0.0727
203,17248.00, 0.0723
204,17568.00, 0.0719
205,18338.00, 0.0716
206,19618.00, 0.0712
207,18068.00, 0.0709
208,16538.00, 0.0705
209,18890.00, 0.0702
210,17088.00, 0.0698
211,19908.00, 0.0695
212,20408.00, 0.0691
213,17848.00, 0.0688
214,18918.00, 0.0684
215,18578.00, 0.0681
216,16128.00, 0.0677
217,17558.00, 0.0674
218,19608.00, 0.0671
219,20948.00, 0.0667
220,19458.00, 0.0664
221,17498.00, 0.0661
222,17578.00, 0.0657
223,22908.00, 0.0654
224,17768.00, 0.0651
225,19258.00, 0.0647
226,17898.00, 0.0644
227,17098.00, 0.0641
228,18128.00, 0.0638
229,19798.00, 0.0635
230,18988.00, 0.0631
231,18198.00, 0.0628
232,18858.00, 0.0625
233,18608.00, 0.0622
