Episode, Total Reward, Epsilon
1,-15682.00, 0.1990
2,-13232.00, 0.1980
3,-11002.00, 0.1970
4,-10472.00, 0.1960
5,-8392.00, 0.1950
6,-6522.00, 0.1941
7,-3802.00, 0.1931
8,-6912.00, 0.1921
9,-2992.00, 0.1912
10,-2632.00, 0.1902
11,-1832.00, 0.1893
12,-512.00, 0.1883
13,98.00, 0.1874
14,-772.00, 0.1864
15,-12.00, 0.1855
16,1808.00, 0.1846
17,1618.00, 0.1837
18,2078.00, 0.1827
19,2648.00, 0.1818
20,4268.00, 0.1809
21,3958.00, 0.1800
22,5738.00, 0.1791
23,4818.00, 0.1782
24,5188.00, 0.1773
25,5338.00, 0.1764
26,6518.00, 0.1756
27,6678.00, 0.1747
28,5638.00, 0.1738
29,7278.00, 0.1729
30,6568.00, 0.1721
31,5648.00, 0.1712
32,6228.00, 0.1704
33,5398.00, 0.1695
34,5958.00, 0.1687
35,5968.00, 0.1678
36,6168.00, 0.1670
37,6328.00, 0.1661
38,5398.00, 0.1653
39,5828.00, 0.1645
40,6068.00, 0.1637
41,6248.00, 0.1628
42,8158.00, 0.1620
43,6638.00, 0.1612
44,6588.00, 0.1604
45,6768.00, 0.1596
46,6698.00, 0.1588
47,6558.00, 0.1580
48,6838.00, 0.1572
49,6528.00, 0.1564
50,6758.00, 0.1557
51,6188.00, 0.1549
52,6678.00, 0.1541
53,5918.00, 0.1533
54,7528.00, 0.1526
55,7578.00, 0.1518
56,7438.00, 0.1511
57,6348.00, 0.1503
58,6578.00, 0.1495
59,6388.00, 0.1488
60,6538.00, 0.1481
61,7078.00, 0.1473
62,5908.00, 0.1466
63,6358.00, 0.1458
64,6358.00, 0.1451
65,7038.00, 0.1444
66,7038.00, 0.1437
67,7008.00, 0.1429
68,7198.00, 0.1422
69,6858.00, 0.1415
70,6668.00, 0.1408
71,6838.00, 0.1401
72,6198.00, 0.1394
73,7218.00, 0.1387
74,7728.00, 0.1380
75,7448.00, 0.1373
76,6608.00, 0.1366
77,7378.00, 0.1360
78,7918.00, 0.1353
79,7598.00, 0.1346
80,7768.00, 0.1339
81,7658.00, 0.1333
82,7558.00, 0.1326
83,7958.00, 0.1319
84,7108.00, 0.1313
85,6858.00, 0.1306
86,6608.00, 0.1300
87,7608.00, 0.1293
88,7998.00, 0.1287
89,7108.00, 0.1280
90,7318.00, 0.1274
91,7458.00, 0.1267
92,6798.00, 0.1261
93,6628.00, 0.1255
94,7348.00, 0.1249
95,8018.00, 0.1242
96,8268.00, 0.1236
97,7768.00, 0.1230
98,7618.00, 0.1224
99,7428.00, 0.1218
100,6888.00, 0.1212
101,7718.00, 0.1205
102,7608.00, 0.1199
103,7418.00, 0.1193
104,7178.00, 0.1187
105,7648.00, 0.1182
106,7448.00, 0.1176
107,7758.00, 0.1170
108,7768.00, 0.1164
109,7608.00, 0.1158
110,8338.00, 0.1152
111,7318.00, 0.1147
112,8078.00, 0.1141
113,7678.00, 0.1135
114,8028.00, 0.1129
115,7798.00, 0.1124
116,8038.00, 0.1118
117,7768.00, 0.1113
118,7308.00, 0.1107
119,7138.00, 0.1101
120,8068.00, 0.1096
121,7628.00, 0.1090
122,8208.00, 0.1085
123,7918.00, 0.1080
124,7738.00, 0.1074
125,7338.00, 0.1069
126,7928.00, 0.1064
127,7128.00, 0.1058
128,6798.00, 0.1053
129,7958.00, 0.1048
130,7328.00, 0.1042
131,8708.00, 0.1037
132,8628.00, 0.1032
133,7848.00, 0.1027
134,7208.00, 0.1022
135,7288.00, 0.1017
136,8738.00, 0.1012
137,7888.00, 0.1006
138,8118.00, 0.1001
139,7538.00, 0.0996
140,8658.00, 0.0991
141,7798.00, 0.0986
142,7878.00, 0.0982
143,7888.00, 0.0977
144,7928.00, 0.0972
145,8188.00, 0.0967
146,7848.00, 0.0962
147,8748.00, 0.0957
148,8878.00, 0.0952
149,8068.00, 0.0948
150,8508.00, 0.0943
151,8208.00, 0.0938
152,9168.00, 0.0934
153,8048.00, 0.0929
154,8298.00, 0.0924
155,8318.00, 0.0920
156,8278.00, 0.0915
157,7958.00, 0.0910
158,8648.00, 0.0906
159,8758.00, 0.0901
160,8078.00, 0.0897
161,8598.00, 0.0892
162,8088.00, 0.0888
163,7968.00, 0.0883
164,8558.00, 0.0879
165,8198.00, 0.0875
166,8218.00, 0.0870
167,8858.00, 0.0866
168,8798.00, 0.0862
169,7888.00, 0.0857
170,7788.00, 0.0853
171,9278.00, 0.0849
172,8988.00, 0.0845
173,8638.00, 0.0840
174,8738.00, 0.0836
175,8208.00, 0.0832
176,7868.00, 0.0828
177,8008.00, 0.0824
178,8268.00, 0.0819
179,7648.00, 0.0815
180,8708.00, 0.0811
181,7808.00, 0.0807
182,8428.00, 0.0803
183,8498.00, 0.0799
184,8918.00, 0.0795
185,9198.00, 0.0791
186,8168.00, 0.0787
187,8598.00, 0.0783
188,9148.00, 0.0779
189,8868.00, 0.0776
190,8048.00, 0.0772
191,8658.00, 0.0768
192,8918.00, 0.0764
193,8548.00, 0.0760
194,9248.00, 0.0756
195,8548.00, 0.0753
196,8858.00, 0.0749
197,8298.00, 0.0745
198,8908.00, 0.0741
199,9178.00, 0.0738
200,9438.00, 0.0734
201,8448.00, 0.0730
202,9208.00, 0.0727
203,7868.00, 0.0723
204,8138.00, 0.0719
205,8628.00, 0.0716
206,8648.00, 0.0712
207,9118.00, 0.0709
208,8698.00, 0.0705
209,8838.00, 0.0702
210,9038.00, 0.0698
211,8908.00, 0.0695
212,8978.00, 0.0691
213,8618.00, 0.0688
214,8618.00, 0.0684
215,8358.00, 0.0681
216,8788.00, 0.0677
217,8378.00, 0.0674
218,9038.00, 0.0671
219,9268.00, 0.0667
220,8228.00, 0.0664
221,8668.00, 0.0661
222,8568.00, 0.0657
