Episode, Total Reward, Epsilon
1,-13052.00, 0.1990
2,-11622.00, 0.1980
3,-9962.00, 0.1970
4,-6642.00, 0.1960
5,-1652.00, 0.1950
6,948.00, 0.1941
7,4688.00, 0.1931
8,5328.00, 0.1921
9,7298.00, 0.1912
10,5888.00, 0.1902
11,7508.00, 0.1893
12,9134.00, 0.1883
13,10928.00, 0.1874
14,8968.00, 0.1864
15,11828.00, 0.1855
16,11108.00, 0.1846
17,9928.00, 0.1837
18,14138.00, 0.1827
19,11688.00, 0.1818
20,13528.00, 0.1809
21,13628.00, 0.1800
22,12198.00, 0.1791
23,16486.00, 0.1782
24,13798.00, 0.1773
25,15208.00, 0.1764
26,13188.00, 0.1756
27,13418.00, 0.1747
28,13858.00, 0.1738
29,14528.00, 0.1729
30,15968.00, 0.1721
31,16238.00, 0.1712
32,13768.00, 0.1704
33,15388.00, 0.1695
34,13898.00, 0.1687
35,15128.00, 0.1678
36,15408.00, 0.1670
37,12638.00, 0.1661
38,15808.00, 0.1653
39,14928.00, 0.1645
40,13228.00, 0.1637
41,15798.00, 0.1628
42,13438.00, 0.1620
43,17808.00, 0.1612
44,15728.00, 0.1604
45,16994.00, 0.1596
46,14338.00, 0.1588
47,15588.00, 0.1580
48,17528.00, 0.1572
49,17648.00, 0.1564
50,15258.00, 0.1557
51,15530.00, 0.1549
52,14838.00, 0.1541
53,15628.00, 0.1533
54,16868.00, 0.1526
55,16878.00, 0.1518
56,16238.00, 0.1511
57,16398.00, 0.1503
58,14318.00, 0.1495
59,16468.00, 0.1488
60,15008.00, 0.1481
61,14918.00, 0.1473
62,17398.00, 0.1466
63,14198.00, 0.1458
64,15248.00, 0.1451
65,17208.00, 0.1444
66,17218.00, 0.1437
67,15398.00, 0.1429
68,17108.00, 0.1422
69,16538.00, 0.1415
70,15918.00, 0.1408
71,15078.00, 0.1401
72,18218.00, 0.1394
73,16720.00, 0.1387
74,17168.00, 0.1380
75,16308.00, 0.1373
76,15624.00, 0.1366
77,19198.00, 0.1360
78,18818.00, 0.1353
79,16868.00, 0.1346
80,15038.00, 0.1339
81,16758.00, 0.1333
82,15298.00, 0.1326
83,17258.00, 0.1319
84,15468.00, 0.1313
85,15998.00, 0.1306
86,18298.00, 0.1300
87,17338.00, 0.1293
88,16898.00, 0.1287
89,14828.00, 0.1280
90,18638.00, 0.1274
91,14998.00, 0.1267
92,15828.00, 0.1261
93,18258.00, 0.1255
94,17058.00, 0.1249
95,17658.00, 0.1242
96,18488.00, 0.1236
97,16628.00, 0.1230
98,16188.00, 0.1224
99,15648.00, 0.1218
100,18858.00, 0.1212
101,18328.00, 0.1205
102,20318.00, 0.1199
103,15888.00, 0.1193
104,17588.00, 0.1187
105,16548.00, 0.1182
106,19838.00, 0.1176
107,18238.00, 0.1170
108,18068.00, 0.1164
109,17856.00, 0.1158
110,18778.00, 0.1152
111,18318.00, 0.1147
112,17938.00, 0.1141
113,18348.00, 0.1135
114,18838.00, 0.1129
115,17098.00, 0.1124
116,16458.00, 0.1118
117,17168.00, 0.1113
118,17378.00, 0.1107
119,17138.00, 0.1101
120,18178.00, 0.1096
121,16918.00, 0.1090
