Episode, Total Reward, Epsilon
1,-1512.00, 0.1990
2,-1442.00, 0.1980
3,-922.00, 0.1970
4,-262.00, 0.1960
5,18.00, 0.1950
6,58.00, 0.1941
7,58.00, 0.1931
8,98.00, 0.1921
9,98.00, 0.1912
10,-102.00, 0.1902
11,18.00, 0.1893
12,-732.00, 0.1883
13,-682.00, 0.1874
14,-1062.00, 0.1864
15,-1142.00, 0.1855
16,-62.00, 0.1846
17,-142.00, 0.1837
18,-1152.00, 0.1827
19,-352.00, 0.1818
20,-82.00, 0.1809
21,-22.00, 0.1800
22,-762.00, 0.1791
23,-1482.00, 0.1782
24,-302.00, 0.1773
25,-1092.00, 0.1764
26,-332.00, 0.1756
27,-222.00, 0.1747
28,58.00, 0.1738
29,56.00, 0.1729
30,118.00, 0.1721
31,-172.00, 0.1712
32,58.00, 0.1704
33,-672.00, 0.1695
34,228.00, 0.1687
35,-2.00, 0.1678
36,-1112.00, 0.1670
37,-344.00, 0.1661
38,-452.00, 0.1653
39,-504.00, 0.1645
40,-66.00, 0.1637
41,14.00, 0.1628
42,-264.00, 0.1620
43,54.00, 0.1612
44,14.00, 0.1604
45,-582.00, 0.1596
46,-142.00, 0.1588
47,98.00, 0.1580
48,-22.00, 0.1572
49,-452.00, 0.1564
50,58.00, 0.1557
51,-172.00, 0.1549
52,16.00, 0.1541
53,-252.00, 0.1533
54,-682.00, 0.1526
55,208.00, 0.1518
56,-182.00, 0.1511
57,-252.00, 0.1503
58,-382.00, 0.1495
59,338.00, 0.1488
60,-42.00, 0.1481
61,-26.00, 0.1473
62,14.00, 0.1466
63,54.00, 0.1458
64,56.00, 0.1451
65,-146.00, 0.1444
66,54.00, 0.1437
67,94.00, 0.1429
68,94.00, 0.1422
69,94.00, 0.1415
70,-26.00, 0.1408
71,-102.00, 0.1401
72,-192.00, 0.1394
73,118.00, 0.1387
74,-372.00, 0.1380
75,16.00, 0.1373
76,56.00, 0.1366
77,-66.00, 0.1360
78,96.00, 0.1353
79,96.00, 0.1346
80,56.00, 0.1339
81,-104.00, 0.1333
82,16.00, 0.1326
83,16.00, 0.1319
84,54.00, 0.1313
85,54.00, 0.1306
86,94.00, 0.1300
87,94.00, 0.1293
88,96.00, 0.1287
89,96.00, 0.1280
90,14.00, 0.1274
91,14.00, 0.1267
92,-146.00, 0.1261
93,94.00, 0.1255
94,94.00, 0.1249
95,-26.00, 0.1242
96,94.00, 0.1236
97,-66.00, 0.1230
98,14.00, 0.1224
99,92.00, 0.1218
100,94.00, 0.1212
