Episode, Total Reward, Epsilon
1,-1432.00, 0.1990
2,-222.00, 0.1980
3,-1042.00, 0.1970
4,-22.00, 0.1960
5,-92.00, 0.1950
6,-742.00, 0.1941
7,-182.00, 0.1931
8,-102.00, 0.1921
9,98.00, 0.1912
10,-62.00, 0.1902
11,-262.00, 0.1893
12,-102.00, 0.1883
13,18.00, 0.1874
14,58.00, 0.1864
15,98.00, 0.1855
16,-212.00, 0.1846
17,-182.00, 0.1837
18,-162.00, 0.1827
19,-626.00, 0.1818
20,-562.00, 0.1809
21,-822.00, 0.1800
22,-292.00, 0.1791
23,-452.00, 0.1782
24,58.00, 0.1773
25,-62.00, 0.1764
26,-22.00, 0.1756
27,58.00, 0.1747
28,-92.00, 0.1738
29,-1002.00, 0.1729
30,-932.00, 0.1721
31,-104.00, 0.1712
32,16.00, 0.1704
33,-184.00, 0.1695
34,-202.00, 0.1687
35,-542.00, 0.1678
36,-182.00, 0.1670
37,-1072.00, 0.1661
38,-822.00, 0.1653
39,-1052.00, 0.1645
40,-146.00, 0.1637
41,-64.00, 0.1628
42,-64.00, 0.1620
43,96.00, 0.1612
44,-24.00, 0.1604
45,54.00, 0.1596
46,96.00, 0.1588
47,-24.00, 0.1580
48,-24.00, 0.1572
49,-22.00, 0.1564
50,56.00, 0.1557
51,-64.00, 0.1549
52,56.00, 0.1541
53,96.00, 0.1533
54,16.00, 0.1526
55,56.00, 0.1518
56,96.00, 0.1511
57,96.00, 0.1503
58,-472.00, 0.1495
59,-1272.00, 0.1488
60,228.00, 0.1481
61,56.00, 0.1473
62,96.00, 0.1466
63,-142.00, 0.1458
64,-32.00, 0.1451
65,-432.00, 0.1444
66,-532.00, 0.1437
67,-452.00, 0.1429
68,-762.00, 0.1422
69,-262.00, 0.1415
70,-24.00, 0.1408
71,-192.00, 0.1401
72,-268.00, 0.1394
73,-26.00, 0.1387
74,-172.00, 0.1380
75,-772.00, 0.1373
76,-302.00, 0.1366
77,-66.00, 0.1360
78,94.00, 0.1353
79,-144.00, 0.1346
80,-104.00, 0.1339
81,56.00, 0.1333
82,-24.00, 0.1326
83,96.00, 0.1319
84,14.00, 0.1313
85,94.00, 0.1306
86,58.00, 0.1300
87,-66.00, 0.1293
88,94.00, 0.1287
89,-104.00, 0.1280
90,-186.00, 0.1274
91,94.00, 0.1267
92,14.00, 0.1261
93,94.00, 0.1255
94,54.00, 0.1249
95,94.00, 0.1242
96,96.00, 0.1236
97,56.00, 0.1230
98,16.00, 0.1224
99,-64.00, 0.1218
100,-186.00, 0.1212
101,-24.00, 0.1205
102,94.00, 0.1199
103,-106.00, 0.1193
104,94.00, 0.1187
105,94.00, 0.1182
106,14.00, 0.1176
107,54.00, 0.1170
108,-186.00, 0.1164
109,-26.00, 0.1158
110,94.00, 0.1152
111,14.00, 0.1147
112,54.00, 0.1141
113,56.00, 0.1135
114,96.00, 0.1129
115,94.00, 0.1124
116,54.00, 0.1118
117,94.00, 0.1113
118,14.00, 0.1107
119,94.00, 0.1101
120,94.00, 0.1096
121,54.00, 0.1090
122,14.00, 0.1085
123,94.00, 0.1080
124,54.00, 0.1074
125,56.00, 0.1069
126,54.00, 0.1064
127,94.00, 0.1058
128,94.00, 0.1053
129,94.00, 0.1048
130,94.00, 0.1042
131,94.00, 0.1037
132,54.00, 0.1032
133,94.00, 0.1027
134,94.00, 0.1022
135,94.00, 0.1017
136,94.00, 0.1012
137,94.00, 0.1006
138,94.00, 0.1001
139,14.00, 0.0996
140,-66.00, 0.0991
141,92.00, 0.0986
142,54.00, 0.0982
143,54.00, 0.0977
144,14.00, 0.0972
145,94.00, 0.0967
146,54.00, 0.0962
147,14.00, 0.0957
148,94.00, 0.0952
149,14.00, 0.0948
150,54.00, 0.0943
151,56.00, 0.0938
152,56.00, 0.0934
153,14.00, 0.0929
154,54.00, 0.0924
155,-26.00, 0.0920
156,54.00, 0.0915
157,-26.00, 0.0910
158,94.00, 0.0906
159,94.00, 0.0901
160,94.00, 0.0897
161,92.00, 0.0892
162,94.00, 0.0888
163,-26.00, 0.0883
164,94.00, 0.0879
165,94.00, 0.0875
166,54.00, 0.0870
167,92.00, 0.0866
168,54.00, 0.0862
169,94.00, 0.0857
170,96.00, 0.0853
171,94.00, 0.0849
172,54.00, 0.0845
173,94.00, 0.0840
174,94.00, 0.0836
175,16.00, 0.0832
176,54.00, 0.0828
177,54.00, 0.0824
178,96.00, 0.0819
179,14.00, 0.0815
180,94.00, 0.0811
181,94.00, 0.0807
182,94.00, 0.0803
183,94.00, 0.0799
184,94.00, 0.0795
185,96.00, 0.0791
186,94.00, 0.0787
187,54.00, 0.0783
188,94.00, 0.0779
189,94.00, 0.0776
190,94.00, 0.0772
191,-26.00, 0.0768
192,-66.00, 0.0764
193,94.00, 0.0760
194,94.00, 0.0756
195,94.00, 0.0753
196,94.00, 0.0749
197,94.00, 0.0745
198,94.00, 0.0741
199,94.00, 0.0738
200,94.00, 0.0734
201,96.00, 0.0730
202,96.00, 0.0727
203,96.00, 0.0723
204,14.00, 0.0719
205,14.00, 0.0716
206,94.00, 0.0712
207,54.00, 0.0709
208,54.00, 0.0705
209,94.00, 0.0702
210,92.00, 0.0698
211,54.00, 0.0695
212,92.00, 0.0691
213,94.00, 0.0688
214,94.00, 0.0684
215,94.00, 0.0681
216,14.00, 0.0677
217,92.00, 0.0674
218,94.00, 0.0671
219,54.00, 0.0667
220,54.00, 0.0664
221,96.00, 0.0661
222,94.00, 0.0657
223,94.00, 0.0654
224,54.00, 0.0651
225,94.00, 0.0647
226,56.00, 0.0644
227,94.00, 0.0641
228,94.00, 0.0638
229,94.00, 0.0635
230,56.00, 0.0631
231,16.00, 0.0628
232,56.00, 0.0625
233,94.00, 0.0622
234,12.00, 0.0619
235,14.00, 0.0616
236,96.00, 0.0613
237,54.00, 0.0610
238,92.00, 0.0607
239,92.00, 0.0604
240,54.00, 0.0601
241,56.00, 0.0598
242,-26.00, 0.0595
243,16.00, 0.0592
244,14.00, 0.0589
245,94.00, 0.0586
246,94.00, 0.0583
247,94.00, 0.0580
248,94.00, 0.0577
249,94.00, 0.0574
250,94.00, 0.0571
251,94.00, 0.0568
252,92.00, 0.0566
253,92.00, 0.0563
254,54.00, 0.0560
255,94.00, 0.0557
256,94.00, 0.0554
257,94.00, 0.0552
258,94.00, 0.0549
259,54.00, 0.0546
260,94.00, 0.0543
261,94.00, 0.0541
262,94.00, 0.0538
263,94.00, 0.0535
264,96.00, 0.0533
265,94.00, 0.0530
266,94.00, 0.0527
267,94.00, 0.0525
268,94.00, 0.0522
269,94.00, 0.0519
270,94.00, 0.0517
271,94.00, 0.0514
272,52.00, 0.0512
273,94.00, 0.0509
274,94.00, 0.0506
275,94.00, 0.0504
276,94.00, 0.0501
277,96.00, 0.0499
278,94.00, 0.0496
279,94.00, 0.0494
280,54.00, 0.0491
281,54.00, 0.0489
282,96.00, 0.0487
283,94.00, 0.0484
284,92.00, 0.0482
285,54.00, 0.0479
286,54.00, 0.0477
287,96.00, 0.0475
288,94.00, 0.0472
289,54.00, 0.0470
290,94.00, 0.0467
291,54.00, 0.0465
292,94.00, 0.0463
293,54.00, 0.0460
294,96.00, 0.0458
295,94.00, 0.0456
296,94.00, 0.0454
297,54.00, 0.0451
298,96.00, 0.0449
299,16.00, 0.0447
300,94.00, 0.0445
301,94.00, 0.0442
302,54.00, 0.0440
303,96.00, 0.0438
304,94.00, 0.0436
305,94.00, 0.0434
306,94.00, 0.0431
