Episode, Total Reward, Epsilon
0,-26925.00,0.1990
1,-23775.00,0.1980
2,-26255.00,0.1970
3,-28780.00,0.1960
4,-23865.00,0.1950
5,-25235.00,0.1941
6,-25030.00,0.1931
7,-24030.00,0.1921
8,-26685.00,0.1912
9,-24060.00,0.1902
10,-24905.00,0.1893
11,-28855.00,0.1883
12,-23695.00,0.1874
13,-25730.00,0.1864
14,-22735.00,0.1855
15,-23230.00,0.1846
16,-24790.00,0.1837
17,-25680.00,0.1827
18,-23030.00,0.1818
19,-25890.00,0.1809
20,-22405.00,0.1800
21,-25700.00,0.1791
22,-25880.00,0.1782
23,-22660.00,0.1773
24,-21295.00,0.1764
25,-24860.00,0.1756
26,-22530.00,0.1747
27,-21290.00,0.1738
28,-21820.00,0.1729
29,-24015.00,0.1721
30,-23435.00,0.1712
31,-21705.00,0.1704
32,-26505.00,0.1695
33,-22890.00,0.1687
34,-19760.00,0.1678
35,-21780.00,0.1670
36,-22080.00,0.1661
37,-19240.00,0.1653
38,-22380.00,0.1645
39,-22230.00,0.1637
40,-19615.00,0.1628
41,-22205.00,0.1620
42,-24065.00,0.1612
43,-25585.00,0.1604
44,-21745.00,0.1596
45,-22335.00,0.1588
46,-20640.00,0.1580
47,-19925.00,0.1572
48,-24355.00,0.1564
49,-16020.00,0.1557
50,-26340.00,0.1549
51,-18710.00,0.1541
52,-21165.00,0.1533
53,-21375.00,0.1526
54,-21220.00,0.1518
55,-24040.00,0.1511
56,-20890.00,0.1503
57,-15450.00,0.1495
58,-19785.00,0.1488
59,-20830.00,0.1481
60,-24410.00,0.1473
61,-19190.00,0.1466
62,-24570.00,0.1458
63,-18715.00,0.1451
64,-19885.00,0.1444
65,-21865.00,0.1437
66,-23225.00,0.1429
67,-20995.00,0.1422
68,-20255.00,0.1415
69,-20720.00,0.1408
70,-19230.00,0.1401
71,-18350.00,0.1394
72,-21025.00,0.1387
73,-20000.00,0.1380
74,-18595.00,0.1373
75,-22255.00,0.1366
76,-19440.00,0.1360
77,-20820.00,0.1353
78,-17445.00,0.1346
79,-18940.00,0.1339
80,-17670.00,0.1333
81,-20750.00,0.1326
82,-22655.00,0.1319
83,-18720.00,0.1313
84,-21160.00,0.1306
85,-17825.00,0.1300
86,-21700.00,0.1293
87,-18315.00,0.1287
88,-18505.00,0.1280
89,-18650.00,0.1274
90,-21265.00,0.1267
91,-23425.00,0.1261
92,-15275.00,0.1255
93,-16415.00,0.1249
94,-19220.00,0.1242
95,-16850.00,0.1236
96,-17370.00,0.1230
97,-20540.00,0.1224
98,-22655.00,0.1218
99,-16310.00,0.1212
100,-14935.00,0.1205
101,-19105.00,0.1199
102,-16300.00,0.1193
103,-18345.00,0.1187
104,-20930.00,0.1182
105,-22000.00,0.1176
106,-22100.00,0.1170
107,-16205.00,0.1164
108,-16455.00,0.1158
109,-17155.00,0.1152
110,-17585.00,0.1147
111,-21480.00,0.1141
112,-17750.00,0.1135
113,-12045.00,0.1129
114,-17755.00,0.1124
115,-14330.00,0.1118
116,-15180.00,0.1113
117,-16335.00,0.1107
118,-13770.00,0.1101
119,-18290.00,0.1096
120,-16655.00,0.1090
121,-21980.00,0.1085
122,-16730.00,0.1080
123,-18210.00,0.1074
124,-17175.00,0.1069
125,-18725.00,0.1064
126,-14845.00,0.1058
127,-18445.00,0.1053
128,-21375.00,0.1048
129,-24035.00,0.1042
130,-15590.00,0.1037
131,-15745.00,0.1032
132,-12695.00,0.1027
133,-8485.00,0.1022
134,-11590.00,0.1017
135,-15945.00,0.1012
136,-20015.00,0.1006
137,-16445.00,0.1001
138,-14245.00,0.0996
139,-12330.00,0.0991
140,-11570.00,0.0986
141,-14940.00,0.0982
142,-14515.00,0.0977
143,-6700.00,0.0972
144,-14715.00,0.0967
145,-10200.00,0.0962
146,-18075.00,0.0957
147,-16155.00,0.0952
148,-16745.00,0.0948
149,-15860.00,0.0943
150,-13980.00,0.0938
151,-13450.00,0.0934
152,-6715.00,0.0929
153,-15660.00,0.0924
154,-8855.00,0.0920
155,-9475.00,0.0915
156,-11105.00,0.0910
157,-16370.00,0.0906
158,-13180.00,0.0901
159,-11115.00,0.0897
160,-11590.00,0.0892
161,-20510.00,0.0888
162,-13175.00,0.0883
163,-5145.00,0.0879
164,-9375.00,0.0875
165,-6470.00,0.0870
166,-5625.00,0.0866
167,-19175.00,0.0862
168,-11065.00,0.0857
169,-8130.00,0.0853
170,-14580.00,0.0849
171,-10200.00,0.0845
172,-11755.00,0.0840
173,-3665.00,0.0836
174,-5295.00,0.0832
175,-5530.00,0.0828
176,-9030.00,0.0824
177,-11510.00,0.0819
178,-11580.00,0.0815
179,-12565.00,0.0811
180,-17140.00,0.0807
181,-2670.00,0.0803
182,-10830.00,0.0799
183,-10770.00,0.0795
