num_evs,num_tasks,ev_range,maze_loop_percentage,maze_size,bms,timesteps,num_tasks_finished,ev_distance,drone_distance
9,40,3000,60,35,0,169,34,824.0,0.0
9,40,3000,85,35,0,227,37,718.0,0.0
9,40,3000,75,36,0,165,34,662.0,0.0
9,40,3000,80,35,0,173,36,868.0,0.0
9,40,3000,85,42,1,229,31,748.0,505.8238355194527
9,40,3000,90,48,1,103,30,514.0,635.281358769709
9,40,3000,85,48,1,105,29,510.0,727.0215533326472
9,40,3000,80,49,1,129,24,550.0,384.64021552477385
9,40,3000,60,45,0,175,18,548.0,0.0
9,40,3000,85,43,1,171,33,812.0,731.951060757787
9,40,3000,70,40,0,149,30,832.0,0.0
9,40,3000,70,42,1,161,30,740.0,551.2590888075878
9,40,3000,75,36,1,237,40,678.0,657.6147721009193
9,40,3000,75,50,1,99,21,400.0,497.5525211280262
9,40,3000,80,48,0,143,26,688.0,0.0
9,40,3000,65,35,1,111,38,640.0,422.8783202043458
9,40,3000,80,45,0,115,27,626.0,0.0
9,40,3000,80,50,1,115,25,532.0,721.6450467550756
9,40,3000,85,48,0,165,28,706.0,0.0
9,40,3000,85,36,0,165,38,752.0,0.0
9,40,3000,70,39,1,115,38,680.0,680.4957979845029
9,40,3000,75,42,0,117,32,734.0,0.0
9,40,3000,65,41,0,167,34,802.0,0.0
9,40,3000,85,50,0,115,21,370.0,0.0
9,40,3000,60,50,1,105,22,476.0,544.9850889450253
9,40,3000,65,50,1,153,29,740.0,703.1209651139782
9,40,3000,85,41,1,85,38,528.0,744.6242477342479
9,40,3000,75,42,1,117,35,670.0,610.5971321631267
9,40,3000,80,39,1,109,38,610.0,714.9070998242508
9,40,3000,60,46,0,161,27,694.0,0.0
9,40,3000,80,47,0,165,21,600.0,0.0
9,40,3000,70,48,1,147,19,540.0,588.0965733882762
9,40,3000,70,48,0,103,19,368.0,0.0
9,40,3000,85,38,1,123,37,682.0,577.4954061873988
9,40,3000,70,46,0,163,23,710.0,0.0
9,40,3000,60,37,0,163,32,746.0,0.0
9,40,3000,90,38,1,109,39,578.0,501.6024959179614
9,40,3000,75,44,0,113,31,640.0,0.0
9,40,3000,90,44,0,111,31,646.0,0.0
9,40,3000,90,50,1,141,26,542.0,738.6565054171377
9,40,3000,65,49,1,99,19,448.0,270.3482628572667
9,40,3000,60,38,0,117,30,580.0,0.0
9,40,3000,65,44,1,73,28,458.0,627.8378140770116
9,40,3000,75,46,0,161,28,596.0,0.0
9,40,3000,60,46,0,217,21,640.0,0.0
9,40,3000,70,49,1,115,28,632.0,538.6923371499661
9,40,3000,60,38,1,119,30,524.0,571.7280960104179
9,40,3000,80,49,1,91,24,450.0,434.08680973924737
9,40,3000,70,44,0,201,31,800.0,0.0
9,40,3000,75,42,1,169,33,730.0,624.4194015181472
9,40,3000,70,40,1,109,37,662.0,609.3414055029425
9,40,3000,60,43,0,173,22,586.0,0.0
9,40,3000,60,40,0,161,31,688.0,0.0
9,40,3000,90,48,0,169,25,620.0,0.0
9,40,3000,90,43,0,161,29,730.0,0.0
9,40,3000,75,44,1,105,30,498.0,613.6192262781565
9,40,3000,65,43,1,147,23,608.0,439.2331240838906
9,40,3000,80,41,0,167,34,818.0,0.0
9,40,3000,70,42,1,167,34,644.0,604.037200859632
9,40,3000,85,37,0,111,37,578.0,0.0
9,40,3000,65,45,1,85,23,482.0,486.3599547481149
9,40,3000,70,40,1,115,34,644.0,554.1614293401728
9,40,3000,65,50,0,163,17,366.0,0.0
9,40,3000,75,39,1,119,37,646.0,746.8787142443488
9,40,3000,70,46,0,159,23,716.0,0.0
9,40,3000,65,38,1,155,39,828.0,728.1246534096384
9,40,3000,85,44,1,111,32,594.0,791.5735927290061
9,40,3000,65,50,0,167,26,646.0,0.0
9,40,3000,90,48,0,215,21,482.0,0.0
9,40,3000,85,46,0,169,32,768.0,0.0
9,40,3000,60,48,1,87,24,430.0,656.0912743946633
9,40,3000,65,43,1,95,32,522.0,701.5510435234254
9,40,3000,70,48,0,113,22,528.0,0.0
9,40,3000,60,39,1,103,37,624.0,857.2880469488188
9,40,3000,75,38,1,81,35,554.0,447.91865575849846
9,40,3000,90,39,0,163,35,786.0,0.0
9,40,3000,75,43,0,117,27,704.0,0.0
9,40,3000,60,50,0,105,21,572.0,0.0
9,40,3000,75,43,0,117,32,712.0,0.0
9,40,3000,80,49,1,83,23,430.0,389.67184527835366
9,40,3000,80,45,0,157,26,522.0,0.0
9,40,3000,70,46,1,117,35,616.0,707.4489990079884
9,40,3000,90,43,1,169,29,648.0,605.2398982910852
9,40,3000,65,44,1,155,31,774.0,728.1953140904967
9,40,3000,75,39,1,105,35,656.0,820.9020026813251
9,40,3000,70,43,0,119,21,718.0,0.0
9,40,3000,90,44,0,163,34,786.0,0.0
9,40,3000,80,43,0,235,30,732.0,0.0
9,40,3000,65,49,1,89,22,436.0,364.88321355886086
9,40,3000,70,43,1,315,28,856.0,413.5147925351032
9,40,3000,65,46,1,113,21,514.0,310.50902014959104
9,40,3000,65,48,0,175,23,702.0,0.0
9,40,3000,90,46,0,273,24,664.0,0.0
9,40,3000,85,49,0,145,22,608.0,0.0
9,40,3000,70,36,0,115,33,624.0,0.0
9,40,3000,85,44,1,165,33,576.0,811.5645689265241
9,40,3000,75,35,1,113,38,604.0,507.68734006634384
9,40,3000,85,36,0,113,37,610.0,0.0
9,40,500,90,37,1,0,0,0.0,0.0
9,40,500,70,41,1,7,2,8.0,16.270045780756213
9,40,500,85,41,0,7,1,8.0,0.0
9,40,500,80,35,1,9,2,18.0,27.06909437795107
9,40,500,65,45,0,0,0,0.0,0.0
9,40,3000,70,45,0,167,24,534.0,0.0
9,40,3000,65,49,1,113,21,464.0,386.3219895494535
9,40,500,60,35,0,7,1,8.0,0.0
9,40,500,85,36,1,9,2,14.0,10.0
9,40,500,80,37,0,3,1,4.0,0.0
