num_evs,num_tasks,ev_range,maze_loop_percentage,maze_size,bms,timesteps,num_tasks_finished,ev_distance,drone_distance
10,25,1700,90,35,0,83,10,178.0,0.0
10,34,2600,90,36,1,93,24,430.0,283.70423132273487
10,28,2800,90,38,1,81,24,416.0,305.29509993937955
10,26,2800,90,39,0,135,19,508.0,0.0
10,28,2400,90,46,1,89,13,296.0,241.67382032853607
10,39,1900,90,38,0,141,13,308.0,0.0
10,38,1900,90,42,0,91,15,264.0,0.0
10,20,2400,90,49,1,65,7,128.0,76.52148827082286
10,40,2800,90,35,1,77,37,532.0,538.7744811212079
10,24,2000,90,40,0,73,11,168.0,0.0
10,36,2000,90,44,1,73,15,264.0,420.58054313734664
10,29,1900,90,45,0,63,7,124.0,0.0
10,29,1800,90,38,1,69,12,260.0,222.13322923408086
10,35,2000,90,46,1,73,6,216.0,114.35713201722406
10,30,2200,90,41,0,155,14,390.0,0.0
10,40,2600,90,42,0,143,25,588.0,0.0
10,36,1900,90,45,0,67,12,234.0,0.0
10,29,2200,90,47,1,83,13,246.0,214.0639746486498
10,30,1900,90,43,1,75,11,214.0,201.47498853812823
10,34,2400,90,38,0,171,23,532.0,0.0
10,20,2600,90,35,0,89,18,402.0,0.0
10,39,2200,90,38,1,83,23,366.0,360.6939155195116
10,25,1700,90,37,0,57,9,196.0,0.0
10,33,1500,90,44,0,87,6,116.0,0.0
10,20,2200,90,46,1,81,11,276.0,149.78093311830997
10,28,2700,90,48,1,107,17,416.0,388.9831690555686
10,21,3000,90,47,1,69,17,420.0,299.5545474990041
10,34,1800,90,35,0,69,19,312.0,0.0
10,28,2700,90,39,0,51,20,352.0,0.0
10,40,2400,90,40,1,135,26,516.0,449.70761181561005
10,22,2700,90,44,0,51,12,286.0,0.0
10,30,2000,90,42,1,109,13,304.0,277.65795184509716
10,40,3000,90,47,1,161,23,610.0,401.7905459084305
10,37,2400,90,41,0,129,18,324.0,0.0
10,38,1900,90,41,1,37,12,162.0,242.2846870913187
10,33,2100,90,49,0,123,18,400.0,0.0
10,25,2700,90,38,1,65,21,332.0,271.74950960894927
10,36,2800,90,48,1,111,25,522.0,582.1865922257682
10,29,1500,90,37,0,57,9,166.0,0.0
10,31,1600,90,44,0,61,11,218.0,0.0
10,32,2300,90,39,1,83,21,438.0,397.705942348829
10,36,2900,90,37,0,165,32,730.0,0.0
10,26,2400,90,38,1,85,23,464.0,380.53635492038916
10,21,1800,90,39,0,57,5,110.0,0.0
10,39,2400,90,42,0,75,16,378.0,0.0
10,32,2900,90,41,0,111,25,596.0,0.0
10,39,2100,90,46,1,67,14,254.0,205.86954495622348
10,32,3000,90,38,0,165,28,634.0,0.0
10,39,2700,90,41,1,71,27,406.0,661.6307068898514
10,20,2000,90,43,1,39,7,132.0,72.01414776632518
10,32,1900,90,50,1,67,10,242.0,277.6968985172915
10,37,2400,90,47,0,115,13,238.0,0.0
10,21,1700,90,38,0,97,11,224.0,0.0
10,39,2100,90,45,0,73,11,218.0,0.0
10,37,1600,90,47,1,39,4,94.0,63.709627801950695
10,24,2900,90,45,1,105,15,446.0,332.1946625139092
10,21,2700,90,46,1,105,12,368.0,258.0044934434208
10,25,2500,90,46,0,95,10,360.0,0.0
10,26,2900,90,39,0,157,21,458.0,0.0
10,26,2700,90,49,1,99,12,320.0,184.2975854449403
10,30,2400,90,40,0,71,17,340.0,0.0
10,37,1800,90,44,1,51,8,88.0,155.41963355828594
10,21,2000,90,50,1,61,6,130.0,124.85405314068308
10,37,2500,90,48,0,87,14,298.0,0.0
10,24,1900,90,48,1,61,10,172.0,198.94153719618217
10,31,2500,90,50,0,187,11,324.0,0.0
10,36,2900,90,50,1,159,25,606.0,616.4562705873477
10,32,2100,90,41,0,79,14,302.0,0.0
10,33,1800,90,40,0,35,8,158.0,0.0
10,25,2600,90,41,1,103,18,470.0,465.6985452408568
10,30,3000,90,41,1,119,20,552.0,402.40791308692457
10,24,2800,90,45,1,73,15,368.0,282.7182384573109
10,22,2400,90,35,0,89,17,332.0,0.0
10,28,3000,90,44,0,161,23,642.0,0.0
10,27,2900,90,36,0,55,25,450.0,0.0
10,30,1800,90,42,1,67,13,180.0,236.9983686182535
10,27,1600,90,37,0,31,9,146.0,0.0
10,25,1600,90,38,1,61,7,134.0,46.084653754077664
10,22,2900,90,35,1,73,21,414.0,313.6255151026743
10,29,3000,90,48,1,159,19,546.0,393.0013435153211
10,36,2200,90,39,1,81,19,250.0,426.2910519106332
10,37,2200,90,49,1,69,12,252.0,132.3222771367693
10,35,2900,90,50,0,143,25,612.0,0.0
10,24,1500,90,42,0,41,4,102.0,0.0
10,31,1500,90,49,0,25,2,50.0,0.0
10,34,2900,90,40,0,161,29,658.0,0.0
10,35,2200,90,39,0,83,14,274.0,0.0
10,27,2900,90,36,0,107,22,452.0,0.0
10,22,2300,90,45,1,67,10,230.0,253.27117771208216
10,29,2400,90,42,1,89,16,336.0,277.2192237469232
10,32,2600,90,36,1,111,31,580.0,470.59725189622264
10,37,2500,90,45,0,97,20,484.0,0.0
10,36,2900,90,48,1,167,28,538.0,674.1805317776068
10,26,2800,90,36,0,99,22,488.0,0.0
10,35,1700,90,43,0,115,13,234.0,0.0
10,29,2400,90,43,1,77,20,376.0,474.81242566464294
10,39,2100,90,40,1,71,18,204.0,255.70270699668956
10,34,1700,90,46,1,31,4,86.0,42.21702824889785
10,20,1900,90,48,0,37,4,100.0,0.0
10,21,2600,85,38,1,99,12,374.0,227.72768715101694
10,38,3000,90,50,0,173,16,580.0,0.0
10,25,2700,85,47,1,103,12,346.0,154.95994162621818
10,20,2400,85,38,0,91,15,332.0,0.0
10,38,2100,85,50,0,81,14,310.0,0.0
10,36,2100,85,39,1,83,13,286.0,209.20191909007409
10,36,2400,85,43,0,111,18,458.0,0.0
10,36,2200,85,45,1,79,14,294.0,294.0926253975568
10,29,2500,85,40,1,61,16,260.0,283.8703792759833
10,23,2500,85,41,0,129,13,372.0,0.0
10,34,2900,85,37,1,103,31,476.0,453.63480907943733
10,38,2500,85,49,0,99,20,542.0,0.0
10,26,2300,85,47,1,79,12,166.0,194.94847371346137
10,24,1700,85,39,1,65,9,188.0,301.69800098150677
10,31,1900,85,42,0,73,8,204.0,0.0
10,21,2300,85,49,0,45,4,150.0,0.0
10,37,2500,85,46,0,89,20,416.0,0.0
10,28,1600,85,38,1,25,4,50.0,38.46617745661157
10,22,2100,85,42,0,75,9,166.0,0.0
10,36,1700,85,46,1,47,12,122.0,110.5055626971315
10,39,2900,85,36,0,207,39,832.0,0.0
10,22,2100,85,50,0,83,9,228.0,0.0
10,23,2200,85,50,1,171,7,244.0,112.19296089611206
10,27,1500,85,41,0,29,8,102.0,0.0
10,30,2600,85,49,1,57,10,208.0,140.6441165839066
10,29,2200,85,36,1,81,19,344.0,266.051063259188
10,27,2500,85,38,0,139,21,442.0,0.0
10,30,2400,85,43,1,87,15,368.0,268.085306205816
10,35,2600,85,39,1,55,24,346.0,410.82332103284796
10,23,1700,85,46,1,99,9,246.0,138.84232673087413
10,20,2700,85,43,0,101,14,384.0,0.0
10,27,1900,85,47,0,67,5,124.0,0.0
10,30,2200,85,36,0,85,14,338.0,0.0
10,20,2400,85,35,0,47,16,372.0,0.0
10,26,1600,85,35,0,57,8,126.0,0.0
10,31,1900,85,42,1,65,14,204.0,213.38715660314676
10,35,1800,85,42,1,63,13,232.0,258.18691153432263
10,22,2900,85,45,1,107,13,424.0,321.5897185220705
10,25,1800,85,45,0,99,11,254.0,0.0
10,31,1600,85,50,1,45,10,104.0,238.06225061966907
10,20,2500,85,39,1,81,11,294.0,324.3446748454687
10,39,2600,85,43,0,145,19,380.0,0.0
10,24,1900,85,47,0,55,4,124.0,0.0
10,36,2500,85,49,0,135,22,530.0,0.0
10,33,1700,85,50,1,29,6,58.0,100.54666406229495
10,26,1700,85,49,0,63,5,96.0,0.0
10,27,2400,85,50,1,83,12,244.0,354.0128807147826
10,40,2700,85,39,0,203,33,838.0,0.0
10,40,3000,85,45,1,173,27,758.0,491.0516030360983
10,24,2700,85,41,0,103,17,410.0,0.0
10,26,1900,85,48,1,37,2,70.0,49.043173294396595
10,21,2400,85,45,1,47,8,238.0,162.34663594401118
10,24,1800,85,47,0,35,7,152.0,0.0
10,35,2900,85,49,1,107,18,448.0,238.2298463016641
10,30,1900,85,39,0,73,12,278.0,0.0
10,22,1800,85,40,0,49,6,74.0,0.0
10,38,2600,85,35,0,145,32,606.0,0.0
10,25,1600,85,44,1,83,11,158.0,255.81119750987693
10,28,3000,85,36,1,61,26,454.0,346.7426144236904
10,38,2800,85,38,0,103,27,644.0,0.0
10,37,2900,85,40,1,109,35,824.0,682.8106791607042
10,27,1600,85,44,1,89,8,190.0,209.02011914206813
10,26,2800,85,45,0,105,19,526.0,0.0
10,30,2400,85,45,0,95,11,216.0,0.0
10,20,2700,85,47,1,105,11,378.0,189.2453549486709
10,27,2600,85,47,1,87,17,430.0,399.5205772910947
10,37,2700,85,41,0,137,28,678.0,0.0
10,40,1700,85,46,0,93,10,206.0,0.0
10,25,3000,85,40,0,101,23,556.0,0.0
10,40,1600,85,42,1,57,14,174.0,288.09180983434493
10,36,3000,85,49,1,109,24,438.0,335.01314643751743
10,35,2400,85,37,1,97,24,478.0,419.5699413239605
10,24,2100,85,49,1,75,5,144.0,58.324222934705354
10,26,2800,85,39,0,101,20,468.0,0.0
10,30,2900,85,49,0,137,17,466.0,0.0
10,26,2000,85,36,0,73,12,270.0,0.0
10,35,1900,85,43,1,57,11,114.0,194.28708360343512
10,39,3000,85,43,1,213,27,716.0,544.87560785733
10,25,2100,85,46,0,75,12,334.0,0.0
10,20,2900,85,48,0,95,12,382.0,0.0
10,20,2700,85,50,1,53,11,276.0,413.48501318080497
10,25,1600,85,38,0,53,7,118.0,0.0
10,26,1600,85,47,1,61,7,94.0,104.63539813475299
10,21,2200,85,36,0,85,15,296.0,0.0
10,26,2700,85,45,1,65,12,306.0,297.33909847538877
10,23,2200,85,36,1,57,18,314.0,272.0158717283682
10,25,2900,85,46,1,107,16,362.0,269.3265392414615
10,27,2700,85,46,0,145,17,584.0,0.0
10,38,2300,85,46,0,75,15,314.0,0.0
10,30,2200,85,35,1,65,21,354.0,323.94684944072395
10,33,2000,85,48,1,73,16,222.0,452.8517389554983
10,26,1500,85,39,0,59,6,120.0,0.0
10,25,1800,85,49,0,53,8,146.0,0.0
10,26,2700,85,49,1,87,6,230.0,109.2114146033124
10,21,2100,85,36,0,75,14,302.0,0.0
10,20,2500,85,41,1,75,13,322.0,200.19635450783215
10,20,2800,85,50,0,55,10,242.0,0.0
10,34,2200,85,39,1,83,17,412.0,325.91332284523844
10,28,2400,85,36,1,67,19,322.0,266.53811755698854
10,23,2900,85,50,0,111,14,398.0,0.0
10,26,2700,80,44,0,107,17,466.0,0.0
10,39,2400,80,45,1,79,25,422.0,506.27319682794064
10,30,2100,85,49,0,63,9,172.0,0.0
10,24,2900,80,36,1,89,21,424.0,394.6075712981695
10,22,2600,80,36,1,59,16,398.0,237.6031760564308
10,20,1800,80,36,0,35,6,70.0,0.0
10,28,2600,80,40,1,73,23,382.0,403.20951901588353
10,21,2800,80,36,1,91,20,422.0,237.25883018461974
10,36,2900,80,43,0,169,26,606.0,0.0
10,36,2200,80,48,0,125,13,236.0,0.0
10,36,2500,80,37,0,91,25,450.0,0.0
10,32,2400,80,38,0,91,26,532.0,0.0
10,29,1700,80,43,0,51,8,146.0,0.0
10,31,1900,80,43,1,105,10,238.0,179.54887997216935
10,38,2200,80,35,0,113,23,494.0,0.0
10,26,2100,80,40,1,53,13,218.0,192.00355450826623
10,20,1900,80,46,1,37,3,74.0,39.44473840150929
10,39,1900,80,41,1,55,12,148.0,157.05970593266156
10,39,2600,80,39,0,99,26,438.0,0.0
10,27,2100,80,48,1,41,10,138.0,253.29575576153718
10,21,1900,80,37,0,61,10,186.0,0.0
10,21,2100,80,48,0,41,9,180.0,0.0
10,31,2600,80,46,1,71,18,278.0,316.1555051835829
10,27,1800,80,47,1,57,6,176.0,84.23628956234101
10,25,2500,80,35,1,93,21,454.0,315.44269983819794
10,29,1700,80,44,1,33,7,140.0,222.00861683892657
10,32,3000,80,35,1,71,31,498.0,447.0595545855921
10,24,2300,80,46,0,45,9,216.0,0.0
10,22,3000,80,47,0,57,13,312.0,0.0
10,22,3000,80,40,0,91,17,398.0,0.0
10,33,2700,80,50,0,103,12,362.0,0.0
10,31,1800,80,37,1,155,15,302.0,176.7441140019242
10,29,2100,80,41,1,59,7,150.0,131.5597304480525
10,39,2100,80,44,1,73,19,302.0,461.3439672637959
10,37,2900,80,45,0,55,15,398.0,0.0
10,34,2400,80,48,0,93,15,270.0,0.0
10,38,1900,80,49,0,83,7,150.0,0.0
10,39,2400,80,50,1,85,13,316.0,325.6721109561353
10,29,2500,80,41,0,97,16,368.0,0.0
10,31,1700,80,36,1,51,14,196.0,149.94800011601063
10,26,2800,80,40,0,103,16,472.0,0.0
10,35,1600,80,35,0,63,10,256.0,0.0
10,39,2400,80,48,1,83,19,266.0,343.0795171109179
10,21,2200,80,39,1,41,10,204.0,228.21013239241609
10,24,2500,80,46,0,75,11,262.0,0.0
10,24,2300,80,36,1,59,11,266.0,126.33764922594116
10,37,2000,80,37,0,77,15,312.0,0.0
10,28,2400,80,39,1,57,15,326.0,323.7857323930939
10,34,2200,80,35,1,61,22,306.0,306.80716460478044
10,36,1800,80,39,0,61,10,144.0,0.0
10,33,2100,80,40,0,105,17,334.0,0.0
10,31,3000,80,36,1,73,28,492.0,359.0972620819263
10,28,2500,80,43,0,125,14,390.0,0.0
10,25,1800,80,39,1,43,7,142.0,213.7973999972065
10,27,2300,80,36,1,57,20,262.0,221.83771083543303
10,30,1700,80,49,1,39,10,144.0,109.92949582616593
10,22,2900,80,40,0,103,19,448.0,0.0
10,35,2400,80,35,1,129,30,502.0,356.4706753326184
10,34,2600,80,48,0,91,16,316.0,0.0
10,23,2700,80,41,1,139,17,384.0,343.042494058619
10,30,1500,80,41,1,43,8,160.0,190.0705530802848
10,30,2800,80,49,0,147,17,504.0,0.0
10,35,1600,80,45,0,29,3,58.0,0.0
10,21,2400,80,40,0,89,11,324.0,0.0
