num_evs,num_tasks,ev_range,maze_loop_percentage,maze_size,bms,timesteps,num_tasks_finished,ev_distance,drone_distance
7,40,2300,90,37,1,135,33,536.0,593.837506607047
3,40,2400,90,39,1,209,27,538.0,499.93802672124576
8,40,1600,90,37,1,81,14,274.0,200.897422761389
9,40,1800,90,38,0,69,12,190.0,0.0
6,40,2800,90,44,1,105,32,390.0,588.5816339285207
6,40,3000,90,36,0,165,40,720.0,0.0
6,40,1900,90,35,0,75,24,362.0,0.0
4,40,2700,90,47,0,205,23,560.0,0.0
3,40,2000,90,48,0,183,15,290.0,0.0
4,40,2400,90,47,1,139,29,382.0,381.18085460570506
9,40,2700,90,38,0,137,35,590.0,0.0
6,40,2600,90,39,0,147,24,550.0,0.0
9,40,2400,90,45,1,67,24,324.0,417.2811217100986
9,40,2100,90,45,1,107,22,440.0,397.0908946174177
4,40,2200,90,49,0,115,16,312.0,0.0
8,40,2100,90,36,0,145,21,530.0,0.0
3,40,2300,90,35,1,105,37,290.0,473.7135042989537
3,40,3000,90,49,1,191,33,456.0,426.07366620946203
6,40,2700,90,47,1,113,29,452.0,591.9905416324942
8,40,1600,90,36,0,53,8,126.0,0.0
4,40,2500,90,35,1,123,40,398.0,687.4371673551941
4,40,1800,90,41,0,103,14,224.0,0.0
4,40,2000,90,41,0,113,15,332.0,0.0
7,40,2300,90,35,1,109,32,390.0,344.3652897795158
5,40,2300,90,47,1,99,17,380.0,172.74462056096502
7,40,2700,90,50,1,125,24,396.0,505.08422114053724
4,40,2600,90,44,0,181,24,614.0,0.0
8,40,2500,90,41,1,93,30,458.0,588.9551686291292
10,40,1500,90,47,0,83,9,192.0,0.0
10,40,2500,90,42,1,145,25,516.0,387.76075716435895
10,40,2400,90,41,1,75,23,366.0,389.3880951866264
7,40,1800,90,50,0,67,7,192.0,0.0
7,40,2300,90,46,0,89,14,334.0,0.0
5,40,1900,90,44,0,65,8,124.0,0.0
5,40,2700,90,36,1,121,38,432.0,531.9136636548964
4,40,2400,90,41,0,215,26,562.0,0.0
9,40,2900,90,43,1,79,23,364.0,407.65794250797484
10,40,2900,90,40,1,109,31,638.0,501.7510791286305
8,40,2000,90,44,0,115,15,352.0,0.0
5,40,2900,90,39,1,109,40,442.0,906.8510886722468
3,40,2800,90,39,0,269,35,672.0,0.0
3,40,2500,90,36,0,329,34,668.0,0.0
8,40,2800,90,42,0,103,31,544.0,0.0
10,40,1500,90,44,1,51,6,126.0,167.14426207702516
9,40,2300,90,41,0,85,21,456.0,0.0
9,40,2100,90,42,0,77,19,278.0,0.0
5,40,2900,90,47,1,189,29,632.0,483.6211507550348
5,40,2900,90,36,0,259,39,676.0,0.0
10,40,2600,90,42,1,97,26,496.0,463.45055655208745
10,40,2800,90,47,1,149,21,522.0,381.72144080871715
6,40,3000,90,46,1,131,36,544.0,555.1797391595121
6,40,1500,90,36,1,79,11,164.0,111.8508304736806
9,40,1600,90,45,0,81,9,158.0,0.0
10,40,1900,90,39,0,71,12,250.0,0.0
6,40,2300,90,40,1,97,33,422.0,527.5736322024092
8,40,2900,90,47,1,111,18,564.0,307.31965861772557
9,40,2700,90,36,0,211,37,658.0,0.0
5,40,2900,90,49,0,161,18,466.0,0.0
9,40,1700,90,36,1,65,13,236.0,140.39911232984744
5,40,1500,90,36,0,53,11,178.0,0.0
3,40,2600,90,43,1,217,35,410.0,604.2279463886791
7,40,2000,90,45,0,71,12,240.0,0.0
4,40,2600,90,36,0,243,35,772.0,0.0
5,40,2100,90,45,0,157,11,298.0,0.0
9,40,2900,90,46,1,113,26,610.0,456.8754661334335
9,40,2400,90,45,1,83,20,320.0,432.6879217106841
8,40,2000,90,46,1,79,12,244.0,125.71415495382722
7,40,1600,90,45,1,113,9,140.0,187.81198684037838
7,40,1800,90,47,0,103,10,194.0,0.0
5,40,1900,90,37,0,129,17,318.0,0.0
