Episode 1/1000  Total Reward: -702.00  Epsilon: 0.1990
Episode 2/1000  Total Reward: -1126.00  Epsilon: 0.1980
Episode 3/1000  Total Reward: -282.00  Epsilon: 0.1970
Episode 4/1000  Total Reward: -186.00  Epsilon: 0.1960
Episode 5/1000  Total Reward: -758.00  Epsilon: 0.1950
Episode 6/1000  Total Reward: -360.00  Epsilon: 0.1941
Episode 7/1000  Total Reward: 74.00  Epsilon: 0.1931
Episode 8/1000  Total Reward: 42.00  Epsilon: 0.1921
Episode 9/1000  Total Reward: 154.00  Epsilon: 0.1912
Episode 10/1000  Total Reward: 102.00  Epsilon: 0.1902
Episode 11/1000  Total Reward: 54.00  Epsilon: 0.1893
Episode 12/1000  Total Reward: 100.00  Epsilon: 0.1883
Episode 13/1000  Total Reward: 128.00  Epsilon: 0.1874
Episode 14/1000  Total Reward: 112.00  Epsilon: 0.1864
Episode 15/1000  Total Reward: 198.00  Epsilon: 0.1855
Episode 16/1000  Total Reward: 124.00  Epsilon: 0.1846
Episode 17/1000  Total Reward: -160.00  Epsilon: 0.1837
Episode 18/1000  Total Reward: 148.00  Epsilon: 0.1827
Episode 19/1000  Total Reward: 116.00  Epsilon: 0.1818
Episode 20/1000  Total Reward: 82.00  Epsilon: 0.1809
Episode 21/1000  Total Reward: 252.00  Epsilon: 0.1800
Episode 22/1000  Total Reward: 18.00  Epsilon: 0.1791
Episode 23/1000  Total Reward: 166.00  Epsilon: 0.1782
Episode 24/1000  Total Reward: 90.00  Epsilon: 0.1773
Episode 25/1000  Total Reward: 50.00  Epsilon: 0.1764
Episode 26/1000  Total Reward: 134.00  Epsilon: 0.1756
Episode 27/1000  Total Reward: 158.00  Epsilon: 0.1747
Episode 28/1000  Total Reward: 140.00  Epsilon: 0.1738
Episode 29/1000  Total Reward: 88.00  Epsilon: 0.1729
Episode 30/1000  Total Reward: 2.00  Epsilon: 0.1721
Episode 31/1000  Total Reward: 4.00  Epsilon: 0.1712
Episode 32/1000  Total Reward: 98.00  Epsilon: 0.1704
Episode 33/1000  Total Reward: 102.00  Epsilon: 0.1695
Episode 34/1000  Total Reward: 28.00  Epsilon: 0.1687
Episode 35/1000  Total Reward: -928.00  Epsilon: 0.1678
Episode 36/1000  Total Reward: -542.00  Epsilon: 0.1670
Episode 37/1000  Total Reward: -316.00  Epsilon: 0.1661
Episode 38/1000  Total Reward: -176.00  Epsilon: 0.1653
Episode 39/1000  Total Reward: -476.00  Epsilon: 0.1645
Episode 40/1000  Total Reward: -534.00  Epsilon: 0.1637
Episode 41/1000  Total Reward: -794.00  Epsilon: 0.1628
Episode 42/1000  Total Reward: -642.00  Epsilon: 0.1620
Episode 43/1000  Total Reward: -416.00  Epsilon: 0.1612
Episode 44/1000  Total Reward: 170.00  Epsilon: 0.1604
Episode 45/1000  Total Reward: -286.00  Epsilon: 0.1596
Episode 46/1000  Total Reward: 26.00  Epsilon: 0.1588
Episode 47/1000  Total Reward: -44.00  Epsilon: 0.1580
Episode 48/1000  Total Reward: -332.00  Epsilon: 0.1572
Episode 49/1000  Total Reward: -354.00  Epsilon: 0.1564
Episode 50/1000  Total Reward: -80.00  Epsilon: 0.1557
Episode 51/1000  Total Reward: 112.00  Epsilon: 0.1549
Episode 52/1000  Total Reward: -12.00  Epsilon: 0.1541
Episode 53/1000  Total Reward: -46.00  Epsilon: 0.1533
Episode 54/1000  Total Reward: -170.00  Epsilon: 0.1526
Episode 55/1000  Total Reward: -218.00  Epsilon: 0.1518
Episode 56/1000  Total Reward: 104.00  Epsilon: 0.1511
Episode 57/1000  Total Reward: -262.00  Epsilon: 0.1503
Episode 58/1000  Total Reward: -68.00  Epsilon: 0.1495
Episode 59/1000  Total Reward: 216.00  Epsilon: 0.1488
Episode 60/1000  Total Reward: 206.00  Epsilon: 0.1481
Episode 61/1000  Total Reward: 170.00  Epsilon: 0.1473
Episode 62/1000  Total Reward: -152.00  Epsilon: 0.1466
Episode 63/1000  Total Reward: -82.00  Epsilon: 0.1458
Episode 64/1000  Total Reward: 134.00  Epsilon: 0.1451
Episode 65/1000  Total Reward: 234.00  Epsilon: 0.1444
Episode 66/1000  Total Reward: 202.00  Epsilon: 0.1437
Episode 67/1000  Total Reward: 272.00  Epsilon: 0.1429
Episode 68/1000  Total Reward: -584.00  Epsilon: 0.1422
Episode 69/1000  Total Reward: -984.00  Epsilon: 0.1415
Episode 70/1000  Total Reward: -370.00  Epsilon: 0.1408
Episode 71/1000  Total Reward: 102.00  Epsilon: 0.1401
Episode 72/1000  Total Reward: 112.00  Epsilon: 0.1394
Episode 73/1000  Total Reward: 232.00  Epsilon: 0.1387
Episode 74/1000  Total Reward: 162.00  Epsilon: 0.1380
Episode 75/1000  Total Reward: 86.00  Epsilon: 0.1373
Episode 76/1000  Total Reward: 120.00  Epsilon: 0.1366
Episode 77/1000  Total Reward: 200.00  Epsilon: 0.1360
Episode 78/1000  Total Reward: 120.00  Epsilon: 0.1353
Episode 79/1000  Total Reward: 128.00  Epsilon: 0.1346
Episode 80/1000  Total Reward: 248.00  Epsilon: 0.1339
Episode 81/1000  Total Reward: 122.00  Epsilon: 0.1333
Episode 82/1000  Total Reward: 164.00  Epsilon: 0.1326
Episode 83/1000  Total Reward: 204.00  Epsilon: 0.1319
Episode 84/1000  Total Reward: 208.00  Epsilon: 0.1313
Episode 85/1000  Total Reward: 204.00  Epsilon: 0.1306
Episode 86/1000  Total Reward: 162.00  Epsilon: 0.1300
Episode 87/1000  Total Reward: 162.00  Epsilon: 0.1293
Episode 88/1000  Total Reward: 186.00  Epsilon: 0.1287
Episode 89/1000  Total Reward: 72.00  Epsilon: 0.1280
Episode 90/1000  Total Reward: 60.00  Epsilon: 0.1274
Episode 91/1000  Total Reward: -376.00  Epsilon: 0.1267
Episode 92/1000  Total Reward: 212.00  Epsilon: 0.1261
Episode 93/1000  Total Reward: 40.00  Epsilon: 0.1255
Episode 94/1000  Total Reward: 250.00  Epsilon: 0.1249
Episode 95/1000  Total Reward: 208.00  Epsilon: 0.1242
Episode 96/1000  Total Reward: 98.00  Epsilon: 0.1236
Episode 97/1000  Total Reward: 216.00  Epsilon: 0.1230
Episode 98/1000  Total Reward: 252.00  Epsilon: 0.1224
Episode 99/1000  Total Reward: 212.00  Epsilon: 0.1218
Episode 100/1000  Total Reward: 168.00  Epsilon: 0.1212
Episode 101/1000  Total Reward: 336.00  Epsilon: 0.1205
Episode 102/1000  Total Reward: 212.00  Epsilon: 0.1199
Episode 103/1000  Total Reward: 168.00  Epsilon: 0.1193
Episode 104/1000  Total Reward: 132.00  Epsilon: 0.1187
Episode 105/1000  Total Reward: 116.00  Epsilon: 0.1182
Episode 106/1000  Total Reward: 242.00  Epsilon: 0.1176
Episode 107/1000  Total Reward: 190.00  Epsilon: 0.1170
Episode 108/1000  Total Reward: 282.00  Epsilon: 0.1164
Episode 109/1000  Total Reward: 206.00  Epsilon: 0.1158
Episode 110/1000  Total Reward: 344.00  Epsilon: 0.1152
Episode 111/1000  Total Reward: -184.00  Epsilon: 0.1147
Episode 112/1000  Total Reward: -138.00  Epsilon: 0.1141
Episode 113/1000  Total Reward: -336.00  Epsilon: 0.1135
Episode 114/1000  Total Reward: -180.00  Epsilon: 0.1129
Episode 115/1000  Total Reward: -110.00  Epsilon: 0.1124
Episode 116/1000  Total Reward: -40.00  Epsilon: 0.1118
Episode 117/1000  Total Reward: 308.00  Epsilon: 0.1113
Episode 118/1000  Total Reward: -220.00  Epsilon: 0.1107
Episode 119/1000  Total Reward: -244.00  Epsilon: 0.1101
Episode 120/1000  Total Reward: -124.00  Epsilon: 0.1096
Episode 121/1000  Total Reward: -158.00  Epsilon: 0.1090
Episode 122/1000  Total Reward: -68.00  Epsilon: 0.1085
Episode 123/1000  Total Reward: -108.00  Epsilon: 0.1080
Episode 124/1000  Total Reward: -62.00  Epsilon: 0.1074
Episode 125/1000  Total Reward: -154.00  Epsilon: 0.1069
Episode 126/1000  Total Reward: -6.00  Epsilon: 0.1064
Episode 127/1000  Total Reward: 198.00  Epsilon: 0.1058
Episode 128/1000  Total Reward: -42.00  Epsilon: 0.1053
Episode 129/1000  Total Reward: 196.00  Epsilon: 0.1048
Episode 130/1000  Total Reward: 148.00  Epsilon: 0.1042
Episode 131/1000  Total Reward: -366.00  Epsilon: 0.1037
Episode 132/1000  Total Reward: -248.00  Epsilon: 0.1032
Episode 133/1000  Total Reward: 176.00  Epsilon: 0.1027
Episode 134/1000  Total Reward: 68.00  Epsilon: 0.1022
Episode 135/1000  Total Reward: 188.00  Epsilon: 0.1017
Episode 136/1000  Total Reward: 92.00  Epsilon: 0.1012
Episode 137/1000  Total Reward: 114.00  Epsilon: 0.1006
Episode 138/1000  Total Reward: 146.00  Epsilon: 0.1001
Episode 139/1000  Total Reward: 8.00  Epsilon: 0.0996
Episode 140/1000  Total Reward: 130.00  Epsilon: 0.0991
Episode 141/1000  Total Reward: 130.00  Epsilon: 0.0986
Episode 142/1000  Total Reward: 90.00  Epsilon: 0.0982
Episode 143/1000  Total Reward: 92.00  Epsilon: 0.0977
Episode 144/1000  Total Reward: 202.00  Epsilon: 0.0972
Episode 145/1000  Total Reward: 170.00  Epsilon: 0.0967
Episode 146/1000  Total Reward: 168.00  Epsilon: 0.0962
Episode 147/1000  Total Reward: -54.00  Epsilon: 0.0957
Episode 148/1000  Total Reward: 160.00  Epsilon: 0.0952
Episode 149/1000  Total Reward: 116.00  Epsilon: 0.0948
Episode 150/1000  Total Reward: 288.00  Epsilon: 0.0943
Episode 151/1000  Total Reward: 208.00  Epsilon: 0.0938
Episode 152/1000  Total Reward: 248.00  Epsilon: 0.0934
Episode 153/1000  Total Reward: 294.00  Epsilon: 0.0929
Episode 154/1000  Total Reward: 246.00  Epsilon: 0.0924
Episode 155/1000  Total Reward: 208.00  Epsilon: 0.0920
Episode 156/1000  Total Reward: 284.00  Epsilon: 0.0915
Episode 157/1000  Total Reward: 170.00  Epsilon: 0.0910
Episode 158/1000  Total Reward: 178.00  Epsilon: 0.0906
Episode 159/1000  Total Reward: 218.00  Epsilon: 0.0901
Episode 160/1000  Total Reward: 172.00  Epsilon: 0.0897
Episode 161/1000  Total Reward: 254.00  Epsilon: 0.0892
Episode 162/1000  Total Reward: 284.00  Epsilon: 0.0888
Episode 163/1000  Total Reward: 206.00  Epsilon: 0.0883
Episode 164/1000  Total Reward: 94.00  Epsilon: 0.0879
Episode 165/1000  Total Reward: 208.00  Epsilon: 0.0875
Episode 166/1000  Total Reward: 128.00  Epsilon: 0.0870
Episode 167/1000  Total Reward: 286.00  Epsilon: 0.0866
Episode 168/1000  Total Reward: 284.00  Epsilon: 0.0862
Episode 169/1000  Total Reward: 212.00  Epsilon: 0.0857
Episode 170/1000  Total Reward: 170.00  Epsilon: 0.0853
Episode 171/1000  Total Reward: 254.00  Epsilon: 0.0849
Episode 172/1000  Total Reward: 132.00  Epsilon: 0.0845
Episode 173/1000  Total Reward: 212.00  Epsilon: 0.0840
Episode 174/1000  Total Reward: 208.00  Epsilon: 0.0836
