2025-04-06 15:16:14,226 INFO    MainThread:28111 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-06 15:16:14,227 INFO    MainThread:28111 [wandb_setup.py:_flush():67] Configure stats pid to 28111
2025-04-06 15:16:14,227 INFO    MainThread:28111 [wandb_setup.py:_flush():67] Loading settings from /home/shinobi-owl/.config/wandb/settings
2025-04-06 15:16:14,227 INFO    MainThread:28111 [wandb_setup.py:_flush():67] Loading settings from /home/shinobi-owl/PhD/battery/DroneSim/wandb/settings
2025-04-06 15:16:14,227 INFO    MainThread:28111 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-06 15:16:14,227 INFO    MainThread:28111 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/shinobi-owl/PhD/battery/DroneSim/wandb/run-20250406_151614-76dzj3cc/logs/debug.log
2025-04-06 15:16:14,227 INFO    MainThread:28111 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/shinobi-owl/PhD/battery/DroneSim/wandb/run-20250406_151614-76dzj3cc/logs/debug-internal.log
2025-04-06 15:16:14,229 INFO    MainThread:28111 [wandb_init.py:init():781] calling init triggers
2025-04-06 15:16:14,229 INFO    MainThread:28111 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'world': {'maze_size': 10, 'maze_loop_percentage': 80, 'cell_size': 1, 'num_tasks': 5, 'warehouse': 'center', 'num_base_stations': 3, 'num_ugvs': 2, 'num_uavs_per_bs': 1, 'bms': True, 'max_timesteps': 500}, 'ugv': {'range': 100, 'num_primitives': 4}, '_wandb': {}}
2025-04-06 15:16:14,229 INFO    MainThread:28111 [wandb_init.py:init():809] starting backend
2025-04-06 15:16:14,229 INFO    MainThread:28111 [wandb_init.py:init():813] sending inform_init request
2025-04-06 15:16:14,233 INFO    MainThread:28111 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-06 15:16:14,233 INFO    MainThread:28111 [wandb_init.py:init():823] backend started and connected
2025-04-06 15:16:14,234 INFO    MainThread:28111 [wandb_init.py:init():915] updated telemetry
2025-04-06 15:16:14,241 INFO    MainThread:28111 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-06 15:16:14,558 INFO    MainThread:28111 [wandb_init.py:init():1014] starting run threads in backend
2025-04-06 15:16:14,651 INFO    MainThread:28111 [wandb_run.py:_console_start():2454] atexit reg
2025-04-06 15:16:14,651 INFO    MainThread:28111 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-06 15:16:14,651 INFO    MainThread:28111 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-06 15:16:14,651 INFO    MainThread:28111 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-06 15:16:14,652 INFO    MainThread:28111 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-06 15:16:15,817 INFO    MsgRouterThr:28111 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
